fac_no_faction|Keine Fraktion
fac_commoners|Bürgerliche
fac_outlaws|Geächtete
fac_neutral|Neutral
fac_innocents|Unschuldige
fac_merchants|Händler
fac_culture_norse|Nordisch
fac_culture_saxon|Sächsisch
fac_culture_angle|Anglisch
fac_culture_welsh|Bretonisch
fac_culture_irish|Goidelisch
fac_culture_scotch|Piktisch
fac_player_faction|Spielerfraktion
fac_player_supporters_faction|Verbündete
fac_kingdom_1|Königreich Dänemark
fac_kingdom_2|Königreich Norwegen
fac_kingdom_3|Königreich Laithlind
fac_kingdom_4|Königreich Friesland
fac_kingdom_5|Königreich Wessex
fac_kingdom_6|Königreich Ostanglien
fac_kingdom_7|Königreich Mercien
fac_kingdom_8|Königreich Northumbrien
fac_kingdom_9|Königreich Gwynedd
fac_kingdom_10|Königreich Brycheiniog
fac_kingdom_11|Königreich Alt Clut
fac_kingdom_12|Königreich Cornubia
fac_kingdom_13|Königreich Glywyssing
fac_kingdom_14|Königreich Uladh
fac_kingdom_15|Königreich Laigin
fac_kingdom_16|Königreich Mumain
fac_kingdom_17|Königreich Connacht
fac_kingdom_18|Königreich Ui Neill
fac_kingdom_19|Königreich Mide
fac_kingdom_20|Königreich Alba
fac_kingdom_21|Stamm der Osraige
fac_christians|Christen
fac_pagans|Heiden
fac_manhunters|Menschenjäger
fac_deserters|Deserteure
fac_mountain_bandits|Seekrieger
fac_forest_bandits|Wald-Banditen
fac_apoyoplayer|Neutral
fac_adventurers|Abenteurer
