menu_start_game_0|Willkommen bei Viking Conquest.
menu_start_phase_2|{s1}
mno_continue_i|Fortfahren...
mno_continue_cheat|Tutorial überspringen.
mno_go_back_dot|Zurück.
menu_start_game_3|Wählt Eurer Szenario:
mno_go_back|Zurück
menu_tutorial|Ihr nähert Euch einem Feld, auf dem die Ortsbewohner mit Waffen üben. Hier könnt Ihr Eure Kampffertigkeiten verbessern.
mno_continue|Fortfahren...
menu_reports|Charakter-Ansehen: {reg5}^Ehrenwertung: {reg6}^Truppenmoral: {reg8}^Truppengrößenbeschränkung: {reg7}^
mno_resume_travelling|Weiterreisen.
menu_start_phase_2x|Zurück
menu_start_phase_22|{s1}
mno_town_4|Fortsetzen
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Die Schlacht ist vorüber. {s1} Eure Seite tötete {reg5} Feinde und verlor {reg6} Soldaten in diesem Gefecht. Ihr selbst konntet {reg7} Männer niederstrecken.
menu_start_game_2|Willkommen bei Viking Conquest.
menu_start_game_1|Willkommen bei Viking Conquest.
menu_start_game_11|Verlassen?
menu_start_game_4|Sie haben einige Entscheidungen getroffen. Sie können sie nach dem Spielbeginn nicht mehr ändern. Möchten Sie die Einstellungen beibehalten und fortfahren?
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report_obsolete|{s1}
mno_continue_rep|Fortfahren...
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Ihr schlagt ein Lager auf. Was wollt Ihr tun?
mno_camp_action|Aktion vornehmen.
mno_camp_wait_here|Einige Zeit hier warten.
menu_camp_action_rest|Lager aufstellen ermöglicht, dass eure Männer sich erholen können. Außerdem können sie nach Essen suchen, das erhöht ihren Essensvorrat im Inventar. Dies ist wichtig wenn ihr im feindlichen Gebiet seid, wo man schwer Versorgung bekommt.
menu_build_refuge_new|Eure Männer erwarten Ihre Befehle, mit dem Aufbau der Zuflucht zu beginnen. Es ist genügend Material zusammengesucht, und was fehlt kann in den nahe gelegenen Dörfern gekauft werden.^^Gesamte Kosten: 1000 Pfennige.^Benötigte Zeit: 6 Stunden.
mno_refuge_here|Also bestellen.
menu_camp_cheat|Wählen einen Cheat:
mno_camp_cheat_find_item|Finde einen Gegenstand...
mno_testing_cheats|Schnellcheats.
mno_back_to_camp_menu|Zurück zum Lager-Menü
menu_cheat_testing_cheats1|Wähle einen Cheat:
menu_storyline_cheat|Wähle einen Cheat:
mno_back_cm|Zurück
menu_camp_action|Wählt eine Handlung aus:
mno_toggle_cheat_on|Cheat-Menü aktivieren.
mno_toggle_cheat_off|Cheat-Menü deaktivieren.
mno_camp_action_4|Zurück zum Lager-Menü.
menu_camp_recruit_prisoners|Ihr bietet Euren Gefangenen die Freiheit, wenn sie sich Euch als Soldaten anschließen. {s18}
mno_camp_recruit_prisoners_accept|Nehmt sie.
mno_camp_recruit_prisoners_half|Nehmt die Hälfte.
mno_camp_recruit_prisoners_reject|Weist sie zurück.
menu_camp_no_prisoners|Ihr habt keine Gefangenen zum Rekrutieren.
menu_camp_action_read_book|Wählt ein Buch zum Lesen aus:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Ihr lebt nun bereits {reg0} Tage als Abenteurer. Euer momentanes Glück ist {reg1}. Seid Ihr sicher, in den Ruhestand gehen zu wollen?
mno_retire_yes|Ja.
mno_retire_no|Nein.
menu_end_game|Die Entscheidung wurde getroffen, und Ihr gebt nun Euer Abenteurerleben auf und lasst Euch nieder. Ihr verkauft Eure Waffen und Rüstung, nehmt Euer Geld und reitet in den Sonnenuntergang...
mno_end_game_bye|Lebt wohl.
menu_cattle_herd|Ihr trefft auf eine Herde Rinder.
mno_cattle_drive_away|Treibt die Rinder weiter.
mno_cattle_stop|Haltet die Herde an.
mno_cattle_kill|Schlachtet ein paar der Tiere.
mno_leave|Verlassen
menu_cattle_herd_kill|Wie viele Tiere wollt Ihr schlachten?
mno_cattle_kill_1|Eins.
mno_cattle_kill_2|Zwei.
mno_cattle_kill_3|Drei.
mno_cattle_kill_4|Vier.
mno_cattle_kill_5|Fünf.
mno_cattle_kill_20|Zwanzig.
menu_arena_duel_fight|Ein Duell ist eine ernste Angelegenheit, insbesondere wenn es um den Tod geht. Es gibt zwei Ausgänge des Feldes, aber nur einer kommt raus ... ^^ Körper und Geist müssen auf das Gefühl der Gefahr reagieren. Sie fühlen einen kalten Schweiß, egal ob es heiß oder kalt ist. Kalter Schweiß, der Ihnen sagt, dass Sie sich bereit für den Kampf machen sollten.
menu_simple_encounter|{s2} Ihr habt {reg10} Soldaten, die gegen ihre {reg11} kämpfen können.^^{s7}
mno_playerambush_attack|Hinterhalt Angriff!
mno_ambush_attack|Hinterhalt abwehren!
mno_encounter_attack|Greift den Feind an.
mno_encounter_deploy|Startet die Schlacht in Halteposition.
mno_encounter_order_attack|Befehlt Euren Soldaten, ohne Euch anzugreifen.
mno_tactical_nuevo|Optionen für den Kommandanten.
mno_encounter_leave|Weiterziehen.
mno_encounter_retreat|Zieht Euch zurück und lasst ein paar Soldaten zurück, die Euren Rückzug decken.
mno_encounter_surrender|Ergebt Euch.
