str_yes|Ja.
str_no|Nein.
str_blank_string| 
str_noone|keine
str_s50_and_s51|{s50} und {s51}
str_s52_and_s51|{s52} und {s51}
str_s5_s_party|{s5}s Truppe
str_given_by_s1_at_s2|Angesichts von {s1} in {S2}
str_given_by_s1_in_wilderness|Von {s1} im Feld überreicht.
str_s7_raiders|{s7} Räuber
str_bandits_eliminated_by_another|Die lästigen Banditen wurden von einer anderen Armee vernichtet.
str_msg_battle_won|Gefecht gewonnen! Die Überreste Eurer Gegner liegen auf dem Feld zerstreut! (Drückt die Tab-Taste zum Verlassen...)
str_tutorial_map1|Ihr betrachtet nun die Weltkarte. Mit Linksklick auf der Karte könnt Ihr Eure Armee zu der jeweiligen Position bewegen, eine Stadt oder ein Dorf betreten oder der ausgewählten Armee folgen.^ Die Zeit steht in dieser Ansicht still, solange Ihr Euch nicht bewegt, wartet oder rastet. Um zu warten haltet einfach die Leertaste gedrückt.^ Dies ist der perfekte Zeitpunkt Euer Spiel zu sichern! Drückt dazu ESC und wählt Speichern unter oder wählt F12 zum Schnellspeichern aus.^^Viel Glück!
str_tutorial_map11|Ihr besitzt nun eine starke Armee. Kehrt zum Jarl für weiter Anweisungen zurück.
str_randomize|Zufällig anordnen
str_charge|Zum Angriff
str_color|Farbe
str_flip_horizontal|Sich horizontaler Herumzudrehen
str_flip_vertical|Sich senkrechter Herumzudrehen
str_hold_fire|Feuer Stoppen
str_blunt_hold_fire|Ohne Schneide/ Feuer Stoppen
str_tutorial_ammo_refilled|Munition aufgefüllt.
str_tutorial_failed|Dieses mal wurdet Ihr besiegt, jedoch keine Sorge. Folgt den Anweisungen sorgfältig und Ihr werdet das nächste Mal besser sein.  Drückt die Tab-Taste um zum Menü zurückzukehren, wo Ihr dieses Tutorial erneut starten könnt.
str_tutorialmq_1_msg_1|In diesem Tutorial werdet Ihr die Bewegungsgrundlagen, Interaktion mit anderen Personen und das Kämpfen lernen.^^In Viking Conquest, können Ihr per Maus Eure Blickrichtung steuern, und Euch mit den Tasten W, A, S und D bewegen. Eure erste Aufgabe ist...^^Ziel: Geht in die Mitte des Bootes.
str_tutorialmq_1_msg_2|Gut gemacht. Als nächstes lernt Ihr die Interaktion mit Objekten und Personen. In Eurer Nähe ist ein Mann namens Bodo. Um herauszufinden, wer eine Person ist, geht auf Sie zu, bis dessen Name erscheint. Sobald Ihr Bodo gefunden habt, drückt die Taste F, um mit ihm zu sprechen.^^Nutzt die F-Taste zur Interaktion mit Personen und Objekten. Türen und Truhen werden so geöffnet, Gegenstände aufgehoben und vieles mehr.^^Ziel: Sprecht mit Bodo.
str_tutorialmq_1_msg_3|Ausgezeichnet. Als nächstes werden Sie mit Waffen angreifen.^^Sie können ihr Waffen die sie Ausgerüstet haben auch durch Scrollen nach vorne mit dem Rad Ihrer Maus oder durch Drücken einer der ersten vier Zahlen auf Ihrem Ziffernblock.^^Sie können Angreifen mit der linken Maustaste. Drücken Sie und halten Sie die Taste zum Angriff bereit, dann lassen Sie die Taste los. Wenn Sie für eine kurze zeit vor dem Loslassen der linken Maustaste gedrückt haltet, wird Ihr Angriff stärker sein.^^Mit Bild Pfeil nach unten oder verwenden Sie die Tastatur und dass Schild rauszuholen oder wegzustecken.^^Tor: Sprecht mit Veteran, einige Kampf zu üben.
str_tutorialmq_1_msg_4|Schöne Arbeit! Sie kennen die grundlegenden Konzepte, von Viking Conquest um zu spielen. sprechen Sie mit den NPCs, kämpfe mit den Seeleuten oder endgültig,  wenn Sie bereit sind, sprechen Sie mit den Kapitän Ihr Abenteuer geht weiter.
str_finished|(Abgeschlossen)
str_delivered_damage|{reg60} Schaden zugefügt.
str_archery_target_hit|Distanz: {reg61} Meter. Schwierigkeit: {reg60}
str_use_baggage_for_inventory|Benutzt Eure Truhe, um auf Euer Inventar während der Schlacht zuzugreifen. (Sie ist am Startpunkt).
str_cant_use_inventory_now|Inventarzugriff im Augenblick nicht möglich.
str_cant_use_inventory_arena|Inventarzugriff in der Arena nicht möglich.
str_cant_use_inventory_disguised|Ihr könnt auf euer Inventar nicht zugreifen, während ihr verkleidet seid.
str_cant_use_inventory_tutorial|Inventarzugriff auf dem Übungsgelände nicht möglich.
str_1_denar|1 Pfennig
str_reg1_denars|{reg1} Pfennige
str_january_reg1_reg2|Januar {reg1}, {reg2}
str_february_reg1_reg2|Februar {reg1}, {reg2}
str_march_reg1_reg2|März {reg1}, {reg2}
str_april_reg1_reg2|April {reg1}, {reg2}
str_may_reg1_reg2|Mai {reg1}, {reg2}
str_june_reg1_reg2|Juni {reg1}, {reg2}
str_july_reg1_reg2|Juli {reg1}, {reg2}
str_august_reg1_reg2|August {reg1}, {reg2}
str_september_reg1_reg2|September {reg1}, {reg2}
str_october_reg1_reg2|Oktober {reg1}, {reg2}
str_november_reg1_reg2|November {reg1}, {reg2}
str_december_reg1_reg2|Dezember {reg1}, {reg2}
str_town_nighttime|Es ist spät in der Nacht und ehrliches Volk ist längst nicht mehr auf den Straßen zu sehen.
str_door_locked|Die Tür ist verschlossen.
str_castle_is_abondened|Die Festung scheint unbesetzt zu sein.
str_town_is_abondened|Die Stadt hat keine Garnison, die sie verteidigt.
str_place_is_occupied_by_player|Dieser Ort wird von euren Truppen gehalten.
str_place_is_occupied_by_enemy|Dieser Ort wird von feindlichen Truppen gehalten.
str_place_is_occupied_by_friendly|Dieser Ort wird von neutralen Truppen gehalten.
str_do_you_want_to_retreat|Sind Ihr sicher, dass Ihr Euch zurückziehen möchtet?
str_give_up_fight|Kampf aufgeben?
str_do_you_wish_to_leave_tutorial|Möchtet Ihr das Tutorial zu verlassen?
str_do_you_wish_to_surrender|Möchtet Ihr aufgeben?
str_can_not_retreat|Kann sich nicht zurückziehen , es gibt Feinde in der Nähe!
str_s1_joined_battle_enemy|{s1} würde gegen dein Feind in einer Schlacht beitreten.
str_s1_joined_battle_friend|{s1} würde einem Kampf beitreten.
str_entrance_to_town_forbidden|Die Stadtwache hält nach Eindringlingen ausschau und es scheint, als würdet ihr nicht unbehelligt durch das Stadttor kommen.
str_sneaking_to_town_impossible|Die Stadtwache ist allarmiert! Ihr könnt nicht mehr durch das Tor schleichen, wie ihr euch auch immer verkleidet.
str_battle_won|Ihr habt die Schlacht gewonnen!
str_battle_lost|Ihr habt die Schlacht verloren!
str_attack_walls_success|Nach einem blutigen Kampf tragen eure tapferen Mannen den Sieg auf die Wälle des Feindes.
str_attack_walls_failure|Eure Soldaten fielen wie die Fliegen als sie versuchten die gegnerischen Wälle zu erklimmen. Die wenigen überlebenden zerstreuten sich in alle Richtungen.
str_attack_walls_continue|Ein blutiger Kampf entbrannte mit etwa gleichen Verlusten auf beiden Seiten. Trotz der Anstrengungen eurer Truppen verbleibt das Ziel in der Hand der Feinde.
str_order_attack_success|Eure Männer kämpften tapfer und besiegten den Feind.
str_order_attack_failure|Ihr beobachtet verzweifelt den Kampf. Der Feind metzelt eure Männer nieder und treibt dann die zerlumpten Überlebenden weg.
str_order_attack_continue|Trotz eines heftigen Scharmützels waren eure Truppen nicht in der Lage einen entscheidenden Sieg davon zu tragen.
str_join_order_attack_success|Eure Männer kämpften mutig an der Seite eurer Verbündeten und teilen sich den Sieg über die zerstörten Feinde.
str_join_order_attack_failure|Ihr beobachtet verzweifelt den Kampf. Der Feind metzelt eure Männer nieder und treibt dann die zerlumpten Überlebenden weg.
str_join_order_attack_continue|Trotz eines heftigen Scharmützels waren weder eure Truppen noch die eurer Verbündeten in der Lage einen entscheidenden Sieg davon zu tragen.
str_siege_defender_order_attack_success|Die Männer der Garnison halten ihre Wälle mit Mut und Geschick und verwandeln so die sichere Niederlage in einen kompletten Sieg.
str_siege_defender_order_attack_failure|Der Angriff verwandelt sich schnell in ein Blutbad. Alle Anstrengungen sind vergebens. Die unterlegene Garnison kann die Mauern nicht halten und so bringen die Feinde auch dem letzten Verteidiger den Tod
str_siege_defender_order_attack_continue|Nach blutigen Kämpfen sind die Angreifer nicht in der Lage auch nur einen Meter Boden zu gewinnen. Doch zu viele von ihnen sind noch am Leben, um es einen Sieg zu nennen. Die Belagerung dauert an.
str_hero_taken_prisoner|{s1} vom {s3} wurde gefangen genommen vom {s2}.
str_hero_freed|{s1} vom {s3} hat sich aus der Gefangenschaft vom {s2} befreit.
str_center_captured|{s2} hat {s3} {s1} abgenommen.
str_troop_relation_increased|Eure Beziehung mit {s1} stieg von {reg1} auf {reg2}.
str_troop_relation_detoriated|Eure Beziehung mit {s1} hat sich von {reg1} zu {reg2} verschlechtert.
str_faction_relation_increased|Eure Beziehung mit dem {s1} stieg von {reg1} auf {reg2}. {s2}
str_faction_relation_detoriated|Eure Beziehung mit dem {s1} hat sich von {reg1} zu {reg2} verschlechtert. {s2}
str_party_gained_morale|Eure Armee gewinnt {reg1} Moral.
str_party_lost_morale|Eure Armee verliert {reg1} Moral.
str_other_party_gained_morale|{s1} gewinnt {reg1} Moral.
str_other_party_lost_morale|{s1} verliert {reg1} Moral.
str_qst_follow_spy_noticed_you|Der Spion hat Euch entdeckt! Er wird davonlaufen!
str_duplicate|Vater
str_s3s_s2|{s3}s {s2}
str_s5_is_s51|{s5} ist {s51}.
str_s5_is_the_ruler_of_s51|{s5} ist der Herrscher von {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} ist ein Edelmann aus {s6}. 
str_relation_mnus_100|Erzfeind
str_relation_mnus_90|Unverzeihlich Hasserfüllt
str_relation_mnus_80|Rachsüchtig
