qst_deliver_message|Überbringt Nachricht an {s13}
qst_deliver_message_text|{s9} hat Euch gebeten, eine Nachricht an {s13} zu überbringen. {s13} war bei {s4}, als Euch diese Aufgabe erteilt wurde.
qst_deliver_message_to_enemy_lord|Überbringt Nachricht an {s13}
qst_deliver_message_to_enemy_lord_text|{s9} hat Euch gebeten, eine Nachricht zu {s13} von {s15} zu bringen. {s13} war bei {s4}, als Euch diese Aufgabe erteilt wurde.
qst_raise_troops|Rekrutiert {reg1} {s14}
qst_raise_troops_text|{s9} hat Euch gebeten, {reg1} {s14} zu rekrutieren und ihm zu bringen.
qst_escort_lady|Eskotiert {s13} nach {s14}
qst_deal_with_bandits_at_lords_village|Rettet das Dorf {s15} vor Räuberischen Banditen
qst_deal_with_bandits_at_lords_village_text|{s13} hat Euch gebeten die Banditen, die sein Dorf {s15} besetzt haben, zu vertreiben und ihm dann Bericht zu Erstatten.
qst_collect_taxes|Treibt Steuern in {s3} ein
qst_collect_taxes_text|{s9} hat Euch gebeten, die Steuern in {s3} einzutreiben. Er hat Euch ein fünftel des Geldes angeboten, dass Ihr einkassierst.
qst_hunt_down_fugitive|Bringt {s4} zur Strecke
qst_hunt_down_fugitive_text|{s9} hat Euch gebeten, den Flüchtigen mit dem Namen {s4} zu fangen. Er wird in {s3} vermutet.
qst_kill_local_merchant|Ermordet einen Händler in {s3}
qst_kill_local_merchant_text|{s9} hat Euch gebeten, einen örtlichen Händler bei {s3} zu ermorden.
qst_bring_back_runaway_serfs|Bringt entlaufene Leibeigene zurück
qst_bring_back_runaway_serfs_text|{s9} hat Euch gebeten, drei Gruppen von entlaufenen Leibeigenen zurück nach {s2} zu brigen. Er sagte, dass alle drei Gruppen seien in Richtung {s3} gerannt.
qst_follow_spy|Folgt dem Spion zum Treffen
qst_follow_spy_text|{s11} hat Euch gebeten, dem Spion zu folgen, der {s12} verlassen wird. Ihr müsst Acht geben, nicht gesehen zu werden, ansonsten könnte er Verdacht schöpfen und umkehren. Wenn sich der Spion mit seinem Komplizen trifft, sollt Ihr sie überfallen und fangen und sie beide zurück nach {s11} bringen.
qst_capture_enemy_hero|Fangt einen Fürst von {s13}
qst_lend_companion|Leiht Euren Gefährten {s3} an {s9}
qst_lend_companion_text|{s9} hat Euch gebeten, ihm Euren Gefährten {s3} eine Woche lang zu leihen.
qst_collect_debt|Treibt die Schulden, von {s3} an {s9} ein
qst_collect_debt_text|{s9} hat Euch gebeten, die {reg4} Pfennige Schulden einzutreiben, die {s3} ihm schuldet.
qst_incriminate_loyal_commander|Beschuldigt den loyalen Befehlshaber von {s13}, {s16}
qst_meet_spy_in_enemy_town|Spion in {s13} treffen
qst_capture_prisoners|Bringt {reg1} {s3} Gefangene
qst_capture_prisoners_text|{s9} wünscht, dass Ihr ihm {reg1} {s3} als Gefangene bringt.
qst_lend_surgeon|Leiht Euren Wundarzt {s3} an {s1}
qst_lend_surgeon_text|Verleiht Euren erfahrenen Wundarzt {s3} an {s1}.
qst_follow_army|Folgt dem Heer von {s9}
qst_report_to_army|Meldet Euch bei {s13}, dem Marschall
qst_deliver_cattle_to_army|Liefert {reg3} Rinder nach {s13}
qst_join_siege_with_army|Tretet der Belagerung von {s14} bei
qst_screen_army|Schützt das Vorrücken der Armee von {s13} 
qst_scout_waypoints|Kundschaftet {s13}, {s14} und {s15} aus
qst_rescue_lord_by_replace|Rettet {s13} von {s14}
qst_deliver_message_to_prisoner_lord|Überbringt Nachricht an {s13} bei {s14}
qst_duel_for_lady|Fordert {s13} zu einem Duell
qst_duel_courtship_rival|Fordert {s13} zu einem Duell (optional)
qst_duel_avenge_insult|Fordert {s13} zu einem Duell
qst_move_cattle_herd|Treibt Rinderherde nach {s13}
qst_move_cattle_herd_text|Der Bürgermeister von {s10} bat Euch, eine Rinderherde nach {s13} zu treiben.
qst_escort_merchant_caravan|Eskortiert Händlerkarawane nach {s8}
qst_escort_merchant_caravan_text|Eskortiert die Händlerkarawane zur Stadt {s8}.
qst_deliver_wine|Liefert {reg5} Einheiten {s6} nach {s4}
qst_deliver_wine_text|{s9} von {s3} bat Euch, {reg5} Einheiten {s6} in die Schenke nach {s4} in 7 Tagen zu liefern.
qst_troublesome_bandits|Jagt lästige Banditen
qst_troublesome_bandits_text|{s9} von {s4} bat Euch, die räuberischen Banditen in der näheren Umgebungen der Stadt zu jagen.
qst_kidnapped_girl|Zahlt den Banditen das Lösegeld für das Mädchen.
qst_kidnapped_girl_text|Der Bürgermeister von {s4} hat Euch {reg12} Pfennige gegeben um das entführte Mädchen von den Banditen freizukaufen. Ihr sollt Euch mit den Banditen bei {s3} treffen und das Lösegeld bezahlen. Danach sollt Ihr das Mädchen zurück nach {s4} bringen.
qst_persuade_lords_to_make_peace|Sorgt dafür, dass zwei Fürsten nicht dem Friedensabkommen im Weg stellen.
