qstr_Breaking_camp...|Lager wird abgebrochen ...
; qstr_The_poem_the_bard_ha|The poem the bard had written for {s33} didn't seem to work very well.
qstr_Poem_for_a_lady|Gedicht für eine Dame
; qstr_{s33}_seemed_to_like|{s33} seemed to like the poem the bard had written for her.
; qstr_The_bard_s_poem_abou|The bard's poem about you seems to be spreading through the land.
qstr_Fame_spreads|Ruhm breitet sich aus
; qstr_People_say_that_{s31|People say that {s31} found a buried Viking hoard on {s32}'s property. The lords came to blows over its ownership.
; qstr_People_say_that_{s31}|People say that {s31} or his servants are stealing cattle from {s32}'s property. That made {s32} furious.
; qstr_People_say_that_{s31}_|People say that {s31} served one of {s32}'s bodyguards a horn of poisoned mead. {s32} is infuriated.
; qstr_People_say_that_{s31}_t|People say that {s31} tried to bribe some of {s32}'s bodyguards to get access to the household, but {s32} found out.
; qstr_People_say_that_a_ru|People say that a rumor spread by an unknown traveller failed to incite enmity between {s31} and {s32}.
qstr_{s33}|{s33}
qstr_Rumors|Gerüchte
; qstr_{playername}_is_beli|{playername} is believed to be behind the recent derogatory rumors involving {s32} and {s31}.
; qstr_A_recent_rumor_alleg|A recent rumor alleges that {s32} hides behind his bodyguards in battles.
; qstr_A_recent_rumor_allege|A recent rumor alleges that {s32} is practicing some kind of perverted rituals in his mead hall.
; qstr_A_recent_rumor_alleges|A recent rumor alleges that {s32} is very fond of his new mare, if you know what I mean.
; qstr_A_recent_rumor_alleges_|A recent rumor alleges that {s32} would rather wield a drinking horn than a sword.
; qstr_People_say_that_a_rum|People say that a rumor spread by an unknown traveller about {s32} failed to damage his reputation.
; qstr_{playername}_is_belie|{playername} is believed to be behind the recent rumors about {s32}'s indiscretions.
; qstr_A_recent_rumor_sprea|A recent rumor spread by an unknown traveller alleges that {s32} is intriguing against {s31}.
; qstr_People_say_that_a_rumo|People say that a rumor spread by an unknown traveller about {s32} being a disloyal vassal failed to incite enmity between {s32} and {s31}.
; qstr_{playername}_is_believ|{playername} is believed to be behind the recent rumors about {s32}'s disloyalty.
; qstr_It_seems_that_{s31}_|It seems that {s31} has found recent stories about {s32}'s infidelity plausible.
; qstr_It_appears_{s31}_has|It appears {s31} has dismissed recent stories about {s32}'s infidelity as nothing but his enemies' gossip.
; qstr_It_seems_that_{s31}_h|It seems that {s31} has found recent stories about {s32}'s disloyalty quite plausible.
; qstr_It_appears_that_{s31|It appears that {s31} has dismissed recent stories about {s32}'s disloyalty as nothing but his enemies' gossip.
; qstr_It_seems_that_{s31}_w|It seems that {s31} was not amused after {s32} was found to be involved in a cattle-thieving scheme.
; qstr_It_appears_{s32}_had|It appears {s32} had managed to avoid being linked to a recent murder, and his relations with {s31} didn't suffer.
; qstr_Winter_is_the_worst_|Winter is the worst time for war. It's cold, it rains too much and food is scarce. In winter, men would rather shelter by the fire than campaign. Watch your morale and your food stores.
; qstr_{s40}_decided_to_bec|{s40} decided to become an adventurer near {s39}
; qstr_It_seems_your_soldie|It seems your soldiers had a good time and helped themselves to some of the drinks in your inventory.
; qstr_It_seems_someone_wen|It seems someone went through your inventory and stole some of your {s33}.
qstr_{s22}|{s22}
; qstr_{s33}_was_beaten_up_|{s33} was beaten up and thrown into dungeon by an angry crowd in {s34}.
; qstr_{s33}_s_attempts_to_|{s33}'s attempts to influence people of {s34} have failed.
; qstr_The_people_of_{s34}_|The people of {s34} hate you so much that the guards did not allow {s33} to enter.
; qstr_A_livestock_epidemic|A livestock epidemic has killed {reg4} cattle in {s4}.
; qstr_A_livestock_epidemic_|A livestock epidemic has killed {reg5} sheep in {s4}.
; qstr_A_livestock_epidemic_h|A livestock epidemic has killed {reg4} cattle and {reg5} sheep in {s4}.
; qstr_You_receive_a_messag|You receive a message from {s1} demanding lands to support them in a style that befits them.
; qstr_You_receive_a_message|You receive a message from {s1} reminding you of your obligations to provide for your vassals.
; qstr_Your_men_made_some_d|Your men made some delicious butter from cow's milk.
; qstr_A_livestock_epidemic_ha|A livestock epidemic has killed {reg5} of your cattle at a farmstead near {s4}.
; qstr_A_livestock_epidemic_has|A livestock epidemic has killed {reg4} cattle and {reg5} of your cattle at a farmstead near {s4}.
qstr_Your_party_is_spotte|Euer Trupp wird von {s1} entdeckt.
qstr_Your_men_have_nothin|Eure Männer haben nichts zu Essen!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?sind:ist} während der Nacht von Eurem Trupp entflohen.
qstr_{s1}_of_the_{s3}_has|{s1} von {s3} wurde aus der Gefangenschaft entlassen.
qstr_{s1}_is_no_longer_in|{s1} wimmelt nicht länger von Banditen (bei Nacht).
qstr_{s1}_has_won_the_tou|{s1} hat das Turnier in {s2} gewonnen.
qstr_You_pay_for_accommod|Ihr zahlt für Logis.
qstr__Your_tactics_skill_|Eure Taktik-Fertigkeit ist um 1 angestiegen.
qstr__Your_persuasion_ski|Eure Überzeugungskraft ist um 1 angestiegen.
qstr__Your_leadership_ski|Eure Anführerschaft ist um 1 angestiegen.
qstr__Your_intelligence_h|Eure Intelligenz ist um 1 angestiegen.
qstr__Your_trade_skill_ha|Eure Handelsfertigkeit ist um 1 angestiegen.
qstr__Your_weapon_master_|Eure Waffenmeister-Fertigkeit ist um 1 angestiegen.
qstr__Your_engineer_skill|Eure Baumeisterfertigkeit ist um 1 angestiegen.
qstr_You_have_finished_re|Ihr habt {s1}.{s2} ausgelesen
qstr_Book_Read|Buch gelesen
; qstr_Christian_monastery|Christian monastery
; qstr_Christian_church|Christian church
; qstr_shrine_to_Norse_gods|shrine to Norse gods
; qstr_temple_to_Odin|temple to Odin
; qstr_People_of_{s24}_are_|People of {s24} are unhappy with your religious intolerance, and destroyed {s25}.
qstr_You_have_{reg0}_days|Ihr habt {reg0} Tage, dieser Quest zu beenden.
qstr_{s1}_is_scouted.|{s1} wird ausgespäht.
qstr_{s1}_has_switched_fr|{s1} ist von {s2} zu {s3} gewechselt.
; qstr_The_merchants__rest_|The merchants' rest hall in {s1} adds to its prosperity.
; qstr_Christian_monastery_|Christian monastery at {s33} improves Christian faith in {s34}.
; qstr_The_scriptorium_in_{|The scriptorium in {s1} adds to your renown.
; qstr_Due_to_the_good_word|Due to the good word Christian clergymen spread about you, your relationship with the {s1} improves.
; qstr_Due_to_the_bad_word_|Due to the bad word Christian clergymen spread about you, your relationship with the {s1} declines.
; qstr_{s1}_has_become_host|{s1} has become hostile to you due to your mistreatment of Christian subjects.
; qstr_Faction_became_hosti|Faction became hostile
; qstr_Due_to_the_good_word_|Due to the good word influential pagans spread about you, your relationship with the {s1} improves.
; qstr_Due_to_the_bad_word_i|Due to the bad word influential pagans spread about you, your relationship with the {s1} declines.
qstr_{s1}_has_become_hosti|{s1} wurde euch gegenüber feindselig wegen schlechter Behandlung von heidnischen Untertanen.
; qstr_{s13}_has_too_many_t|{s13} has too many troops garrisoned in and may be picked by marshal to levy soldiers.
qstr_most|die meisten
qstr_half|halb
qstr_some|viele
qstr_few|wenige
qstr_There_are_too_many_m|Es sind zu viele Männer in Eurem Unterschlupf. Einige von ihnen wurden unglücklich und haben Euch verlassen!
qstr_Refuge_Garrison|Unterschlupfgarnison
; qstr_You_receive_word_tha|You receive word that the trainer at {s1} has completed his task.
; qstr_TEST:_I_moved_Lords_|TEST: I moved Lords to St Helena.
; qstr_TEST:_I_bring_Lords_|TEST: I bring Lords back.
; qstr_Physicians_in_larger|Physicians in larger towns can treat the wounds for a price, after which they will heal within a few days. Any negative effects will then be removed.
qstr_You_are_wounded|Ihr seid verwundet
; qstr_{s1}You_have_only_on|{s1}You have only one day left to take care of {reg7} of your injuries. Visit a physician in a larger town to do so.^^
; qstr_{s1}{reg7}_of_your_i|{s1}{reg7} of your injuries {reg8?have:has} become permanent because {reg8?they haven't been:it wasn't} tended.^^
; qstr_{s1}{reg7}_of_your_w|{s1}{reg7} of your wounds {reg8?are:is} cured, and your related abilities aren't limited any more.
qstr_{s1}|{s1}
qstr_Wound_Report|Wundbericht
qstr_A_ship_has_been_buil|In {s0} ist ein Schiff für Euch gebaut worden.
qstr_Ship_finished|Schiff fertig
; qstr_{s0}_has_recovered_f|{s0} has recovered from being raided.
; qstr_By_now_you_have_more|By now, you have more than one ship. In a sea battle you can give a 'stand ground' or 'charge' command to your ships by giving it to class number nine, like you give commands to a troop class in a field battle. The first troops in your army list will be together with you on the flagship. The other troops will be in the following ships. You can change your flagship in a port and while camping on the sea. If you are next to a coast you can also split your fleet while camping on the sea or search for the closest landing point with a right click on your party.
qstr_Ship_management|Schiff Management
qstr_Your_troops_are_angr|Eure Truppen sind wütend, weil sie es hassen, die Nacht auf dem Meer zu verbringen.
qstr_Your_troops_feel_une|Eure Truppen haben ein ungutes Gefühl dabei, dass Meer zu überqueren.
qstr_Severe_weather_has_d|Unwetter hat die {s1} ({s7}) beschädigt.
qstr_Severe_weather_has_de|Unwetter hat die {s1} ({s7}) zerstört.
qstr_vSeason|vSeason
qstr_vWindStrength|vWindStrength
qstr_The_weather_changed_|Das Wetter änderte sich in: 'Ruhig'
qstr_The_weather_changed_t|Das Wetter änderte sich in: 'Leichte Brise'
qstr_The_weather_changed_to|Das Wetter änderte sich in: 'Mäßige Brise'
qstr_The_weather_changed_to:|Das Wetter änderte sich in: 'Steife Brise'
qstr_The_weather_changed_to:_|Das Wetter änderte sich in: 'Starker Wind'
qstr_The_weather_changed_to:__|Das Wetter änderte sich in: 'Stürmischer Wind'
qstr_The_weather_changed_to:__S|Das Wetter änderte sich in: 'Sturm'
; qstr_The_operation_of_the|The operation of the slave market in {s33} reduces your reputation.
; qstr_DEBUG_rebellion:_che|DEBUG rebellion: checking faction {s1} on day {reg1}
; qstr_DEBUG_rebellion:_fac|DEBUG rebellion: faction {s1} reborn on day {reg1}
; qstr__Possible_Rebellion_|(Possible Rebellion) Rumors say that {s14} is still alive.
