fac_no_faction|No Faction
fac_commoners|Commoners
fac_outlaws|Outlaws
fac_neutral|Neutral
fac_innocents|Innocents
fac_merchants|Merchants
fac_culture_norse|Norse
fac_culture_saxon|Saxon
fac_culture_angle|Angle
fac_culture_welsh|Brittonic
fac_culture_irish|Goidelic
fac_culture_scotch|Pictish
fac_player_faction|Player Faction
fac_player_supporters_faction|Player's Supporters
fac_kingdom_1|Kingdom of Danmark
fac_kingdom_2|Kingdom of Northvegr
fac_kingdom_3|Kingdom of Laithlind
fac_kingdom_4|Kingdom of Friese
fac_kingdom_5|Kingdom of West Seaxe
fac_kingdom_6|Kingdom of East Engle
fac_kingdom_7|Kingdom of Mierce
fac_kingdom_8|Kingdom of Northhymbre
fac_kingdom_9|Kingdom of Gwynedd
fac_kingdom_10|Kingdom of Brycheiniog
fac_kingdom_11|Kingdom of Alt Clut
fac_kingdom_12|Kingdom of Cornubia
fac_kingdom_13|Kingdom of Glywyssing
fac_kingdom_14|Kingdom of Uladh
fac_kingdom_15|Kingdom of Laigin
fac_kingdom_16|Kingdom of Mumain
fac_kingdom_17|Kingdom of Connachta
fac_kingdom_18|Ui Niell of Aileach
fac_kingdom_19|Kingdom of Mide
fac_kingdom_20|Kingdom of Alban
fac_kingdom_21|Tribe of Osraige
fac_christians|Christians
fac_pagans|Pagans
fac_manhunters|Manhunters
fac_deserters|Deserters
fac_mountain_bandits|Sea Warriors
fac_forest_bandits|Forest Bandits
fac_apoyoplayer|Neutral
fac_adventurers|Adventurers
