str_yes|Sí.
str_no|No.
str_blank_string| 
str_noone|nadie
str_s50_and_s51|{s50} y {s51}
str_s52_and_s51|{s52} y {s51}
str_s5_s_party|Grupo del {s5}
str_given_by_s1_at_s2|Asignado por {s1} en {s2}
str_given_by_s1_in_wilderness|Asignado por {s1} en las afueras
str_s7_raiders|{s7} asaltadores
str_bandits_eliminated_by_another|Otro grupo ha acabado con los bandidos problemáticos.
; str_msg_battle_won|Battle won, your foes lie slaughtered on the field! (Press tab key to leave)
; str_tutorial_map1|You are now viewing the world map. Left-click on the map to move your party to that location, enter the selected town, or pursue the selected party.^Time will pause on the overland map if your party is not moving, waiting or resting. To wait anywhere simply press and hold down the space bar.^This is a good moment to save your game! Press the Esc key and choose Save As or use F12 for quick saving.^^Good luck!
; str_tutorial_map11|You now have a strong party of men. Return to the jarl for further instruction.
str_randomize|Al azar
str_charge|Cargad
str_color|Color
str_flip_horizontal|Voltear horizontal
str_flip_vertical|Voltear vertical
str_hold_fire|Alto el fuego
str_blunt_hold_fire|Contundente/Alto el fuego
str_tutorial_ammo_refilled|Munición recargada.
; str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to the menu where you can retry this tutorial.
; str_tutorialmq_1_msg_1|In this tutorial, you will learn the basics of movement, interaction, and combat. ^^In Viking Conquest, you use the mouse to control where you are looking, and the W, A, S, and D keys of your keyboard to move. Your first task is... ^^Goal: Go to the center of the boat.
; str_tutorialmq_1_msg_2|Well done. Next, we will learn to interact with objects and persons. Near you, there is a man called Bodo. To find out who a person is, walk toward him or her until the name pops up. In order to talk to Bodo once you find him, press the F key. ^^Use the F key to interact with persons and scene props. It will open doors and chests, pick up items and more. ^^Goal: Talk to Bodo.
; str_tutorialmq_1_msg_3|Excellent. Next, we will cover attacking with weapons. ^^You can draw different weapons from your weapon slots by scrolling forward with the wheel of your mouse or by pressing one of the first four numbers on your number pad. ^^You attack with your currently wielded weapon by using your left mouse button. Press and hold the button to ready an attack, then release the button to strike. If you hold down the left mouse button for a while before releasing, your attack will be more powerful. ^^Scroll down or use the number pad to bring out your shield or put it away. ^^Goal: Talk to Veteran to practice some combat.
; str_tutorialmq_1_msg_4|Nice work! You know all the basic concepts to play Viking Conquest. Now you can explore, talk to NPCs, fight in sailors, or finally, when you are ready, talk to captain to continue your adventure.
str_finished|(Terminado)
str_delivered_damage|Causa {reg60} puntos de daño.
str_archery_target_hit|Distancia: {reg61} yardas. Puntuación: {reg60}
str_use_baggage_for_inventory|Utilizad vuestro equipaje para acceder a vuestro inventario en batalla (está en vuestra posición inicial).
str_cant_use_inventory_now|Imposible acceder al inventario en estos momentos.
