ip_armies_size|Tamaño del ejército
ip_armies_size_text|El tamaño de nuestro ejército, similar al de los ejércitos de los señores, depende de varios factores :^^Liderazgo: cada punto incrementará el tamaño máximo de su ejército en 5. Compañeros con Liderazgo ayudan a dirigir al grupo.^^Carisma: cada punto de su carisma incrementará el tamaño máximo de su ejército en 1. Es su habilidad de atraer hombres a su causa.^^Prestigio: cada 9 puntos incrementará el tamaño máximo de su ejército en 1. La fama atrae a seguidores.^^Propiedad: cada ciudad añadirá 80 hombres y cada fuerte 40 al tamaño máximo de su ejército. Esos puntos representan hombres que puede reclutar.^^Tenga en mente que el tamaño del grupo en el mar está restringido por la capacidad del barco. Las troopas extra siempre pueden dejarse en la guarnición de un asentamiento, Refugio de jugador (una vez construido), o cualquier cuartel de campamento.
ip_morale|Moral
ip_morale_text|Moral representa la habilidad y disposición de las tropas de un grupo de convocar la resistencia, valentía, y disciplina que necesitan para enfrentarse a la tensión de la batalla y la marcha. No es lo mismo que la felicidad de las tropas. Las tropas de élite pueden quejarse y lloriquear de las adversidades de la campaña -- pero después se alzan unidos como uno cuando las flechas empiezan a volar. Por otra parte, un comandante que da a sus hombres todo cuanto quieren encuentra que se reblandecen, y se extienden antes de la carga del enemigo.^^El mayor impacto de la Moral está en el comportamiento del grupo en batalla, determinando cómo de agresivamente se enfrentan las tropas al enemigo, y cuántas posibilidades tienen de romperse y correr si perciben el curso de la batalla volviéndose en su contra. Moral también afecta a la velocidad de marcha del grupo, así como un grupo menos motivado se moverá más lentamente, los hombres no se esfuerzan hasta su límite físico, y se detienen más frecuentemente, así como esperan a alcanzar a forasteros. Finalmente, un grupo con muy baja moral empezará a sufrir deserciones.^^Algunos factores que afectan a la moral son intuitivos. Por ejemplo, un comandante carismático con una reputación por ganar batallas puede infundir a sus hombres confianza. Los líderes que dan a sus hombres amplios y variados suministros, y les paga por tiempo, demuestra que se preocupa por el bienestar de sus tropas y es menos propenso a llevarlas al desastre.^^Otros factores son menos intuitivos -- particularmente esos relacionados a una cohesión de sentido de grupo. En la unión de un grupo más pequeño, por ejemplo, los hombres lucharán a menudo más duramente contra desmoralizantes extraños para evitar mostrar cobardía ante sus comandantes. Un grupo más grande, por otra parte, puede ver sus cohesiones agotadas, así como el comandante tiene menos tiempo de supervisar a los hombres, escuchar sus quejas, y resolver sus disputas. Las batallas frecuentes fortalecerán los vínculos entre los hombres, mientras que largos períodos sin combate verán a las tropas volverse aburridas y combativas.^^El informe de Moral, accesible pulsando el botón 'Información de grupo' de la pantalla 'Personaje', le dará al jugador un sentido de los factores que afectan a la moral de sus hombres.
ip_economy|Economía
ip_economy_text|Las ciudades y aldeas de Northlands necesitan una amplia variedad de bienes para sus poblaciones para mantenerse saludables y productivos. Lo más importante es la comida. El grano es el cultivo básico de Northlands, pero la gente también necesita grasa y proteina en la forma de carne, pescado o queso. Cuesta mucho tiempo mantener la carne, así como producirla en primer lugar, así que la sal está también en alta demanda. Tras la comida viene la ropa: lana gruesa, lino fino, o lujoso terciopelo. Por último, la gente necesita las herramientas de su comercio: utensilios de hierro, cerámica, utensilios para el cuero y, porsupuesto, armas, armadura, y caballos de guerra.^^La mayoría de los productos agrícolas se producen en las aldeas, mientras que los artesanos de las ciudades se especializan en bienes manufacturados o artesanales como telas o utensilios de hierro. También, pueden encontrarse distintos recursos en distintas partes del país. Consecuentemente, la clave de la prosperidad en Northlands es el comercio -- entre las aldeas y las ciudades, y entre las mayores ciudades mismas.^^Cuando el comercio fluye, los bienes estarán disponibles y asequibles, la población de un asentamiento estará sana y enérgica, y los inmigrantes acudirán en masa desde las regiones cercanas. El asentamiento producirá más, consumirá más, y será capaz de colaborar más en impuestos para sus señores. Cuando el comercio se estanca, las ciudades y aldeas verán a sus trabajadores huir para buscar trabajo en otra parte, y la actividad económica irá a la deriva. De este modo, a los gobernantes les interesa proteger las rutas de comercio de los peligros de la guerra y del vandalismo. Un comerciante inteligente, no obstante, puede querer buscar ciudades aisladas del resto de la tierra, por lo que pueden ser capaces de obtener un buen beneficio de los desequilibros del precio resultantes.^^Porque los aldeanos usualmente planean vender sus bienes en las ciudades, los mercados de aldea serán lugares bastante tranquilos, y los aldeanos comprarán barato y venderán caro. Los comerciantes serios se meterán en las ciudades para sacar beneficio, aunque algunos grupos pueden decidir hacer una rápida parada en una aldea para adquirir suministros.^^Un jugador que quiere saber sobre los factores que afectan a la prosperidad de la región puede hablar con el alcalde de la ciudad local. Otra información se puede averiguar de los transeúntes, aunque ellos podrían no saber mucho fuera de su propio comercio.
ip_courtship|Cortejo
ip_courtship_text|Usted puede desear casarse en una de las familias nobles de las tierras del norte. El matrimonio no es necesario para alguien que crece en poder e importancia, pero eso les provee de una oportunidad para mejorar su relación con los señores y establecer un reclamo al trono.^^Los requisitos del matrimonio será diferente para machos y hembras. Un personaje masculino normalmente necesitará perseguir un camino tradicional de noviazgo. Él debería de establecer una reputación en la sociedad aristocrática, llevar buenos términos con los padres de su novia o guardianes, y luego cortejar a la dama de acuerdo a la costumbre local. Si un jugador se impacienta, puede intentar tomar un atajo -- pero habrá consecuencias en sus relaciones con otros señores.^^Un personaje masculino debería tener en cuenta que otros señores estarán compitiendo con él por la atención de las damas del reino. También, los gustos de una dama son impredecibles, y un jugador podría también encontrar que el objeto de su amor no le ama a él a cambio. El romance, en las tierras del norte como en cualquier otra parte, no siempre prospera. Por supuesto, un jugador puede recurrir a otro, por medios menos caballerosos de ganar el corazón de una dama, pero de nuevo, eso puede tener un impacto serio en su reputación.^^Para iniciarse en el camino del cortejo, un jugador masculino debería intentar mezclarse en la vida social de la aristocracia de las tierras del norte, asistiendo a banquetes y torneos. También, los trobadores ambulantes y poetas pueden servir como un útil almacén de información sobre cortejo, y mantienen al jugador informado sobre los últimos cotilleos.^^Los personajes femeninos también pueden casarse -- pero ellas deberían tener en mente que esas sociedades son muy tradicionales, y, como aventureras, han elegido un camino muy inusual para una mujer. Un personaje femenino puede tener que mirar por un rato para encontrar a un señor lo bastante abierto de mente para casarse con ella.^^En el lado brillante, un personaje femenino no tiene que ir por los elaborados rituales del cortejo, y también puede ganar más de un matrimonio que su homólogo masculino. para una mujer aventurera, el matrimonio puede ser un camino rápido hacia el poder -- y un personaje taimado puede ser capaz de utilizar a su marido como herramienta para sus ambiciones políticas.
ip_politics|Política
ip_politics_text|Los reinos de las tierras del norte, aunque representan distintas culturas, todas compartidas bajo un sistema político básico que precedía al feudalismo. En lo alto de la gerarquía social germánica estaba el rey, elegido por un consejo de nobles de la casa real. Toda la tierra del reino pertenecía al rey, quien la distribuía entre la aristocracia y los querreros que han desempeñado espectaculares hazañas. Esta tierra no obstante no se convertía en su propiedad y en caso de muerte, fuera el rey o el cliente, volvía al gobernante. La nobleza gobernaba cada condado en nombre del rey con la responsabilidad de administración y justicia, alzando y llevando las recaudaciones de los hombres al campo de batalla. Para este propósito dividían su tierra en pequeñas parcelas entre los hombres libres que formaban la columna vertebral de la economía rural del reino. Estos grangeros y propietarios pagaban alquiler a su gobernante y/o tenían varios deberes hacia él, tales como construir fortificaciones o trabajar algunos días a la semana durante el tiempo de cosecha.^^Este sistema de cliente era también practicado entre los nobles, quienes establecían jerarquías de homenaje y apoyo político. Los cada vez más poderosos monasterios eran establecimientos eclesiásticos autónomos con sus propias tierras y clientes.^^Una característica distintiva de las sociedades celtas (gaélicas, galesas y pictas) era la importancia del linaje, el clan. Un gran grupo de gente relacionada supuestamente descendía de un ancestro común, actuando como una independiente y social entidad legal.^^Cuando un reino en las tierras del norte hace la guerra con otro, la unidad política de cada reino es tan importante como la calidad o el número de sus soldados en determinar el resultado. En un reino cohesionado, los nobles se unirán entre sí en una gran fuerza para barrer a sus oponentes antes que ellos. En un reino dividido por mezquinas disputas, los señores fallarán al responder a las citas de los mariscales, o irán a la deriva al atender sus propios asuntos si una campaña no va bien. Una cohesión política de una facción también provocará guerra cuando las campañas no progresan. En una facción dividida, será menos probable que los señores se unan en incursiones y patrullas o que se defiendan unos a otros.^^Si parecen disputas y peleas de nobles y las peleas están medio perdidas cuando el enemigo está justo en la esquina, tenga en mente que finalmente, la lealtad de un noble no pertenece a una faccón o cultura particular, sino a sí mismo y a su familia. Si un noble teme que su facción está colapsando, o si está siendo abandonado por su señor feudal, él puede normalmente encontrar una razón para retirar su juramento de lealtad y cambiar de bando. Los jugadores deberían tener esto en mente, pues pueden encontrar que hay oportunidades de convertir a antiguos enemigos descontentos en aliados.
ip_character_backgrounds|Trasfondo de los personajes
