pt_none|ninguno
pt_rescued_prisoners|Prisioneros rescatados
pt_enemy|Enemigo
pt_hero_party|Grupo del Héroe
pt_village_defenders|Defensores de la aldea
pt_cattle_herd|Rebaño de ganado
pt_looters|Ladrones
pt_manhunters|Guerreros jóvenes
pt_steppe_bandits|Norteños
pt_taiga_bandits|Vikingarnir
pt_desert_bandits|Renegados veteranos
pt_forest_bandits|Asaltantes
pt_mountain_bandits|Renegados
pt_sea_raiders|Luchadores sin líder
pt_sea_raiders2|Vikingarnir de élite daneses
pt_fianna|Renegada Fianna
pt_frank_looters_1|Ladrones francos
pt_frank_looters_2|Frankos montados
pt_deserters|Hombres sin líder
pt_merchant_caravan|Caravana mercantil
pt_troublesome_bandits|Bandidos problemáticos
pt_bandits_awaiting_ransom|Bandidos secuestradores
pt_kidnapped_girl|Doncella secuestrada
pt_village_farmers|Campesinos
pt_spy_partners|Viajeros corrientes
pt_runaway_serfs|Siervos fugitivos
pt_spy|Ciudadano común
pt_sacrificed_messenger|Mensajero sacrificado
pt_scout_party|Exploradores
pt_messenger_party|Mensajero
pt_raider_party|Salteadores
pt_raider_captives|Salteadores prisioneros
pt_kingdom_caravan_party|Comerciante
pt_prisoner_train_party|Tren de prisioneros
pt_default_prisoners|Prisioneros normales
pt_routed_warriors|Enemigos derrotados
pt_center_reinforcements|Refuerzos
pt_kingdom_hero_party|Grupo de guerra
pt_steppe_bandit_lair|Fuerte norteño
pt_taiga_bandit_lair|Fuerte de Vikingarnir
pt_desert_bandit_lair|Un campamento de renegados veteranos
pt_forest_bandit_lair|Una guarida de asaltantes
pt_mountain_bandit_lair|Campamento de renegados
pt_sea_raider_lair|Un campamento de luchadores
pt_sea_raider_lair2|Fuerte danés
pt_looter_lair|La guarida de los secuestradores
pt_leaded_looters|Banda de asaltantes
pt_sacerdotes_party|Clero Cristiano
pt_paganos_party|Sacerdotes paganos
pt_sea_raiders_ships|Salteadores fráncicos
pt_sea_raiders_ships2|Vigingos danés
pt_sea_raiders_ships3|Vikingos
pt_sea_raiders_ships4|Vikingos noruegos
pt_sea_raiders_ships5|Vikingos suecos
pt_sea_raiders_ships6|Salteadores
pt_chimney_smoke|Humo
pt_epic_fleet|Flota vikinga épica
pt_port|puerto
pt_ferry_port|puerto
pt_landet_ships|Tus barcos
pt_fisher_ship|Pescador
pt_traveller_ship|Viajero
pt_slave_trader_ship|Traficante de esclavos
pt_sea_king_danish|Rey del Mar
pt_sea_king_norweg|Rey del Mar
pt_walrus_hunter|Cazador de morsas
pt_viking_raider|Asaltante vikingo
pt_ambushers|Emboscadores
pt_ship|Barco
pt_sven_doccinga_ca|Asaltantes de Sven
pt_sven_lair_deffense|Guarida de Sven
pt_kennemer_revenge|Asaltantes
pt_sigurd_farm_men|Hombres de Sigurd
pt_wessex_foragers|Mendigos Seaxe del oeste
pt_wessex_patrol|Patrulla Seaxe del oeste
pt_norway_looters|Ladrones
pt_jetty_port|puerto
pt_boar_herd|Rebaño de jabalís
pt_adv_party|Grupo de guerra
pt_slave_hideout|Guarida
pt_village_elder|Recaudación
