skl_trade|Comerciar
skl_trade_desc|Cada nivel de esta habilidad reduce la penalización de comercio en un 5%%. (Habilidad de grupo)
skl_leadership|Liderar
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 and reduces troop wages. (Leader skill)
skl_prisoner_management|Manejar prisioneros
skl_prisoner_management_desc|Cada nivel de esta habilidad incrementa el número máximo de prisioneros en %d. (Habilidad de líder)
skl_reserved_1|Habilidad reservada 1
skl_reserved_1_desc|Ésta es una habilidad reservada.
skl_reserved_2|Habilidad reservada 2
skl_reserved_2_desc|Ésta es una habilidad reservada.
skl_reserved_3|Habilidad reservada 3
skl_reserved_3_desc|Ésta es una habilidad reservada.
skl_reserved_4|Habilidad reservada 4
skl_reserved_4_desc|Ésta es una habilidad reservada.
skl_persuasion|Persuadir
skl_persuasion_desc|Esta habilidad ayuda a que la gente acepte vuestro punto de vista. (Habilidad personal)
skl_engineer|Ingeniería
skl_engineer_desc|Esta habilidad os permite construir equipo de asedio y crear mejoras más eficientes en los feudos. (Habilidad de grupo)
skl_first_aid|Primeros Auxilios
skl_first_aid_desc|Los héroes recuperan un 5%% por nivel de sus puntos de vida perdidos durante una batalla. (Habilidad de grupo)
skl_surgery|Cirugía
; skl_surgery_desc|Each point of this skill gives a 4%% chance that a mortally struck party member will be wounded rather than killed. (Party skill)
skl_wound_treatment|Tratar Heridas
; skl_wound_treatment_desc|Party healing speed is increased by 20%% per level of this skill. Additionally, each point increases the chance that deep wounds will heal better by 5%%. (Party skill)
skl_inventory_management|Administrar el inventario
skl_inventory_management_desc|Incrementa la capacidad del inventario +6 por nivel de habilidad. (Habilidad de líder)
skl_spotting|Otear
skl_spotting_desc|El rango de visión del grupo se incrementa un 10%% por nivel de habilidad. (Habilidad de grupo)
; skl_pathfinding|Path-Finding
skl_pathfinding_desc|La velocidad del grupo en el mapa se incrementa un 3%% por nivel de habilidad. (Habilidad de grupo)
skl_tactics|Táctica
skl_tactics_desc|Cada dos niveles de esta habilidad, se incrementa la ventaja inicial de batalla en 1. (Habilidad de grupo)
skl_tracking|Rastrear
skl_tracking_desc|Se obtiene más información sobre los rastros. (Habilidad de grupo)
skl_trainer|Instructor
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30}. (Personal skill)
skl_reserved_5|Habilidad reservada 5
skl_reserved_5_desc|Ésta es una habilidad reservada.
skl_reserved_6|Habilidad reservada 6
skl_reserved_6_desc|Ésta es una habilidad reservada.
skl_reserved_7|Habilidad reservada 7
skl_reserved_7_desc|Ésta es una habilidad reservada.
skl_reserved_8|Habilidad reservada 8
skl_reserved_8_desc|Ésta es una habilidad reservada.
skl_looting|Saquear
skl_looting_desc|Esta habilidad incrementa la cantidad obtenida en el saqueo en un 10%% por nivel de habilidad. (Habilidad de grupo)
skl_horse_archery|Arquería Montada
skl_horse_archery_desc|Reduce la penalización al daño y a la puntería al utilizar arcos, ballestas y armas arrojadizas desde caballos. (Habilidad personal)
skl_riding|Cabalgar
; skl_riding_desc|Enables you to ride horses of higher difficulty levels and increases your riding speed and manuever. With a skill of 4 or higher, you can also call your horse with the 'H' key in a battle. (Personal skill)
skl_athletics|Atletismo
skl_athletics_desc|Incrementa vuestra velocidad al correr. (Habilidad personal)
skl_shield|Escudo
skl_shield_desc|Reduce el daño a los escudos (en un 8%% por nivel de habilidad) y mejora la velocidad al escudarse y cubrirse. (Habilidad personal)
skl_weapon_master|Maestría en Armas
; skl_weapon_master_desc|Makes it easier to learn weapon proficiencies, increases the proficiency limits and improves shield speed and coverage. Limits go as: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Personal skill)
; skl_maintenance|Weapon Maintenance
; skl_maintenance_desc|Adequate maintenance of your equipment will lower the chance of it breaking in battle. Each point of this skill reduces the probability of breaking by 7%%. (Party skill)
skl_reserved_10|Habilidad reservada 10
skl_reserved_10_desc|Ésta es una habilidad reservada.
skl_reserved_11|Habilidad reservada 11
skl_reserved_11_desc|Ésta es una habilidad reservada.
skl_reserved_12|Habilidad reservada 12
skl_reserved_12_desc|Ésta es una habilidad reservada.
skl_reserved_13|Habilidad reservada 13
skl_reserved_13_desc|Ésta es una habilidad reservada.
skl_power_draw|Potencia de tensado
skl_power_draw_desc|Permite a los personajes utilizar mejores arcos. Cada punto de esta habilidad (hasta cuatro puntos por encima de los requerimientos del arco) incrementa el daño hecho por los arcos en un 14%%. (Habilidad personal)
skl_power_throw|Potencia de lanzamiento
skl_power_throw_desc|Cada punto de esta habilidad incrementa el daño de lanzamiento en un 10%%. (Habilidad personal)
skl_power_strike|Potencia de golpe
skl_power_strike_desc|Cada punto de esta habilidad incrementa el daño cuerpo a cuerpo en un 8%%. (Habilidad personal)
skl_ironflesh|Piel de hierro
skl_ironflesh_desc|Cada punto de esta habilidad incrementa los puntos de daño en +2. (Habilidad personal)
; skl_navigation|Navigation
; skl_navigation_desc|Party map speed on sea is increased by 5%% per skill level. (Party skill)
; skl_sea_king|Sea-King
; skl_sea_king_desc|Every point increases the maximum number of ships you can command. (Leader skill)
skl_reserved_16|Habilidad reservada 16
skl_reserved_16_desc|Ésta es una habilidad reservada.
skl_reserved_17|Habilidad reservada 17
skl_reserved_17_desc|Ésta es una habilidad reservada.
skl_reserved_18|Habilidad reservada 18
skl_reserved_18_desc|Ésta es una habilidad reservada.
