skinkey_pucker|Mohín
skinkey_chin_shape|Forma mentón
skinkey_chin_forward|Menton saliente
skinkey_jaw_position|Posición de la mandíbula
skinkey_jaw_width|Ancho mandíbula
skinkey_mouth_nose_distance|Distancia boca-nariz
skinkey_mouth_width|Ancho de boca
skinkey_cheeks|Mejillas
skinkey_nose_height|Alto de la nariz
skinkey_nose_width|Ancho de la nariz
skinkey_nose_size|Tamaño de la nariz
skinkey_nose_shape|Forma de la nariz
skinkey_nose_bridge|Puente de la nariz
skinkey_cheek_bones|Pómulos
skinkey_eye_width|Ancho de los ojos
skinkey_eye_to_eye_dist|Distancia entre los ojos
skinkey_eye_shape|Forma de los ojos
skinkey_eye_depth|Profundidad de los ojos
skinkey_eyelids|Párpados
skinkey_eyebrow_position|Posición de las cejas
skinkey_eyebrow_height|Alto de las cejas
skinkey_eyebrow_depth|Profundidad de las cejas
skinkey_eyebrow_shape|Forma de las cejas
skinkey_temple_width|Ancho de la sien
skinkey_face_depth|Profundidad de la cara
skinkey_face_ratio|Proporción de la cara
skinkey_face_width|Ancho de la cara
skinkey_post_edit|Post-edición
skinkey_chin_size|Tamaño del mentón
