fac_no_faction|Groupe sans faction
fac_commoners|Clan des Roturiers
fac_outlaws|Gang de Hors-la-loi
fac_neutral|Clan des Neutres
fac_innocents|Groupe des Innocents
fac_merchants|Clan des Marchands
; fac_culture_norse|Norse
; fac_culture_saxon|Saxon
; fac_culture_angle|Angle
; fac_culture_welsh|Brittonic
; fac_culture_irish|Goidelic
; fac_culture_scotch|Pictish
fac_player_faction|Faction du joueur
fac_player_supporters_faction|Partisans du joueur
; fac_kingdom_1|Kingdom of Danmark
; fac_kingdom_2|Kingdom of Northvegr
; fac_kingdom_3|Kingdom of Laithlind
; fac_kingdom_4|Kingdom of Friese
; fac_kingdom_5|Kingdom of West Seaxe
; fac_kingdom_6|Kingdom of East Engle
; fac_kingdom_7|Kingdom of Mierce
; fac_kingdom_8|Kingdom of Northhymbre
; fac_kingdom_9|Kingdom of Gwynedd
; fac_kingdom_10|Kingdom of Brycheiniog
; fac_kingdom_11|Kingdom of Alt Clut
; fac_kingdom_12|Kingdom of Cornubia
; fac_kingdom_13|Kingdom of Glywyssing
; fac_kingdom_14|Kingdom of Uladh
; fac_kingdom_15|Kingdom of Laigin
; fac_kingdom_16|Kingdom of Mumain
; fac_kingdom_17|Kingdom of Connachta
; fac_kingdom_18|Ui Niell of Aileach
; fac_kingdom_19|Kingdom of Mide
; fac_kingdom_20|Kingdom of Alban
; fac_kingdom_21|Tribe of Osraige
; fac_christians|Christian
; fac_pagans|Pagan
fac_manhunters|Chasseurs de primes
fac_deserters|Déserteurs
; fac_mountain_bandits|Sea Warriors
fac_forest_bandits|Bandits des forêts
fac_apoyoplayer|Clan des Neutres
; fac_adventurers|Adventurers
