str_yes|Oui.
str_no|Non.
str_blank_string| 
str_noone|aucun
str_s50_and_s51|{s50} et {s51}
str_s52_and_s51|{s52} et {s51}
str_s5_s_party|{s5}
str_given_by_s1_at_s2|Donné par {s1} à {s2}
str_given_by_s1_in_wilderness|Donné par {s1} pendant qu'il est sur le terrain
str_s7_raiders|{s7} pilleurs
str_bandits_eliminated_by_another|Les bandits gêneurs ont été éliminés par un autre groupe.
; str_msg_battle_won|Battle won, your foes lie slaughtered on the field! (Press tab key to leave)
; str_tutorial_map1|You are now viewing the world map. Left-click on the map to move your party to that location, enter the selected town, or pursue the selected party.^Time will pause on the overland map if your party is not moving, waiting or resting. To wait anywhere simply press and hold down the space bar.^This is a good moment to save your game! Press the Esc key and choose Save As or use F12 for quick saving.^^Good luck!
; str_tutorial_map11|You now have a strong party of men. Return to the jarl for further instruction.
str_randomize|Au hasard
str_charge|Chargez
str_color|Couleur
str_flip_horizontal|Bascule horizontale
str_flip_vertical|Bascule verticale
str_hold_fire|Cesser le feu
str_blunt_hold_fire|Contondant / Cesser le feu
str_tutorial_ammo_refilled|Munitions rechargées.
; str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to the menu where you can retry this tutorial.
; str_tutorialmq_1_msg_1|In this tutorial, you will learn the basics of movement, interaction, and combat. ^^In Viking Conquest, you use the mouse to control where you are looking, and the W, A, S, and D keys of your keyboard to move. Your first task is... ^^Goal: Go to the center of the boat.
; str_tutorialmq_1_msg_2|Well done. Next, we will learn to interact with objects and persons. Near you, there is a man called Bodo. To find out who a person is, walk toward him or her until the name pops up. In order to talk to Bodo once you find him, press the F key. ^^Use the F key to interact with persons and scene props. It will open doors and chests, pick up items and more. ^^Goal: Talk to Bodo.
; str_tutorialmq_1_msg_3|Excellent. Next, we will cover attacking with weapons. ^^You can draw different weapons from your weapon slots by scrolling forward with the wheel of your mouse or by pressing one of the first four numbers on your number pad. ^^You attack with your currently wielded weapon by using your left mouse button. Press and hold the button to ready an attack, then release the button to strike. If you hold down the left mouse button for a while before releasing, your attack will be more powerful. ^^Scroll down or use the number pad to bring out your shield or put it away. ^^Goal: Talk to Veteran to practice some combat.
; str_tutorialmq_1_msg_4|Nice work! You know all the basic concepts to play Viking Conquest. Now you can explore, talk to NPCs, fight in sailors, or finally, when you are ready, talk to captain to continue your adventure.
str_finished|(Fini)
str_delivered_damage|{reg60} dégâts causés.
str_archery_target_hit|Distance : {reg61} mètres. Score : {reg60}
str_use_baggage_for_inventory|Utilisez votre malle pour accéder à votre inventaire pendant la bataille (elle se trouve sur votre position de départ)
str_cant_use_inventory_now|Impossible d'accéder à l'inventaire pour le moment.
str_cant_use_inventory_arena|Impossible d'accéder à l'inventaire dans les arènes.
str_cant_use_inventory_disguised|Impossible d'accéder à l'inventaire lorsque vous êtes déguisé.
str_cant_use_inventory_tutorial|Impossible d'accéder à l'inventaire dans le camp d'entraînement.
; str_1_denar|1 pening
; str_reg1_denars|{reg1} peningas
str_january_reg1_reg2|{reg1} janvier {reg2}
str_february_reg1_reg2|{reg1} février {reg2}
str_march_reg1_reg2|{reg1} mars {reg2}
str_april_reg1_reg2|{reg1} avril {reg2}
str_may_reg1_reg2|{reg1} mai {reg2}
str_june_reg1_reg2|{reg1} juin {reg2}
str_july_reg1_reg2|{reg1} juillet {reg2}
str_august_reg1_reg2|{reg1} août {reg2}
str_september_reg1_reg2|{reg1} septembre {reg2}
str_october_reg1_reg2|{reg1} octobre {reg2}
str_november_reg1_reg2|{reg1} novembre {reg2}
str_december_reg1_reg2|{reg1} décembre {reg2}
str_town_nighttime| Il est bien tard, et les honnêtes gens dorment à poings fermés.
str_door_locked|La porte est fermée.
; str_castle_is_abondened|The fort seems to be unoccupied.
str_town_is_abondened|La ville n'a pas de garnison la protégeant.
str_place_is_occupied_by_player|L'endroit est occupé par nos propres troupes.
str_place_is_occupied_by_enemy|L'endroit est occupé par des troupes hostiles.
str_place_is_occupied_by_friendly|L'endroit est occupé par des troupes alliées.
str_do_you_want_to_retreat|Êtes-vous sûr de vouloir vous replier ?
str_give_up_fight|Abandonner la bataille ?
str_do_you_wish_to_leave_tutorial|Souhaitez-vous quitter le didacticiel ?
str_do_you_wish_to_surrender|Souhaitez-vous vous rendre ?
str_can_not_retreat|Impossible de se replier, il y a des ennemis à proximité !
; str_s1_joined_battle_enemy|{s1} would join your enemy in a battle.
; str_s1_joined_battle_friend|{s1} would join you in a battle.
str_entrance_to_town_forbidden|Les gardes de la ville sont à l'affût des intrus et il semble que vous ne pourrez pas franchir les portes sans encombre.
str_sneaking_to_town_impossible|Les gardes de la ville sont alertés. Vous ne pourrez pas franchir cette porte sans vous faire repérer, peu importe le type de déguisement que vous utilisez.
str_battle_won|Vous avez gagné la bataille !
str_battle_lost|Vous avez perdu la bataille !
str_attack_walls_success|À l'issue d'un assaut meurtrier, vos courageux soldats s'emparent des murailles.
str_attack_walls_failure|Vague après vague, vos soldats succombent à l'assaut des remparts. Quelques rescapés hagards se dispersent et s'enfuient au loin, pour ne jamais revenir.
; str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the place remains in enemy hands.
str_order_attack_success|Vos hommes se battent vaillament et triomphent de l'ennemi.
str_order_attack_failure|Vous observez avec effroi la déroute de vos troupes. Seuls quelques rares rescapés hagards et en guenilles réussissent à se sauver.
str_order_attack_continue|Malgré de rudes efforts, vos troupes n'ont pas été en mesure de prendre un avantage décisif.
str_join_order_attack_success|Vos hommes victorieux et ceux de vos alliés communient dans la gloire et la rage de l'ennemi vaincu.
str_join_order_attack_failure|Vous observez avec effroi la déroute de vos troupes. Seuls quelques rares rescapés hagards et en guenilles réussissent à se sauver.
str_join_order_attack_continue|Après de multiples charges périlleuses, vous ordonnez la retraite. Vos troupes n'ont pas été en mesure de remporter une victoire décisive.
; str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning a seemingly sure defeat into a full-fledged victory.
str_siege_defender_order_attack_failure|L'assaut se transforme rapidement en bain de sang. Le courage des défenseurs est resté vain, et c'est à l'épée que l'ennemi élimine les derniers défenseurs.
str_siege_defender_order_attack_continue|L'assaut a été contré, mais il semble que ce ne soit que partie remise. Le siège continue.
; str_hero_taken_prisoner|{s1} of the {s3} has been taken prisoner by the {s2}.
; str_hero_freed|{s1} of the {s3} has been freed from captivity by the {s2}.
; str_center_captured|The {s2} has taken {s1} from the {s3}.
str_troop_relation_increased|Vos relations avec le {s1} se sont améliorées de {reg1} à {reg2}.
str_troop_relation_detoriated|Vos relations avec le {s1} se sont détériorées de {reg1} à {reg2}.
; str_faction_relation_increased|Your relation with the {s1} has increased from {reg1} to {reg2}. {s2}
; str_faction_relation_detoriated|Your relation with the {s1} has deteriorated from {reg1} to {reg2}. {s2}
str_party_gained_morale|Votre groupe gagne {reg1} en moral.
str_party_lost_morale|Votre groupe perd {reg1} en moral.
str_other_party_gained_morale|{s1} gagne {reg1} en moral.
str_other_party_lost_morale|{s1} perd {reg1} en moral.
str_qst_follow_spy_noticed_you|L'espion vous a repéré ! Il tente de s'enfuir !
str_duplicate|père
str_s3s_s2|{s2} du {s3}.
str_s5_is_s51|{s5} est {s51}.
; str_s5_is_the_ruler_of_s51|{s5} is the ruler of the {s51}. 
; str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of the {s6}. 
; str_relation_mnus_100|Nemesis
; str_relation_mnus_90|Implacable
str_relation_mnus_80|Atroces
str_relation_mnus_70|Haineuses
; str_relation_mnus_60|Antagonistic
str_relation_mnus_50|Hostiles
str_relation_mnus_40|Agressives
str_relation_mnus_30|Pleines de rancoeur
str_relation_mnus_20|Tendues
str_relation_mnus_10|Mitigées
str_relation_plus_0|Neutres
str_relation_plus_10|Coopératives
; str_relation_plus_20|Welcoming
str_relation_plus_30|Favorables
str_relation_plus_40|Cordiales
str_relation_plus_50|Amicales
str_relation_plus_60|Très bonnes
str_relation_plus_70|Excellentes
str_relation_plus_80|Idéales
str_relation_plus_90|Exceptionnelles
; str_relation_mnus_100_ns|{s60} is your mortal enemy.
; str_relation_mnus_90_ns|{s60} is implacable towards you.
str_relation_mnus_80_ns|{s60} entretient avec vous des relations exécrables.
str_relation_mnus_70_ns|{s60} entretient avec vous des relations détestables.
; str_relation_mnus_60_ns|{s60} is antagonistic towards you.
str_relation_mnus_50_ns|{s60} entretient avec vous des relations hostiles.
str_relation_mnus_40_ns|{s60} entretient avec vous des relations belliqueuses.
; str_relation_mnus_30_ns|{s60} is resentful towards you.
str_relation_mnus_20_ns|{s60} entretient avec vous des relations tendues.
str_relation_mnus_10_ns|{s60} entretient avec vous des relations mitigées.
; str_relation_plus_0_ns|{s60} is indifferent towards you.
str_relation_plus_10_ns|{s60} entretient avec vous des relations coopératives.
str_relation_plus_20_ns|{s60} entretient avec vous des relations accueillantes.
; str_relation_plus_30_ns|{s60} is favorable towards you.
; str_relation_plus_40_ns|{s60} is supportive of you.
; str_relation_plus_50_ns|{s60} is friendly towards you.
; str_relation_plus_60_ns|{s60} is gracious towards you.
str_relation_plus_70_ns|{s60} entretient avec vous des relations excellentes.
str_relation_plus_80_ns|{s60} entretient avec vous des relations idéales.
str_relation_plus_90_ns|{s60} entretient avec vous des relations exceptionnelles.
str_relation_reg1| Relation : {reg1}
; str_center_relation_mnus_100|^The populace hates you with a passion
; str_center_relation_mnus_90|^The populace hates you intensely
; str_center_relation_mnus_80|^The populace hates you strongly
; str_center_relation_mnus_70|^The populace hates you
; str_center_relation_mnus_60|^The populace is hateful to you
; str_center_relation_mnus_50|^The populace is extremely hostile to you
; str_center_relation_mnus_40|^The populace is very hostile to you
; str_center_relation_mnus_30|^The populace is hostile to you
; str_center_relation_mnus_20|^The populace is against you
; str_center_relation_mnus_10|^The populace is opposed to you
; str_center_relation_plus_0|^The populace is indifferent to you
; str_center_relation_plus_10|^The populace is acceptive to you
; str_center_relation_plus_20|^The populace is cooperative to you
; str_center_relation_plus_30|^The populace is somewhat supportive to you
; str_center_relation_plus_40|^The populace is supportive to you
; str_center_relation_plus_50|^The populace is very supportive to you
; str_center_relation_plus_60|^The populace is loyal to you
; str_center_relation_plus_70|^The populace is highly loyal to you
; str_center_relation_plus_80|^The populace is devoted to you
; str_center_relation_plus_90|^The populace is fiercely devoted to you
; str_town_prosperity_0|^The poverty of the town of {s60} is unbearable
; str_town_prosperity_10|^The town of {s60} is all but deserted to its squalor.
; str_town_prosperity_20|^The town of {s60} looks a wretched, desolate place.
; str_town_prosperity_30|^The town of {s60} looks poor and neglected.
; str_town_prosperity_40|^The town of {s60} appears to be struggling.
; str_town_prosperity_50|^The town of {s60} seems unremarkable.
; str_town_prosperity_60|^The town of {s60} seems to be flourishing.
; str_town_prosperity_70|^The prosperous town of {s60} is bustling with activity.
; str_town_prosperity_80|^The town of {s60} looks rich and well maintained.
; str_town_prosperity_90|^The town of {s60} is opulent and crowded with well-to-do people.
; str_town_prosperity_100|^The glittering town of {s60} openly flaunts its great wealth.
; str_fort_prosperity_0|^The poverty of the fort of {s60} is unbearable
; str_fort_prosperity_10|^The fort of {s60} is all but deserted to its squalor.
; str_fort_prosperity_20|^The fort of {s60} looks a wretched, desolate place.
; str_fort_prosperity_30|^The fort of {s60} looks poor and neglected.
; str_fort_prosperity_40|^The fort of {s60} appears to be struggling.
; str_fort_prosperity_50|^The fort of {s60} seems unremarkable.
; str_fort_prosperity_60|^The fort of {s60} seems to be flourishing.
; str_fort_prosperity_70|^The prosperous fort of {s60} is bustling with activity.
; str_fort_prosperity_80|^The fort of {s60} looks rich and well maintained.
; str_fort_prosperity_90|^The fort of {s60} is opulent and crowded with well-to-do people.
; str_fort_prosperity_100|^The glittering fort of {s60} openly flaunts its great wealth.
; str_village_prosperity_0|^The poverty of the village of {s60} is unbearable.
; str_village_prosperity_10|^The village of {s60} looks wretchedly poor and miserable.
; str_village_prosperity_20|^The village of {s60} looks very poor and desolate.
; str_village_prosperity_30|^The village of {s60} looks poor and neglected.
; str_village_prosperity_40|^The village of {s60} appears to be somewhat poor and struggling.
; str_village_prosperity_50|^The village of {s60} seems unremarkable.
; str_village_prosperity_60|^The village of {s60} seems to be flourishing.
; str_village_prosperity_70|^The village of {s60} appears to be thriving.
; str_village_prosperity_80|^The village of {s60} looks rich and well maintained.
; str_village_prosperity_90|^The village of {s60} looks very rich and prosperous.
; str_village_prosperity_100|^The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.
; str_town_alt_prosperity_0|The few wares sold in the market are expensive to the malnourished common man and his weakened livestock. Among ramshackle houses, children in rags are playing with sticks and pebbles.
; str_town_alt_prosperity_20|Arguments over high prices are heard in the marketplace, where traders are running out of wares. In the streets, children are begging any passer-by for a little bread or anything of worth.
; str_town_alt_prosperity_40|Wares in the market are of decent quality, and traders sometime bring luxury items for the few wealthy townspeople. Some houses could use repair, while others are in good shape.
; str_town_alt_prosperity_60|The market is humming with activity as traders from far and wide come to do business and leave, while some migrants stay to seek their luck.
; str_town_alt_prosperity_80|The thatch and shingles of roofs are well maintained throughout the town, and the people are dressed in quality clothing. Every day flocks of people arrive to find work and wealth in the blooming trading hub.
; str_village_alt_prosperity_0|Able-bodied people are scarce, and fields are overgrown with weeds. Many have fled the settlement, and draft animals are eaten or dying at the outskirts of town, attracting wild animals.
; str_village_alt_prosperity_20|A few farmers and animals work in the fields, but many have emigrated in search of a better life. Farms are worn down, and weeds have taken over some of the fields.
; str_village_alt_prosperity_40|Fairly healthy villagers and animals move about the fields and pastures. However, some houses are in ill repair, and several fields are left unsown.
str_village_alt_prosperity_60|L'activité bat son plein dans les champs et vergers, et les sacs débordant de céréales et de viande séchée témoignent de la productivité de l'agriculture et de l'élevage du village.
; str_village_alt_prosperity_80|Fields and orchards are filled with able-bodied, well-fed villagers expanding the fields to feed the many farm animals. All the while, laborers are flocking to work and join the prosperity.
; str_oasis_village_alt_prosperity_0|Fruit groves lie virtually abandoned, and the few malnourished villagers that still remain seem worried. The draft animals have long since starved or been eaten.
; str_oasis_village_alt_prosperity_20|Few villagers can be seen tending to the fruit groves, and in some places, the forest is engulfing them. Shrubs and weeds invade all the orchards. The cattle have turned wild, and a few of their carcasses lie on the outskirts, their bones gnawed by wolves.
; str_oasis_village_alt_prosperity_40|Men and women work in the orchards and cut back the heather that invades the pasture areas. The herds look healthy, but many of the farms could use some maintenance.
; str_oasis_village_alt_prosperity_60|In the groves and orchards roam the busy farmers, who happily greet each other while trimming trees, shearing sheep and milking the cows. The echo of the carpenter’s building new livestock fences evokes the prosperity of the site.
; str_oasis_village_alt_prosperity_80|The fruit groves are humming with activity, as farmers load up baskets of apples and sacks of wheat for sale to the market. Men and women are hard at work clearing the forest and plowing new fields to create new farmland.
; str_acres_grain|acres of grain fields
; str_acres_orchard|acres of fruit groves
; str_acres_oasis|acres of orchards
str_looms|métiers à tisser
str_boats|bateaux
str_head_cattle|bovins
str_head_sheep|moutons
str_mills|moulins
str_kilns|fours
str_pans|casseroles
str_deposits|dépôts
str_hives|ruches
str_breweries|brasseries
str_presses|pressoirs
str_smithies|forges
str_caravans|caravanes
str_traps|pièges
str_gardens|jardinets
str_tanneries|cuves de tannage
; str_master_miller|Foreman miller
; str_master_brewer|Foreman brewer
; str_master_presser|Foreman presser
; str_master_smith|Foreman smith
; str_master_tanner|Foreman tanner
; str_master_weaver|Foreman weaver
; str_master_dyer|Foreman dyer
str_war_report_minus_4|nous sommes sur le point de perdre la guerre
str_war_report_minus_3|la situation semble désespérée
str_war_report_minus_2|nous sommes en mauvaise posture
str_war_report_minus_1|il nous faut nous ressaisir si nous voulons l'emporter
str_war_report_0|nos forces et celles de l'ennemi sont équilibrées
str_war_report_plus_1|nous avons nos chances
str_war_report_plus_2|la situation nous est favorable
str_war_report_plus_3|nous ne devrions rencontrer aucune difficulté à les vaincre
str_war_report_plus_4|nous sommes sur le point de gagner la guerre
; str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seems to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking, you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|Vous essayez de convaincre {s50} mais {reg51?elle:il} vous contre dès le départ. Même vos meilleurs arguments sonnent faux à vos propres oreilles. {s50} n'est pas d'accord avec ce que vous aviez à exposer.
str_persuasion_summary_average|{s50} s'avère être {reg51?une fine oratrice:un fin orateur} à l'esprit aiguisé, et {reg51?elle:il} arrive à contrer chacun de vos arguments de façon rationnelle. Au terme de la discussion, aucun d'entre vous n'a pris le pas sur l'autre.
str_persuasion_summary_good|À force d'une subtile argumentation et de réponses rapides, vous faites avancer votre cause, forçant {s50} à admettre quelques points. {reg51?Elle:Il} exprime cependant toujours quelques réticences sur le bien fondé de votre demande.
; str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better. The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well disposed towards helping you.
str_secret_sign_1|L'armoire danse à minuit...
; str_secret_sign_2|I am selling these fine tapestries from Constantinople. Would you like to buy some?
str_secret_sign_3|L'ami d'un ami m'a envoyé...
str_secret_sign_4|Un fort vent d'Est souffle et la rivière coule rouge...
str_countersign_1|Mais danse-t-elle pour le vaisselier ou le chandelier ?
str_countersign_2|Oui ça m'intéresse, en avez-vous en bleu ?
str_countersign_3|Mais, mon ami, l'ami de votre ami n'aura jamais d'ami comme moi.
str_countersign_4|Avez-vous été malade ?
; str_name_1|Aelle
; str_name_2|Alduini
; str_name_3|Berdun
; str_name_4|Caedmon
; str_name_5|Cearl
; str_name_6|Coenred
; str_name_7|Eadbald
; str_name_8|Arthfael
; str_name_9|Eafa
; str_name_10|Earpwald
; str_name_11|Hengist
; str_name_12|Horsa
; str_name_13|Osred
; str_name_14|Thrydwulf
; str_name_15|Wictred
; str_name_16|Wuffa
; str_name_17|Cyny
; str_name_18|Cunedog
; str_name_19|Idnerth
; str_name_20|Dyfrig
; str_name_21|Treni
; str_name_22|Cadfan
; str_name_23|Cadwgon
; str_name_24|Rhiwallon
; str_name_25|Hywel
; str_surname_1|{s50} of Lundenwic
; str_surname_2|{s50} of Dorce Ceaster
; str_surname_3|{s50} of Bebbanburh
; str_surname_4|{s50} of Caer Wenddoleu
; str_surname_5|{s50} of Emain Macha
; str_surname_6|{s50} of Cirren Ceaster
; str_surname_7|{s50} of Din Draithou
; str_surname_8|{s50} of Licidfelth
; str_surname_9|{s50} of Caer Lloyw
; str_surname_10|{s50} of Colne Ceaster
; str_surname_11|{s50} of Din Erth
; str_surname_12|{s50} of Norwic
; str_surname_13|{s50} of Caer Riderch
; str_surname_14|{s50} of Duin Ollaigh
; str_surname_15|{s50} of Denisesburna
; str_surname_16|{s50} of Dun Buicead
; str_surname_17|{s50} of Swanawic
; str_surname_18|{s50} of Wodetun
; str_surname_19|{s50} of Badun
; str_surname_20|{s50} of Leim an Eich
str_surname_21|{s50} Longues jambes
str_surname_22|{s50} l'Asticot
; str_surname_23|{s50} Silky-Beard
str_surname_24|{s50} le Gringalet
str_surname_25|{s50} le Misérable
str_surname_26|{s50} le Balafré
str_surname_27|{s50} le Juste
str_surname_28|{s50} le Terrible
str_surname_29|{s50} le Rouge
str_surname_30|{s50} le Noir
str_surname_31|{s50} le Géant
str_surname_32|{s50} le Rêveur
str_surname_33|{s50} l'Intrépide
str_surname_34|{s50} le Brave
str_surname_35|{s50} le Fourbe
str_surname_36|{s50} le Lâche
; str_surname_37|{s50} the Bright
str_surname_38|{s50} le Vif
str_surname_39|{s50} le Ménestrel
str_surname_40|{s50} l'Effronté
str_surname_41|{s50} la Tête brûlée
str_surnames_end|fin des surnoms
str_number_of_troops_killed_reg1|Nombre de tués : {reg1}
str_number_of_troops_wounded_reg1|Nombre de blessés : {reg1}
str_number_of_own_troops_killed_reg1|Nombre d'alliés tués : {reg1}
str_number_of_own_troops_wounded_reg1|Nombre d'alliés blessés : {reg1}
str_retreat|Vous battez en retraite !
str_siege_continues|Le combat continue...
str_casualty_display|Vos pertes : {s10}^Pertes ennemies : {s11}{s12}
str_casualty_display_hp|Nombre de points de vie retirés pour la blessure : {reg1}.
str_quest_log_updated|Le journal des quêtes a été mis à jour.
str_banner_selection_text|On vous a octroyé le droit de porter une bannière. Votre bannière représente votre rang et votre honneur. Quel motif souhaitez-vous sur celle-ci?
str_retirement_text_1|Vous vous rendez compte, hélas un peu tard, que votre argent ne suffira pas. Il ne vous faut pas longtemps pour gaspiller le peu que vous avez économisé. Vous n'avez pas réussi lors de tentatives désespérées à recommencer l'aventure. Vous finissez mendiant à {s9}, vivant de l'aumône et de la charité de l'église.
; str_retirement_text_2|Only too late do you realise that your money won't last. It doesn't take you long to fritter away what little you bothered to save. Once every pening has evaporated in your hands you are forced to start a life of crime in the back streets of {s9}, using your skills to eke out a living robbing coppers from women and poor townsmen.
str_retirement_text_3|Vous vous rendez compte, hélas un peu tard, que votre argent ne suffira pas. Il ne vous faut pas longtemps pour gaspiller le peu que vous avez économisé. Vous finissez sans le sou et sans but dans la vie, allant de taverne en taverne pour obtenir à boire auprès d'indulgents patrons en les régalant avec des histoires de guerre que personne ne croit jamais.
; str_retirement_text_4|The silver you've saved doesn't last long, but you manage to put together enough to buy some land near the village of {s7}. There you become a free farmer, and you soon begin to attract potential {reg59?husbands:wives}. In time, the villagers come to treat you as their local hero. You always receive a place of honour at feasts, and your exploits are told and retold in the pubs and taverns so that the children may keep a memory of you forever and ever.
; str_retirement_text_5|The silver you've saved doesn't last long, but it's enough to buy a small tavern in {s9}. Although the locals are wary of you at first, they soon accept you into their midst. In time, your growing tavern becomes a popular feast hall and meeting place. People come for miles to eat or stay there due to your sheer renown and the epic stories you tell of your adventuring days.
; str_retirement_text_6|You've saved wisely throughout your career, and now your silver and your intelligence allows you to make some excellent investments to cement your future. After buying several shops and warehouses in {s9}, your shrewdness turns you into one of the most prominent merchants in town, and you soon become a wealthy {reg59?woman:man} known as much for your trading empire as your exploits in battle.
str_retirement_text_7|De par votre statut d'humble noble, votre avenir est assuré. Vous vous installez dans votre fief à {s7}, administrant le village et ses alentours, rendant la justice, accomplissant ainsi votre devoir de seigneur. De temps en temps, votre suzerain fait appel à vous pour l'assister lors d'une campagne militaire, mais cela ne dure jamais très longtemps car vous vous refusez de partir à l'aventure comme par le passé. Vous avez déjà établi votre fortune. Dans vos murs, il est peu de chose dont vous ayez vraiment besoin et que vos revenus ne puissent vous permettre d'acquérir.
str_retirement_text_8|Vous avez sans aucun doute réussi à assurer votre avenir. Vos vastes possessions terriennes et la fortune amassée durant votre vie d'aventurier vous garantissent un avenir aisé. En vous installant définitivement à {s8}, vous passez de l'aventure à la politique, devenant l'un des plus puissants de votre royaume. Avec les intrigues auxquelles vous participez, avec les forêts vous appartenant, avec le temps passé à festoyer et des centaines d'histoires épiques à raconter, vous ne risquez pas de vous ennuyer pour les nombreuses années à venir.
