str_yes|Si.
str_no|No.
str_blank_string| 
str_noone|nessuno
str_s50_and_s51|{s50} e {s51}
str_s52_and_s51|{s52} e {s51}
str_s5_s_party|Compagnia di {s5}
str_given_by_s1_at_s2|Dato da {s1} a {s2}
str_given_by_s1_in_wilderness|Dato da {s1} nella zona
str_s7_raiders|{s7} Predoni
str_bandits_eliminated_by_another|I banditi sono stati eliminati da un'altra Compagnia.
str_msg_battle_won|La battaglia è vinta, i tuoi nemici giacciono morti sul campo di battaglia! (Premi tab per uscire)
str_tutorial_map1|Stai osservando la mappa strategica. Click-sinistro sulla mappa per muovere la tua Compagnia verso quella locazione, entrare nella città selezionata o seguire un'altra Compagnia. Il gioco entrerà in pausa nella mappa strategica se la tua Compagnia non si muove o si ferma. Puoi attendere e far scorrere il tempo semplicemente tenendo premuta la barra spaziatrice. Questo è un buon momento per salvare il gioco! Premere il tasto Esc e scegliere Salva come o utilizzare F12 per un salvataggio rapido.^^Buona Fortuna!
str_tutorial_map11|Ora hai una forte compagnia di uomini. Ritorna dallo jarl per ulteriori istruzioni.
str_randomize|Rendi casuale
str_charge|Carica!
str_color|Colore
str_flip_horizontal|Flip Orizzontale
str_flip_vertical|Flip Verticale
str_hold_fire|Non tirate
str_blunt_hold_fire|Brusco / Non tirate
str_tutorial_ammo_refilled|Munizioni Ricaricate.
str_tutorial_failed|Sei stato battuto questa volta, ma non preoccuparti. Segui attentamente le istruzioni e farai di meglio la prossima volta. Premi il tasto Tab per tornare al menu dove è possibile riprovare questo tutorial.
str_tutorialmq_1_msg_1|In questo tutorial, verranno spiegate le basi del movimento, interazione e combattere.^^In Viking Conquest, si usa il mouse per controllare la visuale e i tasti W, A, S e D della tastiera per muovesi. Il vostro primo compito è...^^obiettivo: andare al centro della barca.
str_tutorialmq_1_msg_2|Ben fatto. Ora, ti spigheremo ad interagire con oggetti e persone. Vicino a te, c'è un uomo chiamato Bodo. Per scoprire chi è una persona, camminare verso di lui o lei fino a quando non compare il nome. Al fine di parlare con Bodo una volta che lo hai trovato, premi il tasto F.^^Utilizza il tasto F per interagire con persone e oggetti. Farà aprire porte e forzieri, raccogliere oggetti e altro ancora.^^Obiettivo: Parla a Bodo.
