qst_deliver_message|Consegna un messaggio a {s13}
qst_deliver_message_text|{s9} ti ha chiesto di consegnare un messaggio a {s13}. {s13} si trovava a {s4} quando ti è stato affidato questo incarico.
qst_deliver_message_to_enemy_lord|Consegna un messaggio a {s13}
qst_deliver_message_to_enemy_lord_text|{s9} ti ha chiesto di consegnare un messaggio a {s13} di {s15}. {s13} si trovava a {s4} quando ti è stato affidato questo incarico.
qst_raise_troops|Addestra {reg1} {s14}
qst_raise_troops_text|{s9} ti ha chiesto di addestrare {reg1} {s14} e portarli da lui.
qst_escort_lady|Scorta {s13} a {s14}
qst_deal_with_bandits_at_lords_village|Salva il villaggio di {s15} dai Banditi.
qst_deal_with_bandits_at_lords_village_text|{s13} ti ha chiesto di occuparti dei banditi che stanno occupando il villaggio di {s15} e poi di fargli rapporto.
qst_collect_taxes|Riscuoti le tasse da {s3}
qst_collect_taxes_text|{s9} ti ha chiesto di raccogliere le tasse da {s3}. Ha offerto di lasciarti un quinto del denaro che raccoglierai.
qst_hunt_down_fugitive|Dai la caccia a {s4}
qst_hunt_down_fugitive_text|{s9} ti ha chiesto di dare la caccia ad un fuggitivo di nome {s4}. Si pensa che al momento sia a {s3}.
qst_kill_local_merchant|Assassina un mercante locale a {s3}
qst_kill_local_merchant_text|{s9} ti ha chiesto di assassinare un mercante locale a {s3}.
qst_bring_back_runaway_serfs|Riporta indietro i servi in fuga.
qst_bring_back_runaway_serfs_text|{s9} ti ha chiesto di riportare i tre gruppi di servi fuggitivi a {s2}. Ha detto che tutti e tre i gruppi stanno fuggendo in direzione di {s3}.
qst_follow_spy|Segui la Spia fino all'Incontro
qst_follow_spy_text|{s11} ti ha chiesto di seguire la spia che lascerà {s12}. Devi fare attenzione a non essere individuato dalla spia durante il viaggio, altrimenti si potrebbe insospettire e tornare indietro. Una volta che la spia si incontra il suo complice, devi tendere loro un'imboscata, catturarli e riportarli a {s11}.
qst_capture_enemy_hero|Cattura un Signore del {s13}
