qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_The_poem_the_bard_ha|La pesia che il bardo ha scritto per {s33} non sembra funzionare tanto bene.
qstr_Poem_for_a_lady|Poesia per la signora
; qstr_{s33}_seemed_to_like|{s33} seemed to like the poem the bard had written for her.
; qstr_The_bard_s_poem_abou|The bard's poem about you seems to be spreading through the land.
qstr_Fame_spreads|Diffusione della fame
; qstr_People_say_that_{s31|People say that {s31} found a buried Viking hoard on {s32}'s property. The lords came to blows over its ownership.
; qstr_People_say_that_{s31}|People say that {s31} or his servants are stealing cattle from {s32}'s property. That made {s32} furious.
; qstr_People_say_that_{s31}_|People say that {s31} served one of {s32}'s bodyguards a horn of poisoned mead. {s32} is infuriated.
; qstr_People_say_that_{s31}_t|People say that {s31} tried to bribe some of {s32}'s bodyguards to get access to the household, but {s32} found out.
; qstr_People_say_that_a_ru|People say that a rumor spread by an unknown traveller failed to incite enmity between {s31} and {s32}.
qstr_{s33}|{s33}
qstr_Rumors|Dicerie
; qstr_{playername}_is_beli|{playername} is believed to be behind the recent derogatory rumors involving {s32} and {s31}.
; qstr_A_recent_rumor_alleg|A recent rumor alleges that {s32} hides behind his bodyguards in battles.
; qstr_A_recent_rumor_allege|A recent rumor alleges that {s32} is practicing some kind of perverted rituals in his mead hall.
; qstr_A_recent_rumor_alleges|A recent rumor alleges that {s32} is very fond of his new mare, if you know what I mean.
; qstr_A_recent_rumor_alleges_|A recent rumor alleges that {s32} would rather wield a drinking horn than a sword.
; qstr_People_say_that_a_rum|People say that a rumor spread by an unknown traveller about {s32} failed to damage his reputation.
; qstr_{playername}_is_belie|{playername} is believed to be behind the recent rumors about {s32}'s indiscretions.
; qstr_A_recent_rumor_sprea|A recent rumor spread by an unknown traveller alleges that {s32} is intriguing against {s31}.
; qstr_People_say_that_a_rumo|People say that a rumor spread by an unknown traveller about {s32} being a disloyal vassal failed to incite enmity between {s32} and {s31}.
; qstr_{playername}_is_believ|{playername} is believed to be behind the recent rumors about {s32}'s disloyalty.
; qstr_It_seems_that_{s31}_|It seems that {s31} has found recent stories about {s32}'s infidelity plausible.
; qstr_It_appears_{s31}_has|It appears {s31} has dismissed recent stories about {s32}'s infidelity as nothing but his enemies' gossip.
; qstr_It_seems_that_{s31}_h|It seems that {s31} has found recent stories about {s32}'s disloyalty quite plausible.
; qstr_It_appears_that_{s31|It appears that {s31} has dismissed recent stories about {s32}'s disloyalty as nothing but his enemies' gossip.
; qstr_It_seems_that_{s31}_w|It seems that {s31} was not amused after {s32} was found to be involved in a cattle-thieving scheme.
; qstr_It_appears_{s32}_had|It appears {s32} had managed to avoid being linked to a recent murder, and his relations with {s31} didn't suffer.
qstr_Winter_is_the_worst_|L'inverno è il momento peggiore per la guerra. Fa freddo, piove troppo e il cibo è scarso. In inverno, gli uomini preferirebbero piuttosto riparo con il fuoco puttosto che la campagna. Controlla il morale e le scorte di cibo.
; qstr_{s40}_decided_to_bec|{s40} decided to become an adventurer near {s39}
; qstr_It_seems_your_soldie|It seems your soldiers had a good time and helped themselves to some of the drinks in your inventory.
; qstr_It_seems_someone_wen|It seems someone went through your inventory and stole some of your {s33}.
qstr_{s22}|{s22}
; qstr_{s33}_was_beaten_up_|{s33} was beaten up and thrown into dungeon by an angry crowd in {s34}.
; qstr_{s33}_s_attempts_to_|{s33}'s attempts to influence people of {s34} have failed.
; qstr_The_people_of_{s34}_|The people of {s34} hate you so much that the guards did not allow {s33} to enter.
; qstr_A_livestock_epidemic|A livestock epidemic has killed {reg4} cattle in {s4}.
; qstr_A_livestock_epidemic_|A livestock epidemic has killed {reg5} sheep in {s4}.
; qstr_A_livestock_epidemic_h|A livestock epidemic has killed {reg4} cattle and {reg5} sheep in {s4}.
; qstr_You_receive_a_messag|You receive a message from {s1} demanding lands to support them in a style that befits them.
; qstr_You_receive_a_message|You receive a message from {s1} reminding you of your obligations to provide for your vassals.
; qstr_Your_men_made_some_d|Your men made some delicious butter from cow's milk.
; qstr_A_livestock_epidemic_ha|A livestock epidemic has killed {reg5} of your cattle at a farmstead near {s4}.
; qstr_A_livestock_epidemic_has|A livestock epidemic has killed {reg4} cattle and {reg5} of your cattle at a farmstead near {s4}.
qstr_Your_party_is_spotte|La tua Compagnia è stata avvistata dagli abitanti di {s1}.
qstr_Your_men_have_nothin|I tuoi uomini non hanno niente da mangiare!
