
ui_music_volume|Volume Musica:
ui_sound_volume|Volume Suoni:
ui_mouse_sensitivity|Sensibilità Mouse:
ui_invert_mouse_y_axis|Inverti asse Y del Mouse:
ui_enabled|Abilitato
ui_disabled|Disabilitato
ui_damage_to_player|Danno al Giocatore:
ui_reduced_to_1_over_4_easiest|Ridotto a 1/4 (Più semplice)
ui_reduced_to_1_over_2_easy|Ridotto a 1/2 (Facile)
ui_damage_to_friends|Danno agli Alleati:
ui_reduced_to_1_over_2_easiest|Ridotto a 1/2 (Più semplice)
ui_reduced_to_3_over_4_easy|Ridotto a 3/4 (Facile)
ui_normal|Normale
ui_combat_ai|IA Combattimenti:
ui_combat_speed|Velocità di movimento e combattimento:
ui_good|Buona
ui_average_caps|Media
ui_poor|Scarsa
ui_faster|Più Veloce
ui_slower|Più Lenta
ui_control_block_direction|Controllo Dir. Parata:
ui_automatic_recommended|Automatica
ui_manual_easy|Manuale (Facile)
ui_manual_hard|Manuale (Difficile)
ui_by_mouse_movement|Dal movimento del Mouse
ui_control_attack_direction|Controllo Dir. Attacco:
ui_lance_control|Controllo Lancia:
ui_by_relative_enemy_position|Relativa alla posizione del nemico
ui_by_inverse_mouse_movement|Dal movimento inverso del mouse
ui_battle_size|Dimensione Battaglia (influenza le prestazioni):
ui_show_attack_direction|Mostra Direzione Attacco
ui_show_targeting_reticule|Mostra Mirino
ui_show_names_of_friendly_troops|Mostra Stendardi sulle Truppe Alleate
ui_report_damage|Riporta i danni
ui_report_shot_difficulty|Riporta la difficoltà del tiro
ui_difficulty_rating_percentage|Valutazione Difficoltà  = %d%%
ui_controls|Controlli
ui_video_options|Opzioni Video
ui_done|Fatto
ui_factions|Fazioni
ui_item_itemname|Oggetti - %s
ui_prop_propname|Proprietà   - %s
ui_unknown_unknownname|Sconosciuto - %s
ui_entry_point_entrypointname|Punto d'ingresso %d
ui_passage_menu_item_passagename|Passaggio (menu oggetto %d)
ui_plant_plantname|Pianta - %s
