; dlga_start:blocked_agent|This person seems busy. Maybe I should move on...
; dlga_blocked_agent:close_window|I'm sorry. I didn't mean to disturb you.
; dlga_blocked_agent:close_window.1|[Just Leave]
; dlga_start:dog_talk_2|{s1}!
; dlga_dog_talk_1:dog_talk_2|{s1}!
; dlga_dog_talk_2:close_window|Heel!
; dlga_dog_talk_2:close_window.1|Go, {s1}, go!
; dlga_dog_talk_2:close_window.2|{s1}, stay!
; dlga_dog_talk_2:dog_talk_pretrain|Here, I have something for you ...
; dlga_dog_talk_2:close_window.3|I'll call you...
; dlga_dog_talk_2:close_window.4|Bad dog! Go away! I don't want you any more!
; dlga_dog_talk_2:close_window.5|Drop it!
; dlga_start:dog_talk_recruit|   
; dlga_dog_talk_recruit:dog_talk_1|Here, have a sausage!
; dlga_dog_talk_recruit:close_window|Good dog!
; dlga_dog_talk_recruit:close_window.1|Away!
; dlga_dog_talk_pretrain:dog_talk_train|Here, I have something for you ...
; dlga_dog_talk_train:dog_talk_pretrain|You don't look healthy. Here, have a {s7}!
; dlga_dog_talk_train:dog_talk_pretrain.1|Here, this {s7} will make you stronger!
; dlga_dog_talk_train:dog_talk_pretrain.2|I want you to be tougher. Here is some {s7}. It's good for you!
; dlga_dog_talk_train:dog_talk_pretrain.3|You are too thin. Here, have some {s7}!
; dlga_dog_talk_train:dog_talk_pretrain.4|You could be faster, my friend. Here is some {s7} for you!
; dlga_dog_talk_train:dog_talk_pretrain.5|Here is some {s7} for your teeth!
; dlga_dog_talk_train:dog_talk_1|I have no more food for you.
; dlga_dog_talk_train:dog_talk_1.1|That's all for today.
; dlga_start:close_window.1|You should go down to your mother and drop off something she can use on her way to Walhalla.
; dlga_start:close_window.2|I'm waiting for somebody who is coming with a girl. Have you seen them?
; dlga_start:close_window.3|Ah, you are {playername}. Thonkrik told me you would come here. Get on the ship. My men and I will show you how easily she sails.
; dlga_start:port_chief_travel|Heill! Are you looking to travel to another town?
; dlga_start:close_window.4|Please wait for everybody to board the ship.
dlga_start:port_chief2|{s1}
; dlga_port_chief2:port_chief3|What do you need?
; dlga_port_chief3:port_chief_fleet1|Greetings. I have come to join the fleet of Sven Bull Neck and Harald Haraldsson that will travel to Englaland.
; dlga_port_chief3:port_chief_bodoletter1|A man named Atli Eiriksson left this port some time ago. Do you know where he was going?
; dlga_port_chief3:port_chief_pieles|I have given the skins to Hogni, now it's your turn. Where is Atli Eiriksson?
; dlga_port_chief3:port_chief_catach|I was at Gleann Da Loch and took 'The Cathach of Colum Cille.'
; dlga_port_chief3:port_chief_catach32|Unfortunately, Gleann Da Loch is too far. Would you take money instead?
; dlga_port_chief3:port_chief_svenlair|You know what I want. Where is the hideout of Sven Bull Neck?
; dlga_port_chief3:port_chief_buy_ship|I want to buy a ship.
; dlga_port_chief_buy_ship:close_window|Follow me!
; dlga_port_chief3:port_chief_info_main|I have some questions about ships and sea travel.
; dlga_port_chief_info_main:port_chief_info_main_1|What do you want to know?
; dlga_port_chief_info_main_1:port_chief_info_a_1|Why do people go to sea?
; dlga_port_chief_info_main_1:port_chief_info_b_1|How do I find my way at sea?
; dlga_port_chief_info_main_1:port_chief_info_c_1|What do I need to know if I want to buy a ship?
; dlga_port_chief_info_main_1:port_chief_info_d_1|What makes a ship fast?
; dlga_port_chief_info_main_1:port_chief2|That's all I wanted to know. Thanks!
; dlga_port_chief_info_a_1:port_chief_info_main|You can earn a lot of money if you trade goods or slaves across the sea. Others use it for raiding settlements. Finally, no Viking will respect you as a leader if you don't have a good ship.
; dlga_port_chief_info_b_1:port_chief_info_main|Look at the sun at day. Rest at night. The better you are at finding your way, the faster you travel.
; dlga_port_chief_info_c_1:port_chief_info_c_2|First, you need to know what type of ship you want. If you want to trade, then a Knorr may be a good choice. They have much room for cargo, but they are not very fast. The Snekkja, the Skei and the Busse are fast warships and are able to carry many troops. The Karvi is something in-between. If you only have a few men, then a small ship like a Byrding would perhaps suit you better.
; dlga_port_chief_info_c_2:port_chief_info_main|The second important factor is the type of wood the ship is made from. Ships made out of oak wood are the best ships, but are also expensive. Beech is cheaper, but it rots faster.
; dlga_port_chief_info_d_1:port_chief_info_main|The wind -- if you place your sails in a position to catch it best. If there is no wind at all, then your crew has to row. More rowers will make the ship faster. If you have more than one ship in your fleet, then your fleet will only be as fast as your slowest ship. A skilled Navigator can also make your fleet faster.
; dlga_port_chief3:port_chief_travel|I want to travel to another port.
; dlga_port_chief_travel:close_window|I'm sorry. There are currently no passenger ships in this port that can transport a marshal and his whole army.
; dlga_port_chief_travel:close_window.1|I'm sorry. There are currently no passenger ships in this port that can transport your party and the trader with his whole cargo.
; dlga_port_chief_travel:port_chief_travel_2|From here, one may travel to ports in Friese, Danmark, Northvegr and Englaland. Where do you want to go?
; dlga_port_chief_travel:port_chief_travel_2.1|From here, one may travel to ports in Englaland and Eriuland. Where do you want to go?
; dlga_port_chief_travel:close_window.2|I am sorry. There are currently no passenger ships in this port.
dlga_port_chief_travel_2:port_chief_travel_3|{s1}
; dlga_port_chief_travel_2:close_window|I changed my mind.
; dlga_port_chief_travel_3:port_chief_travel_4|You want to travel to {s1}? {s2}
; dlga_port_chief_travel_4:port_chief_travel_5|Let's start!
dlga_port_chief_travel_4:port_chief2|{s1}
dlga_port_chief_travel_4:close_window|{s1}
; dlga_port_chief_travel_5:close_window|Follow me!
; dlga_port_chief3:port_chief_pick_up_ship1|Is my ship ready yet?
; dlga_port_chief_pick_up_ship1:port_chief2|My men and I are still working on it. Come back in {reg1} days.
; dlga_port_chief_pick_up_ship1:port_chief_pick_up_ship2|The ship is ready! Do you want us to launch it?
; dlga_port_chief_pick_up_ship2:port_chief_pick_up_ship3|Yes!
; dlga_port_chief_pick_up_ship2:port_chief2|No, not yet.
; dlga_port_chief_pick_up_ship3:port_chief2|Sorry, your sea-king skill isn't high enough to add an additional ship to your current fleet in this port.
; dlga_port_chief_pick_up_ship3:close_window|Well, take a look at it and give it a name.
; dlga_port_chief_pick_up_ship3:port_chief2.1|There is not enough room left in the port for another ship.
; dlga_port_chief3:port_chief_build_ship_main|I want you to build me a ship.
; dlga_port_chief_build_ship_main:port_chief_build_ship_main_1|What kind of ship do you want to have?
; dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2|I just need a little Byrding.
; dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.1|I want a Knorr for trading.
; dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.2|A good attack Snekkja!
; dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.3|I'm interested in a double-sized warship. A Skeid, please.
; dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.4|I have many warriors. Can you build a Busse for me?
; dlga_port_chief_build_ship_main_1:port_chief_build_ship_main_2.5|I need a good, all-around ship. I want a Karvi.
; dlga_port_chief_build_ship_main_1:port_chief2|I changed my mind.
; dlga_port_chief_build_ship_main_2:port_chief_build_ship_main|Sorry, I'm not skilled enough. Only the Norse are able to build a {s11}.
; dlga_port_chief_build_ship_main_2:port_chief_info_main_3|What kind of wood would you like to use?
; dlga_port_chief_info_main_3:port_chief_build_ship_main_4|Oak wood. I want quality.
; dlga_port_chief_info_main_3:port_chief_build_ship_main_4.1|Pine would be fine.
; dlga_port_chief_info_main_3:port_chief_build_ship_main_4.2|I don't want to spend so much money. I want ash wood.
; dlga_port_chief_info_main_3:port_chief2|I changed my mind.
; dlga_port_chief_build_ship_main_4:port_chief_build_ship_main_5|To build your {s11} out of {s12} wood I ask {reg11} peningas for my work. {s2}It will take {reg12} days to build this ship.
; dlga_port_chief_build_ship_main_5:port_chief_build_ship_main_6|Build this ship for me!
; dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_1|Err, does it look like I am a merchant? I don't have these things with me.
; dlga_port_chief_build_ship_missing_1:port_chief2|Sorry, but I can't finish your ship without these materials. Buy them and come back once you have everything ready.
; dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_2|I don't have enough peningas right now.
; dlga_port_chief_build_ship_missing_2:port_chief2|Sorry, but I need to feed my family and pay the workers. When you get the money, then come back and see me.
; dlga_port_chief_build_ship_main_5:port_chief_build_ship_missing_3|I will consider this and may come back later.
