fac_no_faction|Brak frakcji
fac_commoners|Pospólstwo
fac_outlaws|Bandyci
fac_neutral|Neutralny
fac_innocents|Niewinni
fac_merchants|Kupcy
fac_culture_norse|Nord
fac_culture_saxon|Sas
fac_culture_angle|Anglik
fac_culture_welsh|Brytan
; fac_culture_irish|Goidelic
fac_culture_scotch|Pikt
fac_player_faction|Frakcja gracza
fac_player_supporters_faction|Wspierający gracza
fac_kingdom_1|Królestwo Danii
fac_kingdom_2|Królestwo Norwegii
; fac_kingdom_3|Kingdom of Laithlind
fac_kingdom_4|Królestwo Fryzji
fac_kingdom_5|Królestwo Sasów Zachodnich
; fac_kingdom_6|Kingdom of East Engle
fac_kingdom_7|Królestwo Mercji
fac_kingdom_8|Królestwo Nortumbrii
; fac_kingdom_9|Kingdom of Gwynedd
; fac_kingdom_10|Kingdom of Brycheiniog
; fac_kingdom_11|Kingdom of Alt Clut
; fac_kingdom_12|Kingdom of Cornubia
; fac_kingdom_13|Kingdom of Glywyssing
; fac_kingdom_14|Kingdom of Uladh
; fac_kingdom_15|Kingdom of Laigin
; fac_kingdom_16|Kingdom of Mumain
; fac_kingdom_17|Kingdom of Connachta
; fac_kingdom_18|Ui Niell of Aileach
; fac_kingdom_19|Kingdom of Mide
; fac_kingdom_20|Kingdom of Alban
; fac_kingdom_21|Tribe of Osraige
fac_christians|Chrześcijanie
fac_pagans|Poganie
fac_manhunters|Łowcy głów
fac_deserters|Dezerterzy
fac_mountain_bandits|Morscy Wojownicy
fac_forest_bandits|Bandyci z lasu
fac_apoyoplayer|Neutralny
fac_adventurers|Poszukiwacze przygód
