str_yes|Tak.
str_no|Nie.
; str_blank_string _txss _txss= _txss" "
str_noone|nikt
str_s50_and_s51|{s50} i {s51}
str_s52_and_s51|{s52} i {s51}
str_s5_s_party|Drużyna {s5}
str_given_by_s1_at_s2|Podarowane przez {s1} w {s2}
str_given_by_s1_in_wilderness|Podarowane przez {s1} w trakcie walki
str_s7_raiders|Bandyci {s7}
str_bandits_eliminated_by_another|Kłopotliwi bandyci zostali wyeliminowani przez inną drużynę.
; str_msg_battle_won|Battle won, your foes lie slaughtered on the field! (Press tab key to leave)
; str_tutorial_map1|You are now viewing the world map. Left-click on the map to move your party to that location, enter the selected town, or pursue the selected party.^Time will pause on the overland map if your party is not moving, waiting or resting. To wait anywhere simply press and hold down the space bar.^This is a good moment to save your game! Press the Esc key and choose Save As or use F12 for quick saving.^^Good luck!
; str_tutorial_map11|You now have a strong party of men. Return to the jarl for further instruction.
; str_randomize|Randomize
str_charge|Naprzód
str_color|Kolor
str_flip_horizontal|Przerzuć w poziomie
str_flip_vertical|Przerzuć w pionie
str_hold_fire|Wstrzymaj ogień
str_blunt_hold_fire|Tępe / Wstrzymaj ogień
str_tutorial_ammo_refilled|Amunicja odnowiona.
; str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to the menu where you can retry this tutorial.
; str_tutorialmq_1_msg_1|In this tutorial, you will learn the basics of movement, interaction, and combat. ^^In Viking Conquest, you use the mouse to control where you are looking, and the W, A, S, and D keys of your keyboard to move. Your first task is... ^^Goal: Go to the center of the boat.
; str_tutorialmq_1_msg_2|Well done. Next, we will learn to interact with objects and persons. Near you, there is a man called Bodo. To find out who a person is, walk toward him or her until the name pops up. In order to talk to Bodo once you find him, press the F key. ^^Use the F key to interact with persons and scene props. It will open doors and chests, pick up items and more. ^^Goal: Talk to Bodo.
; str_tutorialmq_1_msg_3|Excellent. Next, we will cover attacking with weapons. ^^You can draw different weapons from your weapon slots by scrolling forward with the wheel of your mouse or by pressing one of the first four numbers on your number pad. ^^You attack with your currently wielded weapon by using your left mouse button. Press and hold the button to ready an attack, then release the button to strike. If you hold down the left mouse button for a while before releasing, your attack will be more powerful. ^^Scroll down or use the number pad to bring out your shield or put it away. ^^Goal: Talk to Veteran to practice some combat.
; str_tutorialmq_1_msg_4|Nice work! You know all the basic concepts to play Viking Conquest. Now you can explore, talk to NPCs, fight in sailors, or finally, when you are ready, talk to captain to continue your adventure.
str_finished|(Zakończono)
str_delivered_damage|Zadano {reg60} obrażeń.
str_archery_target_hit|Dystans {reg61} jardów. Punkty: {reg60}
str_use_baggage_for_inventory|Użyj swojego bagażu, aby mieć dostęp do inwentarza w trakcie walki (znajduje się w miejscu początkowym).
str_cant_use_inventory_now|Nie można teraz otworzyć ekwipunku.
str_cant_use_inventory_arena|Nie można otworzyć ekwipunku w tej strefie.
str_cant_use_inventory_disguised|Nie można otworzyć inwentarza kiedy jesteś w przebraniu.
str_cant_use_inventory_tutorial|Nie można otworzyć ekwipunku w obozie treningowym.
; str_1_denar|1 pening
; str_reg1_denars|{reg1} peningas
str_january_reg1_reg2|Styczeń {reg1}, {reg2}
str_february_reg1_reg2|Luty {reg1}, {reg2}
str_march_reg1_reg2|Marzec {reg1}, {reg2}
str_april_reg1_reg2|Kwiecień {reg1}, {reg2}
str_may_reg1_reg2|Maj {reg1}, {reg2}
str_june_reg1_reg2|Czerwiec {reg1}, {reg2}
str_july_reg1_reg2|Lipiec {reg1}, {reg2}
str_august_reg1_reg2|Sierpień {reg1}, {reg2}
str_september_reg1_reg2|Wrzesień {reg1}, {reg2}
str_october_reg1_reg2|Październik {reg1}, {reg2}
str_november_reg1_reg2|Listopad {reg1}, {reg2}
