ip_armies_size|Wielkość Armii
ip_armies_size_text|Wielkość twojej armii, podobna do armii lordów, zależy od kilku czynników:^^ Twojej umiejętności przywództwa: każdy punkt zwiększy maksymalną wielkość twojej armii o 5 .^^> Charyzma: Każdy punkt zwiększy maksymalną wielkość armii o 1.^^> Sława: Każde 9 punktów zwiększa maksymalną wielkość armii o 1. Jest to zdolność która przyciągnie ludzi do twojej armii.^^> Zasoby: Każde miaso doda ci 80 ludzi i każdy fort doda 40 ludzi do maksymalnej wielkości twojej armii. Są to ludzie którzy muszę ci służyć jak jesteś ich Panem.
ip_morale|Morale
ip_morale_text|Morale oznacza zdolność i gotowość wojsk w oddziale, aby zdobyć się na wytrzymałość, odwagę i dyscyplinę kiedy muszą się zmierzyć ze stresem podczas bitwy i podczas marszu. To nie to samo co szczęście wojska. Oddziały elitarne mogą narzekać i skamleć o trudach kampanii -- ale potem będą się trzymać jak jeden mąż kiedy strzały zaczną nad nimi latać. Z drugiej strony, dowódca który daje swoim ludziom wszystko czego chcą, można stwierdzić że będą miękcy i słabsi podczas szarży przeciwnika.^^ Morale mają największy wpływ na zachowanie oddziału podczas bitwy, określa jak agresywnie twoje wojska kontratakują wroga i prawdopodobieństwo ich złamania się i ucieczki kiedy szala bitwy obraca się przeciwko nim . Morale wpływa też na szybkość marszu oddziału, mniej zmotywowany oddział będzie poruszał się wolniej,ludzie nie będą się prowadzić do granic możliwości, będą się częściej zatrzymywać, będą czekać aż maruderzy ich dogonią. W końcu oddział z niskim morale zacznie cierpieć na dezercję.^^ Niektóre czynniki wpływające na morale są intuicyjne. Na przykład, charyzmatyczny dowódca z reputacją wygranych bitew  może natchnąć jego lub jej ludzi z poczuciem zaufania. Liderzy którzy dają swoim ludziom szerokie i zróżnicowane zapasy żywności i płacą im na czas, demonstrują, że dbają o dobro sowich wojsk są mniej prawdopodobne do doprowadzenia ich do nieszczęścia.^^ Inne czynniki są mnie intuicyjne -- w szczególności tych oddziałów związanych z wspólnotą grupową. W małych zgranych oddziałach, na przykład, ludzie często ciężko walczą z przeciwnościami by ukryć swoje tchórzliwość przed towarzyszami broni . Z drugiej strony duży oddział można zobaczyć jego wymuszoną spójność, kiedy dowódca ma mniej czasu aby nadzorować ludzi, słuchania ich skarg i rozstrzygania sporów. Częste bitwy wzmocnią więzi między ludźmi, a podczas długiego okresu bez walki zobaczysz żołnierzy którzy zaczną się nudzić i kłócić.^^ Raport o morale oddziału znajdziesz wciskając przycisk 'raporty' da graczowi odczuć czynniki wpływające na morale jego lub jej ludzi. 
ip_economy|Ekonomia
ip_economy_text|Miasta i wioski w Północnych Krainach potrzebują szeroki zakres dóbr dal ich populacji by byli zdrowi i wydajni. Po pierwsze ważne jest jedzenie. Zboże jest podstawowym produktem żywnościowym w Północnych Krainach, ale ludzie potrzebują też tłuszczu i białka w postaci mięsa, ryby czy sera. Do zachowania mięsa i wytworzenia go potem jest potrzebna sól. Po jedzeniu przychodzi kolej na ubrania: dobra wełna, lepsza pościel, czy wspaniały aksamit. Ostatecznie, Ludzie potrzebują przyborów do ich handlu: wyrobów z żelaza, wyrobów garncarskich, wyrobów skórzanych i oczywiście broni, zbroi i koni na wojnę.^^Większość produktów pochodzi z wiosek,  podczas gdy rzemieślnicy w miastach specjalizują się w produkcji produktów rzemieślniczych takich jak tkaniny lub wyroby żelazne . Ponadto, różne zasoby mogą być znalezione w różnych regionach kraju. W związku z tym, kluczem do dobrobytu w Północnych Krainach jest handel -- zarówno pomiędzy wioskami i miastami jak i pomiędzy samymi głównymi miastami.^^Kiedy handel trwa, towary będę dostępne i niedrogie, populacja z centrum będzie zdrowa i energiczna, a imigranci zbiegną się z pobliskich regionów. Centrum będzie produkować więcej, zużywać więcej i będą w stanie płacić więcej podczas zbierania podatku dla swoich Lordów. Kiedy handel upada, miasta i wsie zobaczą jak ich pracownicy zaczną uciekać i szukać pracy gdzie indziej,  a aktywność gospodarcza będzie dryfować w miejscu. Tak więc, w interesie władców by chronić szlaków handlowych przed zagrożeniami związanymi z wojną i bandytami. Inteligentny kupiec, jednak może szukać miast, które zostały odizolowane od reszty ziem, ponieważ on lub ona może mieć z tego spory zysk otrzymany z powodu braku równowagi cen.^^Ponieważ wieśniacy zazwyczaj zabierają swoje towary na rynek w miastach, rynek w wiosce będzie cichym miejscem, a wieśniacy będą kupować tanio a sprzedawać drogo. Poważny kupiec będzie się trzymał miast w celu osiągnięcia zysku, chociaż niektóre strony mogę zdecydować o zatrzymaniu dostaw do wioski.^^Gracz, który chce wiedzieć o czynnikach wpływających na dobrobyt danego regionu może porozmawiać z burmistrzem lokalnego miasta. Pozostałe informacje można uzyskać od przechodniów chociaż możgą nie wiedzieć za dużo poza ich własnym handlem.
ip_courtship|Zaloty
ip_courtship_text|W Północnych Krainach możesz  wziąć ślub z kimś pochodzącym z jakiejś rodziny szlacheckiej. Małżeństwo nie jest konieczne aby ktoś stał się silniejszy, ale daje możliwość poprawy relacji z lordami i możliwość rzeczenia praw do tronu.^^Wymagania związane z małżeństwem będą różne dla mężczyzn i kobiet. Postać mężczyzny zazwyczaj musi prowadzić tradycyjną ścieżkę zalotów. On powinien ugruntować reputację w arystokratycznym społeczeństwie, być w dobrych stosunkach z rodzicami lub opiekunami przyszłej narzeczonej, a następnie zalecać się jej zgodnie z lokalnymi zwyczajami. Jeśli gracz jest niecierpliwy, może próbować na skróty -- ale musi liczyć się z konsekwencjami w relacjach z innymi lordami .^^Postać męska powinna pamiętać że inni lordowie będą walczyć z nim o uczucia dam królestwa. Również, gust dam jest nieprzewidywalny, a gracz może również odkryć że osoba którą kocha nie odwzajemnia tego uczucia.Romans, w Północnych Krainach tak jak i gdziekolwiek, nie zawsze rozwija się pomyślnie. Oczywiście, gracz może skorzystać z mniej kulturalnych pomocy by wygrać serce damy, ale będzie to miało poważny wpływ na jego reputację.^^Aby zacząć na drodze zalotów, postać męska powinna starać się zaangażować w społeczne angielskiej arystokracji, uczestniczyć w ucztach i turniejach. Ponadto, wędrowni trubadurzy i poeci mogą służyć jako pożyteczne archiwum informacji o zalotach i utrzymać gracza na bieżąco o najnowszych plotkach.^^Postacie żeńskie też mogą wziąć ślub -- ale powinny pamiętać, że te społeczeństwa są bardzo tradycyjne i jak poszukiwacze przygód wybrali dość niekonwencjonalną drogę dla kobiety. Postać żeńska nie musi długo szukać lorda, który będzie otwarty na tyle, aby ją poślubić.^^Z drugiej strony, postać żeńska nie musi przejść przez skomplikowane rytuały zalotów i może zyskać więcej od małżeństwa niż jej męski odpowiednik. Dla kobiety, poszukiwaczki przygód, małżeństwo może okazać się szybką drogą do władzy -- i bez skrupułów postać ta może wykorzystać jej męża jako narzędzie jej ambicji politycznych.
ip_politics|Polityka
ip_politics_text|Królestwa w Północnych Krainach choć reprezentują różne kultury, wszystkie mają  wspólny podstawowy system polityczny, który poprzedzał feudalizm. Na szczycie hierarchii społeczeństwa germańskiego był król, wybrany przez radę szlachty, która skłądałą się z członków rodu królewskiego. Cała ziemia należała do króla, który rozdzielił ją wśród arystokracji i wojowników którzy zasłynęli z wybitnych czynów. Te ziemie nie stały się ich własnością, a w przypadku śmierci, albo król albo klient zwracał je władcy. Szlachta rządzi każdym hrabstwem w imieniu króla, ponoszą odpowiedzialność za administrację i sprawiedliwość, rekrutację i prowadzą powołania do wojska na pole bitwy. W tym celu ich ziemie podzielone są na mniejsze działki wśród wolnych ludzi, którzy stanowili trzon gospodarki wiejskiej królestwa. Ci farmerzy i gospodarze mogli płacić czynsz swojemu suzerenowi lub miał kilka zadań takich jak budowa fortyfikacji, praca w niektóre dni tygodnia lub w czasie żniw.^^Ten system dostawczy był również praktykowany wśród szlachty, który ustalał hierarchie hołdu i wsparcia politycznego. Coraz bardziej potężne klasztory były samorządnymi duchowymi placówkami z własną ziemią i klientami.^^Charakterystyczną cechę społeczeństw celtyckich (Gaelików, Walijczyków i Piktów) było znaczenie rodu grupy czy klanu. Duża grupa osób rzekomo pochodzących od jednego przodka, działającego jako niezależny podmiot społeczny i prawny.^^Kiedy jedno królestwo wypowiadało wojnę innemu, jedność polityczna każdego królestwa jest równie ważna co jakoś lub liczba jej żołnierzy w celu określenia rozstrzygnięcia. W spójnym królestwie, szlachta połączy się w jedną wielką siłę by zmieść swoich przeciwników przed nimi. W królestwie podzielonym przez drobne kłótnie, lordowie nie odpowiedzą na wezwanie marszałka lub odpłyną  by zająć się własnymi sprawami jeśli kampania nie będzie przebiegała zbyt dobrze. Polityczna spójność frakcji będzie miała wpływ na działania wojenne nawet gdy kampania nie będzie prowadzona. W frakcji która jest podzielona między sobą, będzie mniej skłonna do wspólnego udziału w najazdach i patrolach i do pomocy sobie nawzajem w obronie.^^Wygląda na to że jeśli szlachta prowadzi kłótnie i spory jest to samobójstwo wtedy gdy wróg jest za rogiem, należy pamiętać, że ostatecznie, lojalność szlachty nie należy do frakcji czy kultury ale dla nich własnych i ich rodzin. Jeśli szlachcic obawia się że jego frakcja się rozpada, albo że jest zaniedbywany przez jego suzerena, zwykle może znaleźć powody do wycofania przysięgi i zmiany stron. Gracze powinni o tym pamiętać, ponieważ może okazać się szansą na zmianę dawnych niezadowolonych wrogów na sojuszników.
ip_character_backgrounds|Biografia postaci
