skl_trade|Handel
skl_trade_desc|Każdy poziom tej umiejętności zmniejsza karę za handel o 5%%. (Umiejętność drużynowa)
skl_leadership|Przywództwo
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 and reduces troop wages. (Leader skill)
skl_prisoner_management|Zarządzanie więźniami
skl_prisoner_management_desc|Każdy poziom tej umiejętności zwiększa maksymalną ilość więźniów o %d. (Umiejętność lidera)
skl_reserved_1|Umiejętność rezerwowa 1
skl_reserved_1_desc|To jest umiejętność rezerwowa.
skl_reserved_2|Umiejętność rezerwowa 2
skl_reserved_2_desc|To jest umiejętność rezerwowa.
skl_reserved_3|Umiejętność rezerwowa 3
skl_reserved_3_desc|To jest umiejętność rezerwowa.
skl_reserved_4|Umiejętność rezerwowa 4
skl_reserved_4_desc|To jest umiejętność rezerwowa.
skl_persuasion|Perswazja
skl_persuasion_desc|Ta umiejętność pomaga Ci przekonać innych do Twojego punktu widzenia. Zmniejsza również minimalny poziom relacji potrzebnych do przekonania NPCa. (Umiejętność osobista)
skl_engineer|Inżynier
skl_engineer_desc|Ta umiejętność pozwala na konstruowanie machin oblężniczych i usprawnia lenno. (Umiejętność drużynowa) 
skl_first_aid|Pierwsza pomoc
skl_first_aid_desc|Postaci odzyskują 5%% zdrowia utraconego podczas zadań na poziom. (Umiejętność drużynowa)
skl_surgery|Operacja
; skl_surgery_desc|Each point of this skill gives a 4%% chance that a mortally struck party member will be wounded rather than killed. (Party skill)
skl_wound_treatment|Leczenie ran
; skl_wound_treatment_desc|Party healing speed is increased by 20%% per level of this skill. Additionally, each point increases the chance that deep wounds will heal better by 5%%. (Party skill)
skl_inventory_management|Zarządzanie ekwipunkiem
skl_inventory_management_desc|Podnosi wielkość inwentarza o +6 na każdy poziom umiejętności. (Umiejętność przywódcy)
skl_spotting|Spostrzegawczość
skl_spotting_desc|Zasięg wzroku drużyny zwiększa się o 10%% na każdy poziom umiejętności. (Umiejętność drużynowa)
; skl_pathfinding|Path-Finding
skl_pathfinding_desc|Prędkość poruszania się drużyny na mapie zwiększa się o 3%% na poziom umiejętności. (Umiejętność drużynowa)
skl_tactics|Taktyka
skl_tactics_desc|Każde dwa poziomy umiejętności zwiększają przewagę na początku walki o 1. (Umiejętność drużynowa)
skl_tracking|Tropienie
skl_tracking_desc|Tropy stają się bardziej szczegółowe. (Umiejętność drużynowa)
skl_trainer|Trener
; skl_trainer_desc|Every day, each hero with this skill adds some experience to every other member of the party whose level is lower than his/hers. Experience gained goes as: {0,4,10,16,23,30}. (Personal skill)
skl_reserved_5|Umiejętność rezerwowa 5
skl_reserved_5_desc|To jest umiejętność rezerwowa.
skl_reserved_6|Umiejętność rezerwowa 6
skl_reserved_6_desc|To jest umiejętność rezerwowa.
skl_reserved_7|Umiejętność rezerwowa 7
skl_reserved_7_desc|To jest umiejętność rezerwowa.
skl_reserved_8|Umiejętność rezerwowa 8
skl_reserved_8_desc|To jest umiejętność rezerwowa.
skl_looting|Grabienie
skl_looting_desc|Ta umiejętność zwiększa ilość zdobywanych dóbr o 10%% na poziom umiejętności. (Umiejętność drużynowa)
skl_horse_archery|Łucznictwo konne
skl_horse_archery_desc|Zmniejsza kary do celności i obrażeń przy strzelaniu lub rzucaniu z konia. (Umiejętność osobista)
skl_riding|Jeździectwo
; skl_riding_desc|Enables you to ride horses of higher difficulty levels and increases your riding speed and manuever. With a skill of 4 or higher, you can also call your horse with the 'H' key in a battle. (Personal skill)
skl_athletics|Atletyka
skl_athletics_desc|Zwiększa prędkość biegu. (Umiejętność osobista)
skl_shield|Tarcza
skl_shield_desc|Zmniejsza obrażenia zadawane tarczom (8%% na poziom umiejętności), zwiększa pokrycie i prędkość tarczy. (Umiejętność osobista)
skl_weapon_master|Mistrz broni
; skl_weapon_master_desc|Makes it easier to learn weapon proficiencies, increases the proficiency limits and improves shield speed and coverage. Limits go as: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Personal skill)
; skl_maintenance|Weapon Maintenance
; skl_maintenance_desc|Adequate maintenance of your equipment will lower the chance of it breaking in battle. Each point of this skill reduces the probability of breaking by 7%%. (Party skill)
skl_reserved_10|Umiejętność rezerwowa 10
skl_reserved_10_desc|To jest umiejętność rezerwowa.
skl_reserved_11|Umiejętność rezerwowa 11
skl_reserved_11_desc|To jest umiejętność rezerwowa.
skl_reserved_12|Umiejętność rezerwowa 12
skl_reserved_12_desc|To jest umiejętność rezerwowa.
skl_reserved_13|Umiejętność rezerwowa 13
skl_reserved_13_desc|To jest umiejętność rezerwowa.
skl_power_draw|Siła naciągu
skl_power_draw_desc|Daje możliwość używania potężniejszych łuków. Każdy punkt umiejętności (aż do 4+wymagania łuku) zwiększa obrażenia zadawane łukiem o 14%%. (Umiejętność osobista)
skl_power_throw|Siła rzutu
skl_power_throw_desc|Każdy punkt umiejętności zwiększa obrażenia zadawane bronią rzucaną o 10%%. (Umiejętność osobista)
skl_power_strike|Siła uderzenia
skl_power_strike_desc|Każdy punkt umiejętności zwiększa obrażenia w walce wręcz o 8%%. (Umiejętność osobista)
skl_ironflesh|Żelazna skóra
skl_ironflesh_desc|Każdy punkt umiejętności dodaje +2 punkty zdrowia. (Umiejętność osobista)
; skl_navigation|Navigation
; skl_navigation_desc|Party map speed on sea is increased by 5%% per skill level. (Party skill)
; skl_sea_king|Sea-King
; skl_sea_king_desc|Every point increases the maximum number of ships you can command. (Leader skill)
skl_reserved_16|Umiejętność rezerwowa 16
skl_reserved_16_desc|To jest umiejętność rezerwowa.
skl_reserved_17|Umiejętność rezerwowa 17
skl_reserved_17_desc|To jest umiejętność rezerwowa.
skl_reserved_18|Umiejętność rezerwowa 18
skl_reserved_18_desc|To jest umiejętność rezerwowa.
