
ui_music_volume|Głośność muzyki:
ui_sound_volume|Głośność dźwięku:
ui_mouse_sensitivity|Czułość myszki:
ui_invert_mouse_y_axis|Odwróć oś Y myszki
ui_enabled|Włączone
ui_disabled|Wyłączone
ui_damage_to_player|Obrażenia zadane graczowi:
ui_reduced_to_1_over_4_easiest|Obniżone do 1/4 (najłatwiejsze)
ui_reduced_to_1_over_2_easy|Obniżone do 1/2 (łatwe)
ui_damage_to_friends|Obrażenia zadane przyjaciołom:
ui_reduced_to_1_over_2_easiest|Obniżone do 1/2 (łatwe)
ui_reduced_to_3_over_4_easy|Obniżone do 3/4 (najłatwiejsze)
ui_normal|Normalny
ui_combat_ai|AI w walce:
; ui_combat_speed|Movement and Combat Speed:
ui_good|Dobra
ui_average_caps|Średnia
ui_poor|Słaba
ui_faster|Szybciej
ui_slower|Wolniej
ui_control_block_direction|Kierunek bloku:
ui_automatic_recommended|Automatyczne
ui_manual_easy|Ręczne (łatwe)
ui_manual_hard|Ręczne (trudne)
ui_by_mouse_movement|Ruchami myszki
ui_control_attack_direction|Kierunek ataku:
ui_lance_control|Kontrola lancy:
ui_by_relative_enemy_position|Odpowiednio do pozycji przeciwnika
ui_by_inverse_mouse_movement|Odwróć ruchy myszki
; ui_battle_size|Battle Size (impact on performance):
ui_show_attack_direction|Pokaż kierunek ataku
ui_show_targeting_reticule|Pokaż celownik
ui_show_names_of_friendly_troops|Pokazuj chorągwie na zaprzyjaźnionych jednostkach
ui_report_damage|Pokazuj obrażenia
ui_report_shot_difficulty|Pokazuj trudność strzału
ui_difficulty_rating_percentage|Ocena trudności = %d%%
ui_controls|Sterowanie
ui_video_options|Ustawienia wideo
ui_done|Gotowe
ui_factions|Fakcje
; ui_item_itemname|Item - %s
; ui_prop_propname|Prop - %s
; ui_unknown_unknownname|Unknown - %s
; ui_entry_point_entrypointname|Entry Point %d
; ui_passage_menu_item_passagename|Passage (menu item %d)
; ui_plant_plantname|Plant - %s
; ui_export_file_for_character_playername_already_exists_overwrite_it|Export file for character %s already exists. Overwrite it?
ui_yes|Tak
ui_no|Nie
ui_set_save_file_name|Wprowadź nazwę dla zapisanego stanu gry:
ui_enter_new_name|Wprowadź nową nazwę:
ui_export_character|Eksportuj postać
ui_import_character|Importuj postać
ui_character_playername_exported_successfully|Postać %s wyeksportowana poprawnie.
ui_character_playername_imported_successfully|Postać %s zaimportowana poprawnie.
ui_unable_to_open_import_file|Nie udało się otworzyć pliku.
ui_are_you_sure_you_want_to_import_the_character|Jesteś pewien, że chcesz zaimportować postać?
ui_unable_to_find_character_import_file|Nie można odnaleźć pliku.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade działa w wersji próbnej. Proszę kupić pełną wersję, aby importować postać.
ui_change_skin|Skóra
ui_change_hair|Włosy
ui_change_hair_color|Kolor włosów
ui_change_beard|Broda
ui_tutorial|Samouczek
ui_tutorial_face_generator|Dostosuj twarz postaci korzystając z przycisków i suwaków. Aby obrócić głowę, kliknij na niej i przeciągnij myszką.
ui_restore|Wczytaj
ui_cancel|Anuluj
ui_delete|Usuń
ui_confirm_delete_game|Jesteś pewien, że chcesz usunąć grę?
ui_error_removing_file|Błąd przy usuwaniu pliku...
ui_day_datedisplay|Dzień %d (%d:%d%d)
ui_reset_changes|Zresetuj zmiany
ui_weapon_proficiencies|Biegłości
ui_skills|Umiejętności
ui_attributes|Atrybuty
ui_enter_name_here|*Wprowadź imię*
ui_edit_face|Kliknij, aby edytować twarz
ui_statistics|Statystyki
ui_next|Dalej
ui_prev|Wróć
; ui_learn|Learn
ui_question_saving_policy|Jaki będzie sposób zapisywania gry?
ui_saving_policy_realistic|Realistyczny! Nie ma wychodzenia bez zapisywania!
ui_saving_policy_nonrealistic|Pozwól mi wyjść bez zapisywania gry.
ui_tutorial_character_generation|Teraz wprowadź swoje imię i rozdziel punkty atrybutów, umiejętności i broni. Możesz kliknąć na różne elementy na ekranie, aby dowiedzieć się jak wpłyną na Twoją postać.
ui_str|SIŁ
ui_agi|ZRĘ
ui_int|INT
ui_cha|CHA
ui_at_learning_limit|(Osiągnięto limit)
ui_not_enough_skill_points_to_learn|(Nie masz wystarczającej ilość punktów atrybutów)
ui_strength|siła
ui_agility|zręczność
ui_intelligence|inteligencja
ui_charisma|charyzma
ui_not_enough_attributetype_to_learn_this_skill|
ui_explanation_one_handed_weapon|Odpowiada za użycie jednoręcznych mieczy, toporów i broni obuchowej.
ui_explanation_two_handed_weapon|Odpowiada za użycie dwuręcznych mieczy, toporów i młotów.
ui_explanation_polearm|Odpowiada za użycie broni długich jak włócznie, lance, kije itd.
ui_explanation_archery|Odpowiada za użycie łuków.
ui_explanation_crossbow|Odpowiada za użycie kusz.
ui_explanation_throwing|Odpowiada za użycie broni rzucanych jak oszczepy, rzutki, kamienie itd.
; ui_explanation_firearms|Covers usage of slings.
; ui_explanation_strength|Strength: Every point adds +1 to hit points. The following skills can not be developed beyond 1/2 of Strength: ironflesh, Power-strike, Power-throw, Power-draw, Inventory Management. Every 5 levels, you get an extra point to add to your attributes.
; ui_explanation_agility|Agility: Each point gives five weapon points and slightly increases movement speed. The following skills can not be developed beyond 1/2 of Agility: weapon-master, Spotting, Athletics, Riding, Path finding, Looting. Every 5 levels, you get an extra point to add to your attributes.
; ui_explanation_intelligence|Intelligence: Every point to intelligence immediately gives one extra skill point. The following skills can not be developed beyond 1/2 of Intelligence: Trainer, Tracking, Tactics, Wound treatment, Surgery, First-aid, Engineer, Navigation, Weapon Maintenance. Every 5 levels, you get an extra point to add to your attributes.
; ui_explanation_charisma|Charisma: Affect in dialogues, seduction and how others see you. Each point increases your party size limit by +1. The following skills can not be developed beyond 1/2 of Charisma: Sea King, Leadership, Persuasion, Trade. Every 5 levels, you get an extra point to add to your attributes.
ui_level|Poziom: %d
ui_xp|Doświadczenie: %d
ui_next_level_at|Następny poziom: %d
ui_health_player|Zdrowie: %d%d
ui_health|Zdrowie: %d
; ui_attribute_points|Attribute points: %d
; ui_skill_points|Skill points: %d
; ui_weapon_points|Weapon points: %d
; ui_mission_losses_none| none.
; ui_mission_losses_wounded|wounded :
; ui_mission_losses_killed|killed :
; ui_party_losses|%s  : %d wounded --- %d killed of %d.
; ui_casualties_sustained|Casualties sustained:
; ui_advantage_change|Advantage change = %c%d 
; ui_overall_battle_casualties|Overall battle causalties:
; ui_advantage_outnumbered| You are hopelessly outnumbered.
; ui_advantage_major_disadvantage| You have a major disadvantage.
; ui_advantage_slight_disadvantage| You are slightly disadvantaged.
; ui_advantage_balanced| The situation is balanced.
; ui_advantage_fair_advantage| You have a fair advantage for winning.
; ui_advantage_greatly_favored| The odds of battle favor you greatly.
; ui_tactical_advantage|Tactical advantage: %d (%s)
; ui_order_group|Order group:
; ui_question_save_changes|You have made changes to the objects. Do you want to save changes?
; ui_yes_save|Yes, save
; ui_no_discard_changes|No, discard changes
; ui_everyone_control|Everyone!
; ui_everyone_around_control|Nearby Soldiers!
; ui_others_control|Others!
ui_question_give_up_fight|Poddać walkę?
; ui_give_up|Give up
; ui_keep_fighting|Keep fighting
; ui_question_leave_area|Leave Area
; ui_cant_retreat_there_are_enemies_nearby|Can't retreat. There are enemies nearby!
; ui_question_retreat_battle|Retreat battle?
; ui_retreated_battle|%s has been routed.
; ui_retreated_battle|%s has been routed.
; ui_retreat|Retreat
; ui_talk|Talk
; ui_duel|Duel
ui_mount|Wsiądź
; ui_riding_skill_not_adequate_to_mount|(Riding skill not adequate to mount)
ui_dismount|Zsiąść
; ui_exit|Exit
; ui_door_to|Door to 
; ui_open|Open
; ui_equip|Equip
; ui_baggage|Baggage
; ui_access_inventory|Access inventory
; ui_chest|Chest
; ui_passage|Passage
; ui_go|Go
; ui_retreat_battle|Retreat Battle
; ui_leave_area|Leave Area
; ui_reports|Quarters
; ui_camp|Camp
; ui_terrain|Terrain
; ui_quests|Notes
; ui_inventory|Inventory
; ui_character|Character
; ui_party|Army
; ui_paused|Paused
; ui_click_left_button_to_cancel_wait|Waiting... (Left click to return)
; ui_midnight|Midnight
; ui_late_night|Late night
; ui_dawn|Dawn
; ui_early_morning|Early morning
; ui_morning|Morning
; ui_noon|Noon
; ui_afternoon|Afternoon
; ui_late_afternoon|Late afternoon
; ui_dusk|Dusk
; ui_evening|Evening
; ui_midnight|Midnight
; ui_level_limit_reached|Level Limit Reached!
; ui_explanation_level_limit|Hail Adventurer, Mount&Blade has not been activated yet and is running in trial mode. In this mode, the game is limited to Level 8. In order to continue playing, please restart the game and activate it with your 16-digit serial key which is included in your boxed copy. After activating, you can continue playing right from here. Now, Mount&Blade will save your game and exit.
; ui_time_limit_reached|Time Limit Reached!
; ui_explanation_time_limit|Hail Adventurer, Mount&Blade has not been activated yet and is running in trial mode. In this mode, the game is limited to 30 game days. In oder to continue playing, please restart the game and activate it with your 16-digit serial key which is included in your boxed copy. After activating, you can continue playing right from here. Now, Mount&Blade will save your game and exit.
; ui_target_lost|Target lost
; ui_waiting|Waiting.
; ui_travelling_to|Travelling to 
; ui_following|Following 
; ui_accompanying|Accompanying 
; ui_running_from|Running from 
; ui_patrolling|Patrolling
; ui_patrolling_around|Patrolling around 
; ui_holding|Holding
; ui_travelling|Travelling
; ui_fighting_against|Fighting against 
; ui_speed_equals|Speed = %2.1f
; ui_defenders|Garrison:
; ui_prisoners|Prisoners:
; ui_1_hour|1 hour
; ui_n_hours|%d hours
; ui_between_hours|%d - %d hours
; ui_combatants|Combatants: %d
; ui_party_size|Party size: %d
; ui_party_size_between|Party size: %d - %d
; ui_merchant|Merchant
; ui_return|Return
; ui_no_cost|No cost
; ui_rename|Rename
; ui_use|Use
; ui_destroy|Destroy
; ui_destructible_target|Destructible target
; ui_tutorial_inventory|This is the trade screen. Hold down control key while clicking on an item to quickly purchase or sell it.
; ui_head_armor|Head Armor: %d
; ui_body_armor|Body Armor: %d
; ui_leg_armor|Leg Armor: %d
; ui_encumbrance|Encumbrance: %2.1f
; ui_you_dont_have_value|You don't have %s.
; ui_merchant_cant_afford_value|%s: I can't afford %s. I have only %s.
; ui_merchant_pay_whatever|Allright, just pay whatever you can.
; ui_merchant_think_of_something_else|Hmm. Let us think of something else.
; ui_dumping_value_items|%d items will be permanently lost, are you sure?
; ui_dumping_value_item|One item will be permanently lost, are you sure?
; ui_question_slaughter_food_and_eat|Slaughter this %s and eat it?
; ui_money_value|Money: %s
; ui_dump|Discard
; ui_outfit|Outfit
; ui_arms|Arms
; ui_horse|Horse
; ui_food|Food
; ui_reclaim_your_sold_goods|Reclaim your sold goods before buying that!
; ui_return_your_bought_goods|Return your bought goods before selling that!
; ui_polearm_no_shield|Polearm (No shield)
; ui_polearm|Polearm
; ui_two_handed|Two-handed
; ui_two_handed_one_handed|Two-handed/One-handed
; ui_one_handed|One-handed
; ui_return_price|Return price: %d
; ui_sell_price|Sell price: %d
; ui_reclaim_price|Reclaim price: %d
; ui_buying_price|Buying price: %d
; ui_default_item|Default item
; ui_buying_price_free|Buying price: Free
; ui_weight|Weight: %2.1f
; ui_plus_value_to_head_armor|+%d to head armor
; ui_plus_value_to_body_armor|+%d to body armor
; ui_plus_value_to_leg_armor|+%d to leg armor
; ui_swing|Swing: %d%s
; ui_damage|Damage: %d%s
; ui_thrust|Thrust: %d%s
; ui_accuracy|Accuracy: %d
; ui_speed_rating|Speed rating: %d
; ui_value_to_damage|%c%d to damage
; ui_value_to_morale|+%1.1f to party morale
; ui_resistance|Resistance: %d
; ui_size|Size: %d
; ui_weapon_reach|Weapon reach: %d
; ui_armor|Armor: %d
; ui_speed|Speed: %d
; ui_maneuver|Maneuver: %d
; ui_charge|Charge: %d
; ui_hit_points|Hit Points: %d/%d
; ui_requires_value_difficulty|Requires %s: %d
; ui_bonus_against_shields|Bonus against shields
; ui_cant_be_used_to_block|Can't be used to block
; ui_troop_cant_use_item|%s: I can't use that item!
; ui_notification_riding_skill_not_enough|Your riding skill is not high enough to mount this horse.
; ui_notification_requirements_not_met|You don't have the required skills or attributes for this weapon.
; ui_notification_payment_value|You must pay %s.
; ui_notification_payment_receive_value|You will receive %s.
; ui_one_handed_weapons|One Handed Weapons
; ui_two_handed_weapons|Two Handed Weapons
; ui_polearms|Polearms
; ui_archery|Archery
; ui_crossbows|Crossbows
; ui_throwing|Throwing
; ui_firearms|Slings
; ui_reset|Reset
; ui_release_one|Release one
; ui_move_up|Move Up
; ui_move_down| Move Down 
