ip_armies_size|Tamanho do Exército
ip_armies_size_text|O tamanho de seu exército, similar aos exércitos dos Lordes, depende de vários fatores: ^ ^ Liderança: cada ponto aumentará o tamanho máximo do seu exército em 5. Companheiros com liderança ajudam a liderar a tropa... ^ ^ Carisma: cada ponto de seu carisma irá aumentar o tamanho máximo do seu exército em 1. É sua capacidade de atrair homens para sua causa... ^ ^ Renome: cada 9 pontos aumentará o tamanho máximo do seu exército em 1. Fama atrai seguidores... ^ ^ Propriedades: cada cidade irá adicionar 80 homens e cada forte 40 para o tamanho máximo do seu exército. Estes locais representam homens que você pode recrutar através de um alistamento... ^ ^ Tenha em mente que o tamanho da tropa no mar é limitado pela capacidade do navio. As tropas extras sempre podem ser deixadas em uma guarnição de assentamento, Refúgio do jogador (uma vez construído) ou algum Quartel de Acampamento.
ip_morale|Moral
ip_morale_text|A moral representa a capacidade e a disposição das tropas sob um estandarte para juntar a resistência, coragem e disciplina de que precisam para enfrentar o stress das batalhas e as marchas. Isso não é a mesma coisa que a felicidade das tropas. Tropas de elite podem reclamar e lamentar-se sobre as dificuldades da campanha..--para então estarem juntos como um quando as flechas começarem a voar. Por outro lado, um comandante que dá a seus homens tudo o que eles querem pode descobrir que crescem macios e desistem diante do ataque inimigo... ^ ^ O maior impacto da moral é no comportamento da tropa em batalha, determinando quão agressivamente as tropas enfrenam o inimigo, e o quanto suscetíveis estão a bater em retirada caso percebam que a maré da batalha se vira contra eles. Moral também afeta a velocidade de marcha das tropas, como por exemplo uma tropa menos motivada irá mover mais lentamente, conforme os homens não estejam forçando-se ao seu limite físico e param mais freqüentemente, enquanto esperam retardatários alcançarem. Finalmente, uma tropa com a moral muito baixa começará a sofrer deserções. ^ ^ Alguns fatores que afetam a moral são intuitivos. Por exemplo, um comandante carismático com uma reputação por ganhar batalhas pode infundir seus com um senso de confiança. Líderes que dão a seus homens bem amplas e variadas fontes de alimentos e os pagam em dia, demonstram que eles se preocupam com o bem-estar de suas tropas e são menos propensos a conduzi-los ao desastre... ^ ^ Outros fatores são menos intuitivos..--particularmente aqueles relacionados ao senso de coesão grupal de uma tropa. Em um pequeno de união firme, por exemplo, os homens irão sempre lutar duro contra as possibilidades assustadoras para evitar mostrar covardia diante de seus camaradas de armas. Uma grande tropa por outro lado pode ver sua coesão tensa, pois o Comandante tem menos tempo para supervisionar os homens, ouvir suas queixas e resolver suas disputas. Batalhas freqüentes irão fortalecer os laços entre os homens, enquanto longos períodos sem combate verá as tropas ficarem entediadas e briguentas. ^ ^ O relatório de moral, acessível clicando no botão 'Info das Tropas' na tela 'Personagem', dará o jogador uma noção dos fatores que afetam a moral de seus homens.
ip_economy|Economia
ip_economy_text|Cidades e vilas nas Terras do Norte precisam de uma ampla variedade de mercadorias para as suas populações permanecerem saudáveis e produtivas. Primeira em importância é a comida. Grãos é a cultura básica das Terras do Norte, mas as pessoas também precisam de gordura e proteína na forma de carne vermelha, peixe ou queijo. Dá quase tanto trabalho preservar a carne quanto produzi-la, em primeiro lugar, então sal também está em alta demanda. Depois da comida vem vestuário: lãs pesadas, linhos mais leves ou veludos luxuosos. Finalmente, as pessoas precisam de ferramentas dos seus comércios: ferragens, cerâmica, trabalhos em couro e, claro, armas, armaduras, e cavalos para guerra ^ ^ a Maioria dos produtos agrícolas são produzidos nas vilas, enquanto os artesãos nas cidades se especializam em bens manufaturados ou artesanais como tecidos ou ferragens. Também, diferentes recursos podem ser encontrados em diferentes partes do país. Consequentemente, a chave para a prosperidade nas Terras do Norte é o comércio..-- ambos o entre as vilas e cidades e o das principais cidades entre si. ^ ^ Quando o comércio flui, mercadorias estarão disponíveis e acessíveis, a população de um assentamento estará saudável e enérgica, e migrantes se reunirão vindos das regiões vizinhas. O Assentamento vai produzir mais, consumir mais e poder contribuir mais em impostos para seus Lordes. Quando o comércio seca, cidades e vilas verão seus trabalhadores abandonarem para procurar trabalho em outro lugar, e atividade econômica irá flutuar para uma paralisação. Portanto, é do interesse dos governantes proteger as rotas de comércio contra os perigos da guerra e o banditismo. Um comerciante esperto, porém, poderá querer procurar cidades que se tornaram isoladas do resto da região, assim ele ou ela pode ser capaz de obter um lucro vindo do desequilíbrio de preços resultante. ^ ^ Porque moradores das vilas geralmente planejam levar seus produtos pro mercado das cidades, mercados de vilas serão lugares bastante tranquilos, e moradores dali vão comprar barato e vender caro. Comerciantes sérios vão se enfiar nas cidades para fazer um lucro, embora algumas tropas possam decidir fazer uma parada rápida em uma vila pra adquirir suprimentos. ^ ^ Um jogador que queira saber sobre os fatores que afetam a prosperidade da região pode falar com o prefeito da cidade local. Outras informações podem ser coletadas a partir de transeuntes, embora eles não devam saber muito fora de seu próprio comércio particular.
ip_courtship|Cortejo
ip_courtship_text|Você pode querer se casar dentro de uma das famílias nobres das Terras do Norte. Casamento não é necessário a alguém pra subir em poder e estatura, mas ele os abastece com uma oportunidade de melhorar sua relação com Lordes e estabelecer uma reivindicação ao trono. ^ ^ Requisitos de casamento serão diferentes para homens e mulheres. Uma personagem masculino geralmente precisará seguir um caminho tradicional de cortejo. Ele deve estabelecer uma reputação na sociedade aristocrática, subir em bons termos com os pais ou guardiões da moça e então esperar a noiva de acordo com os costumes locais. Se um jogador ficar impaciente, ele pode tentar pegar um atalho..--mas haverá consequências nas suas relações com outros Lordes. ^ ^ Um personagem masculino deve ter em mente que outros Lordes estarão competindo com ele pela afeição das moças do Reino. Também, o gosto de uma donzela é imprevisível, e um jogador pode também descobrir que o objeto de seu amor não o ama em troca. Romance, nas Terras do Norte como em outros lugares, nem sempre prosperar. É claro, um jogador pode recorrer a outros meios menos cavalheirescos, para ganhar o coração de uma mulher, mas novamente, isso terá um impacto grave em sua reputação... ^ ^ Para começar no caminho do cortejo, um jogador masculino deve tentar se envolver na vida social da aristocracia das Terras do Norte, frequentar banquetes e torneios. E também, trovadores vagantes e poetas podem servir como um repositório útil de informação sobre cortejo e se manter atualizado sobre as últimas fofocas.^ ^ Personagens femininas também podem se casar -- mas eles devem ter em mente que estas sociedades são muito tradicionais, e, como aventureiras, elas escolheram um caminho muito pouco convencional para uma mulher. Uma personagem feminina pode ter que procurar por um tempo para encontrar um Lorde que esteja de mente aberta o suficiente para casar com ela ^ ^ Pelo lado positivo, uma personagem feminina não tem que atravessar os elaborados rituais de cortejo, e ela também pode ganhar mais de um casamento do que sua contraparte masculina. Para uma aventureira mulher, o casamento pode ser um caminho rápido para o poder... e uma personagem sem escrúpulos pode ser capaz de usar seu marido como um instrumento de suas ambições políticas.
ip_politics|Política
; ip_politics_text|The realms of the Northlands, although they represent different cultures, all shared a basic political system that preceded feudalism. At the top of Germanic social hierarchy was the king, elected by a council of noblemen from the royal house. All the land of the realm belonged to the king, who distributed it among the aristocracy and the warriors who had performed outstanding deeds. This land however did not become their property and in case of death, either the king or the client, returned to the ruler. The nobility governed each shire in king's name with the responsibility for administration and justice, raising and leading the levies of men to the battlefield. For this purpose they divided their land into smaller parcels among the freemen who formed the backbone of the rural economy of the kingdom. These farmers and householders paid rent to their overlord and/or had several duties with him, such as building fortifications or working some days of the week during the harvest-time.^^This system of clientship was also practised between nobles, which established hierarchies of homage and political support. The increasingly powerful monasteries were autonomous ecclesiastical establishments with their own land and clients.^^A distinctive feature of the Celtic societies (Gaelic, Welsh and Pictish) was the importance of the corporate lineage-group, the clan. A large group of related people supposedly descended from one common ancestor, acting as an independent social and legal entity.^^When one realm in the Northlands makes war on another, the political unity of each kingdom is as important as the quality or number of its soldiers in determining the outcome. In a cohesive kingdom, nobles will join together in a large force to sweep their opponents before them. In a kingdom divided by petty quarrels, lords will fail to respond to the marshal's summons, or drift away to attend to their own business if a campaign is not going well. A faction's political cohesion will also impact warfare when campaigns are not in progress. In a divided faction, lords will be less likely to join together on raids and patrols or to come to each other's defense.^^If it seems nobles' bickering and quarrels are self-defeating when the enemy is just around the corner, keep in mind that ultimately, a noble's loyalty doesn't belong to a particular faction or culture, but to himself and to his family. If a noble fears that his faction is collapsing, or if he is being neglected by his liege, he can usually find a reason to withdraw his oath of allegiance and change sides. Players should keep this in mind, as they may find that there are opportunities to turn discontented former enemies into allies.
; ip_character_backgrounds|Character Backgrounds
