p_zendar|ZENDAR
p_town_1|Cidade de CANTWARABURH
p_town_2|Cidade de CIPPANHAMM
p_town_3|Cidade de EIDYNBURH
p_town_4|Cidade de RIBE
p_town_5|Cidade de TUNSBERG
p_town_6|Cidade de DUN BREATANN
p_town_7|Cidade de DUBH LINN
p_town_8|Cidade de CIRREN CEASTER
p_town_9|Cidade de CAER DYF
p_town_10|Cidade de JORVIK
p_town_11|Cidade de DORESTAD
p_town_12|Cidade de LUNDENWIC
p_town_13|Cidade de YNYS MON
p_town_14|Cidade de DUNWIC
p_town_15|Cidade de SCUIN
p_town_16|Cidade de WITAN CEASTER
p_town_17|Cidade de BOSVENEGH
p_town_18|Cidade de CEALL CAINNIGH
p_town_19|Cidade de CELL RIGMONAID
p_town_20|Cidade de RATH CELTAIR
p_town_21|Cidade de MAISTIU
p_town_22|Cidade de CAER MEGUAIDD
p_town_23|Cidade de TOMTUN
p_town_24|Cidade de CAISEAL
p_town_25|Cidade de AILEACH
p_town_26|Cidade de BRYCHEINIOG
p_town_27|Cidade de BEBBANBURH
p_town_28|Cidade de CRUAGHAN
p_town_29|Cidade de TEMAIR
p_castle_1|Castelo de Caer Ligualid
p_castle_2|Castelo de Mame Ceaster
p_castle_3|Castelo de Donne Ceaster 
p_castle_4|Castelo de Middelsburh
p_castle_5|Castelo de Denisesburna
p_castle_6|Castelo de Anúncio Gefrin
p_castle_7|Castelo de Din Baer
p_castle_8|Castelo de Wicstun
p_castle_9|Castelo de Snotingaham
p_castle_10|Castelo de Lincylene
p_castle_11|Castelo de Ham Tune
p_castle_12|Castelo de Hreapandun
p_castle_13|Castelo de Oxenaforda
p_castle_14|Castelo de Colne Ceaster
p_castle_15|Castelo de Gegnesburh
p_castle_16|Castelo de Stanford
p_castle_17|Castelo de Norwic
p_castle_18|Castelo de Haegelisdun
p_castle_19|Castelo de Rendlaesburh
p_castle_20|Castelo de Grantebrycge
p_castle_21|Castelo de Hrofae Ceaster
p_castle_22|Castelo de Dornwara Ceaster
p_castle_23|Castelo de Searoburh
p_castle_24|Castelo de Dorce Ceaster
p_castle_25|Castelo de Wiltun
p_castle_26|Castelo de Tun Ham
p_castle_27|Castelo de Badon
p_castle_28|Castelo de Escan Ceaster
p_castle_29|Castelo de Towan Blystra
p_castle_30|Castelo de Din Tagell
p_castle_31|Castelo de Cathures
p_castle_32|Castelo de Cuil nam
p_castle_33|Castelo de Caer Caradawg
p_castle_34|Castelo de Gobhann
p_castle_35|Castelo de Duim Pardo
p_castle_36|Castelo de Foither Pardo
p_castle_37|Castelo de Dun Taruo
p_castle_38|Castelo de Dun Averte
p_castle_39|Castelo de Dun Onlaigh
p_castle_40|Castelo de Art Muirchol
p_castle_41|Castelo de Din Bych
p_castle_42|Castelo de Dinas Bran
p_castle_43|Castelo de Din Arth
p_castle_44|Castelo de Din Erth
p_castle_45|Castelo de Caer Seniont
p_castle_46|Castelo de Caer Sws
p_castle_47|Castelo de Meigen Cil Ceincoed
p_castle_48|Castelo de Caer Went
p_castle_49|Castelo de Skyfa
p_castle_50|Castelo de Vebjorg
p_castle_51|Castelo de Huhelstath
p_castle_52|Castelo de Heidabyr
p_castle_53|Castelo de Skiringssalr
p_castle_54|Castelo de Hordaland
p_castle_55|Castelo de Agdir
p_castle_56|Castelo de Rogaland
p_castle_57|Castelo de Caer Halruaa
p_castle_58|Castelo de Baitte Pardo
p_castle_59|Castelo de Ynys Manaw
p_castle_60|Castelo de Bjarnaroy
p_castle_61|Castelo de Orkneyjar
p_castle_62|Castelo de Veisafjordr
p_castle_63|Castelo de Kennemer
p_castle_64|Castelo de Vles Inge
p_castle_65|Castelo de Dun Sebuirge
p_castle_66|Castelo de Magh Rath
p_castle_67|Castelo de Magh Cobha
p_castle_68|Castelo de Druim Mor
p_castle_69|Castelo de Rath Clochair
p_castle_70|Castelo de Fir Fearnmhaigh
p_castle_71|Castelo de Ard Macha
p_castle_72|Castelo de Mag Dumai
p_castle_73|Castelo de Ath-Mor
p_castle_74|Castelo de Ard Eachadha
p_castle_75|Castelo de Ard Breacain
p_castle_76|Castelo de Lagore Crannoc
p_castle_77|Castelo de Cathair Chomain
p_castle_78|Castelo de Luighne Connacht
p_castle_79|Castelo de Fiachrach Aidne
p_castle_80|Castelo de Ath Berchna
p_castle_81|Castelo de Grian Airbh
p_castle_82|Castelo de Les Mor
p_castle_83|Castelo de Ciarraighe Luachra
p_castle_84|Castelo de Muscraighe
p_castle_85|Castelo de Dun Na Mbarc
p_castle_86|Castelo de Cell Dara
p_castle_87|Castelo de Liamhain
p_castle_88|Castelo de Dun Bolg
p_castle_89|Castelo de Ros Mhic Treoin
p_castle_90|Castelo de Mairg Laigen
p_village_1|Vila de Ligualid Ham
p_village_2|Vila de Mame Ham
p_village_3|Vila de Donne Ham
p_village_4|Vila de Middels Ham
p_village_5|Vila de Denises Ham
p_village_6|Vila de Ad Gefrin Ham
p_village_7|Vila de Baer Ham
p_village_8|Vila de Wics Ham
p_village_9|Vila de Snotingaham Sul
p_village_10|Vila de Lincylene Ham
p_village_11|Vila de Ham
p_village_12|Vila de Hreapan Ham
p_village_13|Vila de Oxena Ham
p_village_14|Vila de Colne Ham
p_village_15|Vila de Gegnes Ham
p_village_16|Vila de Stan Ham
p_village_17|Vila de Nor Ham
p_village_18|Vila de Haegelis Ham
p_village_19|Vila de Rendlaesham
p_village_20|Vila de Grante Ham
p_village_21|Vila de Hrofae Ham
p_village_22|Vila de Dornwara Ham
p_village_23|Vila de Searo Ham
p_village_24|Vila de Dorce Ham
p_village_25|Vila de Wil Ham
p_village_26|Vila de Ham Ham
p_village_27|Vila de Badon Ham
p_village_28|Vila de Escan Ham
p_village_29|Vila de Tref Towan
p_village_30|Vila de Tref Tagell
p_village_31|Vila de Tref Cathures
p_village_32|Vila de Tref Cuil
p_village_33|Vila de Tref Caradawg
p_village_34|Vila de Tref Gob
p_village_35|Vila de Bal Duim
p_village_36|Vila de Bal Foither
p_village_37|Vila de Bal Tauro
p_village_38|Vila de Bal Averte
p_village_39|Vila de Bal Onlaigh
p_village_40|Vila de Bal Muirchol
p_village_41|Vila de Tref Bych
p_village_42|Vila de Tref Bran
p_village_43|Vila de Tref Arth
p_village_44|Vila de Tref Erth
p_village_45|Vila de Tref Seniont
p_village_46|Vila de Tref Sws
p_village_47|Vila de Tref Ceincoed
p_village_48|Vila de Tref Went
p_village_49|Vila de Skyfa By
p_village_50|Vila de Vebjorg By
p_village_51|Vila de Huhelstath By
p_village_52|Vila de Heida By
p_village_53|Vila de Skiringssalr By
p_village_54|Vila de Horda By
p_village_55|Vila de Agdir By
p_village_56|Vila de Rogaland By
p_village_57|Vila de Tref Reghed
p_village_58|Vila de Bal Baitte
p_village_59|Vila de Tref Manaw
p_village_60|Vila de Bjarnaroy By
p_village_61|Vila de Orkneyjar By
p_village_62|Vila de Veisa By
p_village_63|Vila de Kennemer Terp
p_village_64|Vila de Vles Inge Terp
p_village_65|Vila de Bal Sebuirge
p_village_66|Vila de Bal Magh
p_village_67|Vila de Bal Magh Cobha
p_village_68|Vila de  Bal Mor Norte
p_village_69|Vila de Bal Clochair
p_village_70|Vila de Bal Fearnmhaigh
p_village_71|Vila de Bal Macha
p_village_72|Vila de Bal Dumai
p_village_73|Vila de Bal Mor South
p_village_74|Vila de Bal Eachadha
p_village_75|Vila de Bal Breacain
p_village_76|Vila de Bal Crannoc
p_village_77|Vila de Bal Chomain
p_village_78|Vila de Bal Luighne
p_village_79|Vila de Bal Fiachrach Aidne
p_village_80|Vila de Bal Berchna
p_village_81|Vila de Bal Grian Airbh
p_village_82|Vila de Bal Les Mor
p_village_83|Vila de Bal Ciarraighe Luachra
p_village_84|Vila de Bal Muscraighe
p_village_85|Vila de Bal Na Mbarc
p_village_86|Vila de Bal Dara
p_village_87|Vila de Bal Liamhain
p_village_88|Vila de Bal Bolg
p_village_89|Vila de Bal Ros Mhic Treoin
p_village_90|Vila de Bal Mairg Laigen
p_village_91|Vila de Bal Tara
p_village_92|Vila de Cantwara Ham Norte
p_village_93|Vila de Cantwara Ham Sul
p_village_94|Vila de Cippan Ham Leste
p_village_95|Vila de Cippan Ham Oeste
p_village_96|Vila de Eidyn Ham Leste
p_village_97|Vila de Eidyn Ham Oeste
p_village_98|Vila de Ribe By Norte
p_village_99|Vila de Ribe By Sul
p_village_100|Vila de Tuns By Leste
p_village_101|Vila de Tuns By Oeste
p_village_102|Vila de Tref Breatann Leste
p_village_103|Vila de Tref Breatann Oeste
p_village_104|Vila de Dubh Linn By Norte
p_village_105|Vila de Dubh Linn By Sul
p_village_106|Vila de Tref Dyf Leste
p_village_107|Vila de Tref Dyf Oeste
p_village_108|Vila de Eofer Leste
p_village_109|Vila de Eofer Ham Oeste
p_village_110|Vila de Dore Hem Leste
p_village_111|Vila de Dore Hem Oeste
p_village_112|Vila de Lunden Ham Norte
p_village_113|Vila de Lunden Ham Sul
p_village_114|Vila de Tref Mon Leste
p_village_115|Vila de Tref Mon Oeste
p_village_116|Vila de Dun Ham Norte
p_village_117|Vila de Dun Ham Sul
p_village_118|Vila de Bal Scuin Leste
p_village_119|Vila de Bal Scuin Oeste
p_village_120|Vila de Witan Ham Norte
p_village_121|Vila de Witan Ham Sul
; p_village_122|Tref Bodmine East
; p_village_123|Tref Bodmine West
p_village_124|Vila de Bal Cainnighn Norte
p_village_125|Vila de Bal Cainnighn Sul
p_village_126|Vila de Bal Rigmonaid Norte
p_village_127|Vila de Bal Rigmonaid Sul
p_village_128|Vila de Bal Celtair Leste
p_village_129|Vila de Bal Celtair Oeste
p_village_130|Vila de Bal Maistiu Leste
p_village_131|Vila de Bal Maistiu Oeste
p_village_132|Vila de Tref Meguaidd Leste
p_village_133|Vila de Tref Meguaidd Oeste
p_village_134|Vila de Tom Ham Leste
p_village_135|Vila de Tom Ham Sul
p_village_136|Vila de Bal Caiseal Leste
p_village_137|Vila de Bal Caiseal Oeste
p_village_138|Vila de Bal Aileach Leste
p_village_139|Vila de Bal Aileach Oeste
p_village_140|Vila de Tref Brycheiniog Leste
p_village_141|Vila de Tref Brycheiniog Oeste
p_village_142|Vila de Bebban Ham Norte
p_village_143|Vila de Bebban Ham Sul
p_village_144|Vila de Bal Cruaghan Leste
p_village_145|Vila de Bal Cruaghan Oeste
p_village_146|Vila de Bal Temair Norte
p_village_147|Vila de Bal Temair Sul
p_village_148|Vila de Cirren Ham Leste
p_village_149|Vila de Cirren Ham Oeste
p_village_150|Vila de Doccinga
p_salt_mine|Mina de Sal
p_four_ways_inn|Pousada Quatro Caminhos
p_test_scene|Cena de teste
p_battlefields|campos de batalha
p_frisa_beach|Praia de Friese
p_farmland|Chácara de Ulf
p_boar_grove|Bosque do Javali
p_readingum|READINGUM
p_aescesdun|AESCESDUN
p_mega_danishrmy|Grande Exército do Verão
p_battle_stones|Fileira de Pedras
p_farmland_special|Terras agrícolas
p_roman_fort|Forte Romano
p_troll_bridge|A Ponte de Trolls
p_circle_mystic1|Círculo Místico
p_celidon_forest|Pedras Antigas
p_hidden_valley|Estranhas Ruínas
p_quarry1|Pedreira
p_quarry2|Pedreira
p_quarry3|Pedreira
p_quarry4|Pedreira
p_saltmine1|Mina de sal
p_saltmine2|Mina de sal
p_saltmine3|Mina de sal
p_saltmine4|Mina de sal
p_lumbercamp1|Serraria
p_lumbercamp2|Serraria
p_lumbercamp3|Serraria
p_lumbercamp4|Serraria
p_farmsteadsp1|Chácara
p_farmsteadsp2|Chácara
p_farmsteadsp3|Chácara
p_farmsteadsp4|Chácara
p_farmsteadsp5|Chácara
p_farmsteadsp6|Chácara
p_farmsteadsp7|Chácara
p_farmsteadsp8|Chácara
p_farmsteadsp9|Chácara
p_hadrian_wall1|Muralha de Adriano
p_bjorn_camp|Acampamento de Bjorn
p_snotingaham_siege|Snotingaham sob cerco
p_odin_cave|Caverna de Odin
p_stonemonumento|monumento de pedra
p_forestbattle|Batalha da Floresta
p_the_thing|A Assembly
p_dhorak_keep|Forte Dhorak
p_training_ground|Terreno de Treinamento
p_training_ground_1|Campo de Treinamento
p_training_ground_2|Vila de Treinamento
p_training_ground_3|Campo de Treinamento
p_training_ground_4|Lago de Treinamento
p_training_ground_5|Acampamento de Treino
p_monasterio1|Mosteiro Ad Candida Casam
p_monasterio2|Mosteiro Willibrord
p_monasterio3|Mosteiro Dommoc
p_monasterio4|Mosteiro Lindisfarne
p_monasterio5|Mosteiro Aporcrosan
p_monasterio6|Mosteiro Petrus
p_monasterio7|Mosteiro Apurnethige
p_monasterio8|Mosteiro Llanteulyddog
p_monasterio9|Mosteiro Ynys Enlli
p_monasterio10|Mosteiro Eveshomme
p_monasterio11|Mosteiro Inderawuda
p_monasterio12|Mosteiro Hagustaldes
p_monasterio13|Mosteiro Briudun
p_monasterio14|Mosteiro Gudlac
p_monasterio15|Mosteiro Wochingas
p_monasterio16|Mosteiro Clofesho
p_monasterio17|Mosteiro Waerburh
p_monasterio18|Mosteiro Derhurst
p_monasterio19|Mosteiro Ythan
p_monasterio20|Mosteiro Petrockstow
p_monasterio21|Mosteiro Medeshamstede
p_monasterio22|Mosteiro Cocheham
p_monasterio23|Mosteiro Patricius
p_monasterio24|Mosteiro Daire Calgaich
p_monasterio25|Mosteiro Finian
p_monasterio26|Mosteiro Raithean
p_monasterio27|Mosteiro Carthach
p_monasterio28|Mosteiro Scelic Mhichi
p_monasterio29|Mosteiro Gleann Da Loch
p_yourlair|Meu Refúgio
p_thiaderd_lair|Esconderijo de Thiaderd
p_destroy1|Esconderijo de Thiaderd, Destruído
p_destroy2|Covil de Sven, Destruído
p_destroy3|Campo de Batalha Aescesdun
p_followers_camp|Acampamento de Seguidores
p_ferry_1a|Estação de balsa
p_ferry_2a|Estação de balsa
p_ferry_3a|Estação de balsa
p_ferry_4a|Estação de balsa
p_ferry_1b|Estação de balsa
p_ferry_2b|Estação de balsa
p_ferry_3b|Estação de balsa
p_ferry_4b|Estação de balsa
; p_looter_spawn_point|their hideout
; p_looter_spawn_point2|their hideout
; p_looter_spawn_point3|their hideout
; p_steppe_bandit_spawn_point|their longphort
; p_taiga_bandit_spawn_point|their longphort
; p_forest_bandit_spawn_point|their den
; p_forest_bandit_spawn_point2|their den
; p_forest_bandit_spawn_point4|their den
; p_mountain_bandit_spawn_point|their camp
; p_mountain_bandit_spawn_point3|their camp
; p_sea_raider_spawn_point_1|their camp
; p_sea_raider_spawn_point_2|their longphort
; p_sea_raider_spawn_point_3|their longphort
; p_desert_bandit_spawn_point|their camp
; p_frank_looters_sp_1|their camp
; p_frank_looters_sp_2|their camp
p_pagan_spawn_1|A zona rural
p_pagan_spawn_2|A zona rural
p_pagan_spawn_3|A zona rural
p_pagan_spawn_4|A zona rural
p_ship_raider_spawn_point_1|O canal
; p_ship_raider_spawn_point_2|the area
; p_ship_raider_spawn_point_3|the area
; p_ship_raider_spawn_point_4|the area
; p_ship_raider_spawn_point_5|the area
; p_ship_raider_spawn_point_6|the area
p_landing_point|Ponto de Desembarque
p_the_fleet|A Frota
p_transporter|Transportador
; p_troop_camp_1|Troop camp
; p_troop_camp_2|Troop camp
