pt_none|Nenhum
pt_rescued_prisoners|Prisioneiros Resgatados
pt_enemy|Inimigo
pt_hero_party|Tropa Heróica
pt_village_defenders|Defensores da Vila
pt_cattle_herd|Rebanho de Gado
pt_looters|Ladrões
pt_manhunters|Jovens Guerreiros
pt_steppe_bandits|Northmenn
pt_taiga_bandits|Vikingarnir
pt_desert_bandits|Renegados Veteranos
pt_forest_bandits|Assaltantes
pt_mountain_bandits|Renegados
pt_sea_raiders|Lutadores  Sem Mestre
pt_sea_raiders2|Vikingarnir de Elite Danês
pt_fianna|Renegados Fianna
pt_frank_looters_1|Assaltantes Francos
pt_frank_looters_2|Saqueantes Francos
pt_deserters|Homens Sem Mestre
pt_merchant_caravan|Caravana Mercante
pt_troublesome_bandits|Bandidos Problemáticos
pt_bandits_awaiting_ransom|Bandidos Aguardando Pagamento do Resgate
pt_kidnapped_girl|Garota Sequestrada
pt_village_farmers|Fazendeiros da Vila
pt_spy_partners|Viajantes Inotáveis
pt_runaway_serfs|Servos em Fuga
pt_spy|Citadino Comum
pt_sacrificed_messenger|Mensageiro Sacrificado
pt_scout_party|Batedores
pt_messenger_party|Mensageiro
pt_raider_party|Saqueadores
pt_raider_captives|Saqueadores Cativos
pt_kingdom_caravan_party|Comerciante
pt_prisoner_train_party|Trem de Prisioneiros
pt_default_prisoners|Prisioneiros Padrão
pt_routed_warriors|Inimigos Afugentados
pt_center_reinforcements|Reforços
pt_kingdom_hero_party|Tropa de Guerra
pt_steppe_bandit_lair|Um Longphort Northmenn
pt_taiga_bandit_lair|Um Longphort Vikingarnir
pt_desert_bandit_lair|Acampamento de Renegados Veteranos
pt_forest_bandit_lair|Toca de Assaltantes
pt_mountain_bandit_lair|Acampamento de Renegados
pt_sea_raider_lair|Acampamento de Lutadores
pt_sea_raider_lair2|Um Longphort Danish
pt_looter_lair|Esconderijo dos Sequestradores
pt_leaded_looters|Bando de Assaltantes
pt_sacerdotes_party|Clero Cristão
pt_paganos_party|Sacerdotes Pagãos
pt_sea_raiders_ships|Saqueadores Francos
pt_sea_raiders_ships2|Vikingr Danish
pt_sea_raiders_ships3|Vikingr
pt_sea_raiders_ships4|Norwegian Vikingr
pt_sea_raiders_ships5|Swedish Vikingr
pt_sea_raiders_ships6|Saqueadores
pt_chimney_smoke|Fumaça
pt_epic_fleet|Frota Viking Épica
pt_port|Porto
pt_ferry_port|Porto
pt_landet_ships|Seus Navios
pt_fisher_ship|Pesqueiro
pt_traveller_ship|Viajante
pt_slave_trader_ship|Comerciante de Escravos
pt_sea_king_danish|Realeza do Mar
pt_sea_king_norweg|Realeza do Mar
pt_walrus_hunter|Caçador de Morsas
pt_viking_raider|Saqueador Viking
pt_ambushers|Emboscadores
pt_ship|Navio
pt_sven_doccinga_ca|Saqueadores de Sven
pt_sven_lair_deffense|Esconderijo de Sven
pt_kennemer_revenge|Saqueadores
pt_sigurd_farm_men|Homens de Sigurd
pt_wessex_foragers|Forrageiros de West Seaxe
pt_wessex_patrol|Patrulha de West Seaxe
pt_norway_looters|Ladrões
pt_jetty_port|Porto
pt_boar_herd|Manada de Javalis
pt_adv_party|Tropa de Guerra
pt_slave_hideout|Esconderijo
pt_village_elder|Levy
