; qstr_Breaking_camp...|Breaking camp...
; qstr_The_poem_the_bard_ha|The poem the bard had written for {s33} didn't seem to work very well.
; qstr_Poem_for_a_lady|Poem for a lady
; qstr_{s33}_seemed_to_like|{s33} seemed to like the poem the bard had written for her.
; qstr_The_bard_s_poem_abou|The bard's poem about you seems to be spreading through the land.
; qstr_Fame_spreads|Fame spreads
; qstr_People_say_that_{s31|People say that {s31} found a buried Viking hoard on {s32}'s property. The lords came to blows over its ownership.
; qstr_People_say_that_{s31}|People say that {s31} or his servants are stealing cattle from {s32}'s property. That made {s32} furious.
; qstr_People_say_that_{s31}_|People say that {s31} served one of {s32}'s bodyguards a horn of poisoned mead. {s32} is infuriated.
; qstr_People_say_that_{s31}_t|People say that {s31} tried to bribe some of {s32}'s bodyguards to get access to the household, but {s32} found out.
; qstr_People_say_that_a_ru|People say that a rumor spread by an unknown traveller failed to incite enmity between {s31} and {s32}.
qstr_{s33}|{s33}
; qstr_Rumors|Rumors
; qstr_{playername}_is_beli|{playername} is believed to be behind the recent derogatory rumors involving {s32} and {s31}.
; qstr_A_recent_rumor_alleg|A recent rumor alleges that {s32} hides behind his bodyguards in battles.
; qstr_A_recent_rumor_allege|A recent rumor alleges that {s32} is practicing some kind of perverted rituals in his mead hall.
; qstr_A_recent_rumor_alleges|A recent rumor alleges that {s32} is very fond of his new mare, if you know what I mean.
; qstr_A_recent_rumor_alleges_|A recent rumor alleges that {s32} would rather wield a drinking horn than a sword.
; qstr_People_say_that_a_rum|People say that a rumor spread by an unknown traveller about {s32} failed to damage his reputation.
; qstr_{playername}_is_belie|{playername} is believed to be behind the recent rumors about {s32}'s indiscretions.
; qstr_A_recent_rumor_sprea|A recent rumor spread by an unknown traveller alleges that {s32} is intriguing against {s31}.
; qstr_People_say_that_a_rumo|People say that a rumor spread by an unknown traveller about {s32} being a disloyal vassal failed to incite enmity between {s32} and {s31}.
; qstr_{playername}_is_believ|{playername} is believed to be behind the recent rumors about {s32}'s disloyalty.
; qstr_It_seems_that_{s31}_|It seems that {s31} has found recent stories about {s32}'s infidelity plausible.
; qstr_It_appears_{s31}_has|It appears {s31} has dismissed recent stories about {s32}'s infidelity as nothing but his enemies' gossip.
; qstr_It_seems_that_{s31}_h|It seems that {s31} has found recent stories about {s32}'s disloyalty quite plausible.
; qstr_It_appears_that_{s31|It appears that {s31} has dismissed recent stories about {s32}'s disloyalty as nothing but his enemies' gossip.
; qstr_It_seems_that_{s31}_w|It seems that {s31} was not amused after {s32} was found to be involved in a cattle-thieving scheme.
; qstr_It_appears_{s32}_had|It appears {s32} had managed to avoid being linked to a recent murder, and his relations with {s31} didn't suffer.
; qstr_Winter_is_the_worst_|Winter is the worst time for war. It's cold, it rains too much and food is scarce. In winter, men would rather shelter by the fire than campaign. Watch your morale and your food stores.
; qstr_{s40}_decided_to_bec|{s40} decided to become an adventurer near {s39}
; qstr_It_seems_your_soldie|It seems your soldiers had a good time and helped themselves to some of the drinks in your inventory.
; qstr_It_seems_someone_wen|It seems someone went through your inventory and stole some of your {s33}.
; qstr_{s22}|{s22}
; qstr_{s1}_of_{s2}_has_bee|{s1} of {s2} has been released from captivity.
; qstr_{s33}_was_beaten_up_|{s33} was beaten up and thrown into dungeon by an angry crowd in {s34}.
; qstr_{s33}_s_attempts_to_|{s33}'s attempts to influence people of {s34} have failed.
; qstr_The_people_of_{s34}_|The people of {s34} hate you so much that the guards did not allow {s33} to enter.
; qstr_A_livestock_epidemic|A livestock epidemic has killed {reg4} cattle in {s4}.
; qstr_A_livestock_epidemic_|A livestock epidemic has killed {reg5} sheep in {s4}.
; qstr_A_livestock_epidemic_h|A livestock epidemic has killed {reg4} cattle and {reg5} sheep in {s4}.
; qstr_You_receive_a_messag|You receive a message from {s1} demanding lands to support them in a style that befits them.
; qstr_You_receive_a_message|You receive a message from {s1} reminding you of your obligations to provide for your vassals.
; qstr_Your_men_made_some_d|Your men made some delicious butter from cow's milk.
; qstr_A_livestock_epidemic_ha|A livestock epidemic has killed {reg5} of your cattle at a farmstead near {s4}.
; qstr_A_livestock_epidemic_has|A livestock epidemic has killed {reg4} cattle and {reg5} of your cattle at a farmstead near {s4}.
; qstr_Your_party_is_spotte|Your party is spotted by {s1}.
; qstr_Your_men_have_nothin|Your men have nothing to eat!
; qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?have:has} escaped from your party during the night.
; qstr_{s1}_of_the_{s3}_has|{s1} of the {s3} has been released from captivity.
; qstr_{s1}_is_no_longer_in|{s1} is no longer infested by bandits at night.
qstr_{s1}_has_won_the_tou|{s1} venceu o torneio em {s2}.
qstr_You_pay_for_accommod|Você pagou pelo alojamento.
qstr__Your_tactics_skill_|Sua habilidade em táticas aumentou em 1 ponto.
qstr__Your_persuasion_ski|Sua habilidade em persuasão aumentou em 1 ponto.
qstr__Your_leadership_ski|Sua habilidade em liderança aumentou em 1 ponto.
qstr__Your_intelligence_h|Sua inteligência aumentou em 1 ponto.
qstr__Your_trade_skill_ha|Sua habilidade em comércio aumentou em 1 ponto.
qstr__Your_weapon_master_|Sua habilidade como mestre das armas aumentou em 1 ponto.
qstr__Your_engineer_skill|Sua habilidade em engenharia aumentou em 1 ponto.
qstr_You_have_finished_re|Você terminou de ler {s1}.{s2}
qstr_Book_Read|Livro lido
; qstr_Christian_monastery|Christian monastery
; qstr_Christian_church|Christian church
; qstr_shrine_to_Norse_gods|shrine to Norse gods
; qstr_temple_to_Odin|temple to Odin
; qstr_People_of_{s24}_are_|People of {s24} are unhappy with your religious intolerance, and destroyed {s25}.
qstr_You_have_{reg0}_days|Você tem {reg0} dias para terminar esta missão.
; qstr_{s1}_is_scouted.|{s1} is scouted.
; qstr_{s1}_has_switched_fr|{s1} has switched from the {s2} to the {s3}.
; qstr_The_merchants__rest_|The merchants' rest hall in {s1} adds to its prosperity.
; qstr_Christian_monastery_|Christian monastery at {s33} improves Christian faith in {s34}.
; qstr_Pagan_hof_at_{s33}_r|Pagan hof at {s33} reduces Christian faith in {s34}.
; qstr_The_scriptorium_in_{|The scriptorium in {s1} adds to your renown.
