str_yes|Да.
str_no|Нет.
str_blank_string| 
str_noone|нет
str_s50_and_s51|{s50} и {s51}
str_s52_and_s51|{s52} и {s51}
str_s5_s_party|Отряд {s5}
str_given_by_s1_at_s2|Дано {s1} в {s1}
str_given_by_s1_in_wilderness|Дано {s1} вне города
str_s7_raiders|{s7} разбойники
str_bandits_eliminated_by_another|Назойливых бандитов уничтожил другой отряд.
; str_msg_battle_won|Battle won, your foes lie slaughtered on the field! (Press tab key to leave)
; str_tutorial_map1|You are now viewing the world map. Left-click on the map to move your party to that location, enter the selected town, or pursue the selected party.^Time will pause on the overland map if your party is not moving, waiting or resting. To wait anywhere simply press and hold down the space bar.^This is a good moment to save your game! Press the Esc key and choose Save As or use F12 for quick saving.^^Good luck!
; str_tutorial_map11|You now have a strong party of men. Return to the jarl for further instruction.
str_randomize|Randomize
str_charge|Атака
str_color|Цвет
str_flip_horizontal|Перевернуть по горизонтали
str_flip_vertical|Перевернуть по вертикали
str_hold_fire|Не стрелять
str_blunt_hold_fire|Стой! / Не стрелять
str_tutorial_ammo_refilled|Боезапас пополнен.
; str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to the menu where you can retry this tutorial.
; str_tutorialmq_1_msg_1|In this tutorial, you will learn the basics of movement, interaction, and combat. ^^In Viking Conquest, you use the mouse to control where you are looking, and the W, A, S, and D keys of your keyboard to move. Your first task is... ^^Goal: Go to the center of the boat.
; str_tutorialmq_1_msg_2|Well done. Next, we will learn to interact with objects and persons. Near you, there is a man called Bodo. To find out who a person is, walk toward him or her until the name pops up. In order to talk to Bodo once you find him, press the F key. ^^Use the F key to interact with persons and scene props. It will open doors and chests, pick up items and more. ^^Goal: Talk to Bodo.
; str_tutorialmq_1_msg_3|Excellent. Next, we will cover attacking with weapons. ^^You can draw different weapons from your weapon slots by scrolling forward with the wheel of your mouse or by pressing one of the first four numbers on your number pad. ^^You attack with your currently wielded weapon by using your left mouse button. Press and hold the button to ready an attack, then release the button to strike. If you hold down the left mouse button for a while before releasing, your attack will be more powerful. ^^Scroll down or use the number pad to bring out your shield or put it away. ^^Goal: Talk to Veteran to practice some combat.
; str_tutorialmq_1_msg_4|Nice work! You know all the basic concepts to play Viking Conquest. Now you can explore, talk to NPCs, fight in sailors, or finally, when you are ready, talk to captain to continue your adventure.
str_finished|Закончено
str_delivered_damage|Нанесено {reg60} урона.
str_archery_target_hit|Расстояние - {reg61} ярд. Счет: {reg60}
str_use_baggage_for_inventory|Во время боя вы можете брать вещи из сундука (он находится на начальной позиции).
str_cant_use_inventory_now|Вещи сейчас недоступны.
str_cant_use_inventory_arena|На арене пользоваться вещами нельзя.
str_cant_use_inventory_disguised|Вы замаскированы и не можете пользоваться вещами.
str_cant_use_inventory_tutorial|В тренировочном лагере нельзя пользоваться инвентарем.
; str_1_denar|1 pening
; str_reg1_denars|{reg1} peningas
str_january_reg1_reg2|Январь {reg1}, {reg2}
str_february_reg1_reg2|Февраль {reg1}, {reg2}
str_march_reg1_reg2|Март {reg1}, {reg2}
str_april_reg1_reg2|Апрель {reg1}, {reg2}
str_may_reg1_reg2|Май {reg1}, {reg2}
str_june_reg1_reg2|Июнь {reg1}, {reg2}
str_july_reg1_reg2|Июль {reg1}, {reg2}
str_august_reg1_reg2|Август {reg1}, {reg2}
str_september_reg1_reg2|Сентябрь {reg1}, {reg2}
str_october_reg1_reg2|Октябрь {reg1}, {reg2}
str_november_reg1_reg2|Ноябрь {reg1}, {reg2}
str_december_reg1_reg2|Декабрь {reg1}, {reg2}
str_town_nighttime|Сейчас поздняя ночь, и честных людей на улице не встретишь.
str_door_locked|Дверь заперта.
; str_castle_is_abondened|The fort seems to be unoccupied.
str_town_is_abondened|У этого города нет защитников.
str_place_is_occupied_by_player|Это место занято вашими войсками.
str_place_is_occupied_by_enemy|Это место занято вражескими войсками.
str_place_is_occupied_by_friendly|Это место занято дружескими войсками.
str_do_you_want_to_retreat|Вы точно хотите отступить?
str_give_up_fight|Оставить поединок?
str_do_you_wish_to_leave_tutorial|Прекратить обучение?
str_do_you_wish_to_surrender|Сдаться?
str_can_not_retreat|Отступать нельзя, рядом враги!
; str_s1_joined_battle_enemy|{s1} would join your enemy in a battle.
; str_s1_joined_battle_friend|{s1} would join you in a battle.
str_entrance_to_town_forbidden|Городские стражи выслеживают нарушителей спокойствия, и вам не удастся проскользнуть мимо них.
str_sneaking_to_town_impossible|Городская стража поднята на ноги. Вы не сможете проскользнуть мимо, как бы вы ни таились.
str_battle_won|Вы выиграли бой!
str_battle_lost|Вы проиграли бой!
str_attack_walls_success|В кровавом бою ваши доблестные солдаты отогнали врага от стен.
str_attack_walls_failure|Ваши солдаты гибнут один за другим, бросаясь на стены. Немногие выжившие после штурма беспорядочно отступают.
