pt_none|нет
pt_rescued_prisoners|Спасенные пленники
pt_enemy|Враг
pt_hero_party|Геройский отряд
pt_village_defenders|Защитники деревни
pt_cattle_herd|Стадо
; pt_looters|Thieves
; pt_manhunters|Young Warriors
; pt_steppe_bandits|Northmenn
; pt_taiga_bandits|Vikingarnir
; pt_desert_bandits|Veteran Renegades
; pt_forest_bandits|Robbers
; pt_mountain_bandits|Renegades
; pt_sea_raiders|Masterless Fighters
; pt_sea_raiders2|Danish Elite Vikingarnir
; pt_fianna|Renegade Fianna
; pt_frank_looters_1|Thieving Franks
; pt_frank_looters_2|Raiding Franks
; pt_deserters|Masterless Men
pt_merchant_caravan|Торговый караван
pt_troublesome_bandits|Назойливые бандиты
pt_bandits_awaiting_ransom|Бандиты, ожидающие выкупа
pt_kidnapped_girl|Похищенная девушка
pt_village_farmers|Сельские фермеры
pt_spy_partners|Непримечательные путешественники
pt_runaway_serfs|Сбежавшие рабы
pt_spy|Обычный горожанин
pt_sacrificed_messenger|Принесенный в жертву посланник
pt_scout_party|Разведчики
pt_messenger_party|Посланник
pt_raider_party|Налетчики
pt_raider_captives|Пленные налетчики
; pt_kingdom_caravan_party|Trader
pt_prisoner_train_party|Обоз с заключенными
pt_default_prisoners|Обычные пленники
pt_routed_warriors|Бегущиие враги
pt_center_reinforcements|Подкрепления
pt_kingdom_hero_party|Военный отряд
; pt_steppe_bandit_lair|a Northmenn longphort
; pt_taiga_bandit_lair|a Vikingarnir longphort
; pt_desert_bandit_lair|a veteran renegades' camp
; pt_forest_bandit_lair|a robbers' den
; pt_mountain_bandit_lair|a renegades' camp
; pt_sea_raider_lair|a fighters camp
; pt_sea_raider_lair2|a Danish longphort
; pt_looter_lair|the kidnappers' hideout
; pt_leaded_looters|Band of Robbers
; pt_sacerdotes_party|Christian Clergy
; pt_paganos_party|Pagan Priests
; pt_sea_raiders_ships|Frankish Raiders
; pt_sea_raiders_ships2|Danish Vikingr
; pt_sea_raiders_ships3|Vikingr
; pt_sea_raiders_ships4|Norwegian Vikingr
; pt_sea_raiders_ships5|Swedish Vikingr
pt_sea_raiders_ships6|Налетчики
; pt_chimney_smoke|Smoke
; pt_epic_fleet|Epic Viking Fleet
; pt_port|port
; pt_ferry_port|port
; pt_landet_ships|your ships
; pt_fisher_ship|Fisher
pt_traveller_ship|Путешественник
; pt_slave_trader_ship|Slave Trader
; pt_sea_king_danish|Sea King
; pt_sea_king_norweg|Sea King
; pt_walrus_hunter|Walrus Hunter
; pt_viking_raider|Viking Raider
; pt_ambushers|Ambushers
; pt_ship|Ship
; pt_sven_doccinga_ca|Sven's Raiders
; pt_sven_lair_deffense|Sven's Hideout
pt_kennemer_revenge|Налетчики
; pt_sigurd_farm_men|Sigurd's Men
; pt_wessex_foragers|West Seaxe Foragers
; pt_wessex_patrol|West Seaxe Patrol
; pt_norway_looters|Thieves
; pt_jetty_port|port
; pt_boar_herd|Boar Herd
pt_adv_party|Военный отряд
; pt_slave_hideout|Hideout
; pt_village_elder|Levy
