
ui_music_volume|Громкость музыки
ui_sound_volume|Громкость звука:
ui_mouse_sensitivity|Чувствительность мыши:
ui_invert_mouse_y_axis|Инвертировать ось Y
ui_enabled|Включить
ui_disabled|Выключить
ui_damage_to_player|Урон персонажу:
ui_reduced_to_1_over_4_easiest|Снижен до 1/4 (Легчайший)
ui_reduced_to_1_over_2_easy|Снижен до 1/2 (Легкий)
ui_damage_to_friends|Урон союзникам:
ui_reduced_to_1_over_2_easiest|Снижен до 1/2 (Легчайший)
ui_reduced_to_3_over_4_easy|Снижен до 3/4 (Легкий)
ui_normal|Нормально
ui_combat_ai|Боевой ИИ:
; ui_combat_speed|Movement and Combat Speed:
ui_good|Сильный
ui_average_caps|Среднее
ui_poor|Низкое
ui_faster|Высокая
ui_slower|Низкая
ui_control_block_direction|Контроль напр. блока:
ui_automatic_recommended|Автоматическое
ui_manual_easy|Вручную (легкий режим)
ui_manual_hard|Вручную (тяжелый режим)
ui_by_mouse_movement|По движению мыши
ui_control_attack_direction|Контроль напр. атаки:
ui_lance_control|Управление пикой
ui_by_relative_enemy_position|Отн. позиции врага
ui_by_inverse_mouse_movement|Обратным движ. мыши
; ui_battle_size|Battle Size (impact on performance):
ui_show_attack_direction|Показ направления атаки:
ui_show_targeting_reticule|Показывать прицел:
ui_show_names_of_friendly_troops|Показ имен друж. войск:
ui_report_damage|Показывать урон:
ui_report_shot_difficulty|Показ сложности выстрела:
ui_difficulty_rating_percentage|Уровень сложности = %d%%
ui_controls|Управление
ui_video_options|Опции видео
ui_done|Готово
ui_factions|Фракции
ui_item_itemname|Вещь - %s
ui_prop_propname|Назв. - %s
ui_unknown_unknownname|Неизвестно - %s
ui_entry_point_entrypointname|Точка входа %d
ui_passage_menu_item_passagename|Проход (пункт меню %d)
ui_plant_plantname|Дерево - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Экспорт-файл для персонажа %s уже есть. Переписать?
ui_yes|Да
ui_no|Нет
ui_set_save_file_name|Введите имя сохранения:
ui_enter_new_name|Введите новое имя:
ui_export_character|Экспортировать персонажа
ui_import_character|Импортировать персонажа
ui_character_playername_exported_successfully|Персонаж %s успешно экспортирован.
ui_character_playername_imported_successfully|Персонаж %s успешно импортирован.
ui_unable_to_open_import_file|Не удается открыть файл для импорта.
ui_are_you_sure_you_want_to_import_the_character|Вы уверены, что хотите импортировать персонажа?
ui_unable_to_find_character_import_file|Не удается найти файл для импорта персонажа.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade Warband работает в ознакомительном режиме. Для импорта персонажа необходимо купить игру.
ui_change_skin|Внешность
ui_change_hair|Прическа
ui_change_hair_color|Цвет волос
ui_change_beard|Борода
ui_tutorial|Обучение
ui_tutorial_face_generator|Измените лицо вашего персонажа, используя кнопки и ползунки. Для поворота головы щелкните мышью и потяните.
ui_restore|Загрузить
ui_cancel|Отмена
ui_delete|Стереть
ui_confirm_delete_game|Вы уверены, что хотите удалить игру?
ui_error_removing_file|Ошибка удаления файла...
ui_day_datedisplay|День %d (%d:%d%d)
ui_reset_changes|Отменить
ui_weapon_proficiencies|Навыки
ui_skills|Умения
ui_attributes|Атрибуты
ui_enter_name_here|*Введите имя*
ui_edit_face|Изм. лицо
ui_statistics|Статистика
ui_next|След.
ui_prev|Пред.
ui_learn|Учить
ui_question_saving_policy|Определите стиль игры в отношении сохранений
ui_saving_policy_realistic|Хардкор - сохранять принудительно
ui_saving_policy_nonrealistic|Разрешить произвольное сохранение
ui_tutorial_character_generation|Теперь введите свое имя и распределите очки атрибутов, умений и оружейных навыков. Щелчок мышью на элементах, отображающихся на экране, позволит вам узнать их влияние на персонаж.
ui_str|СИЛ
ui_agi|ЛОВ
ui_int|ИНТ
ui_cha|ХАР
ui_at_learning_limit|(На пределе обучения)
ui_not_enough_skill_points_to_learn|(Недостаточно очков умений для повышения)
ui_strength|сила
ui_agility|ловкость
ui_intelligence|интеллект
ui_charisma|харизма
ui_not_enough_attributetype_to_learn_this_skill|
ui_explanation_one_handed_weapon|Определяет навык обращения с одноручными мечами, топорами и тупым оружием.
ui_explanation_two_handed_weapon|Определяет навык обращения с двуручными мечами, большими топорами и кувалдами.
ui_explanation_polearm|Определяет навык обращения с копьями, пиками, шестами и пр.
ui_explanation_archery|Определяет навык обращения с луками.
ui_explanation_crossbow|Определяет навык обращения с арбалетами.
ui_explanation_throwing|Определяет навык обращения с метательным оружием типа  дротиков, ножей, камней и пр.
; ui_explanation_firearms|Covers usage of slings.
; ui_explanation_strength|Strength: Every point adds +1 to hit points. The following skills cannot be developed beyond 1/2 of Strength: Ironflesh, Power Strike, Power Throw, Power Draw, and Inventory Management. Every 5 levels, you get an extra point to add to attributes like this.
; ui_explanation_agility|Agility: Each point gives five weapon points and slightly increases movement speed. The following skills cannot be developed beyond 1/2 of Agility: Weapon Master, Spotting, Athletics, Riding, Path Finding, and Looting. Every 5 levels, you get an extra point to add to attributes like this.
