; menu_start_game_0|Welcome to Viking Conquest.
mno_continue_i|继续
; mno_continue_cheat|Bypass the tutorial.
mno_go_back_dot|返回
menu_start_game_3| 选择你的情景:
mno_go_back|返回
; menu_tutorial|You approach a field where the locals are practicing with weapons. You can practice here to improve your combat skills.
mno_continue|继续
menu_reports|玩家声望：{reg5}^荣誉等级：{reg6}^士气： {reg8}^队伍上限：{reg7}^
mno_resume_travelling|继续旅行
; menu_start_phase_2x|Back
; mno_town_4|Continue.
; menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops during the battle. You personally slew {reg7} men in the fighting.
; menu_start_game_2|Welcome to Viking Conquest.
; menu_start_game_1|Welcome to Viking Conquest.
; menu_start_game_11|Exit?
; menu_start_game_4|You have made some choices. You will not be able to change them later after the game starts. Would you like to keep them and continue?
menu_camp|你建好了一处营地。你想做什么？
mno_camp_action|开始行动
mno_camp_wait_here|在这里等一会
; menu_camp_action_rest|Camping allows your men to rest for a while and recover from the hard life of travels. It also allows you to forage, increasing your food supplies. This is particularly helpful when campaigning in enemy territory, where it is difficult to buy supplies.
; menu_build_refuge_new|Your men await your orders to start building the refuge. There is enough material collected so far, and what may be missing can be purchased in nearby villages.^^Total Cost: 1000 peningas.^Time need: 6 hours.
; mno_refuge_here|So order.
menu_camp_cheat|选择作弊：
mno_camp_cheat_find_item|找到物品……
; mno_testing_cheats|Cheats fast use.
mno_back_to_camp_menu|返回营地菜单
menu_cheat_testing_cheats1|选择作弊：
menu_storyline_cheat|选择作弊：
; mno_back_cm|Back.
menu_camp_action|选择一项动作
; mno_toggle_cheat_on| Toggle cheat menu on.
; mno_toggle_cheat_off| Toggle cheat menu off.
mno_camp_action_4|返回营地菜单
menu_camp_recruit_prisoners|如果俘虏加入你的军队，你就还他们自由 {s18}
mno_camp_recruit_prisoners_accept|雇佣他们
; mno_camp_recruit_prisoners_half|Take half them.
mno_camp_recruit_prisoners_reject|拒绝他们
menu_camp_no_prisoners|你没有俘虏可供招募
menu_camp_action_read_book|选择一本书读
menu_retirement_verify|今天是第{reg0}天。 你的幸运度为 {reg1}。你确定要结束你的冒险生涯？
mno_retire_yes|是的。
mno_retire_no|暂不。
menu_end_game|你决定放弃冒险生涯并安顿下来。你卖掉了你所有的武器和盔甲，收好你所有的钱，驱马走进夕阳……
mno_end_game_bye|永别。
menu_cattle_herd|你遭遇了一群牛。
; mno_cattle_drive_away|Lead the cattle onward.
mno_cattle_stop|带牛群到一个休息处
mno_cattle_kill|屠宰一些牛。
mno_leave|离开。
menu_cattle_herd_kill|你想要屠宰多少？
mno_cattle_kill_1|一只
mno_cattle_kill_2|两只
mno_cattle_kill_3|三只
